Block,Time,AURY_LF,DADRI_RF,DADRI_LF,ANTA_LF,JHAJJAR,TEHRI,TANDA2,ANTA_CRF,UNCHAHAR4,UNCHAHAR1,SEWA2,SINGRAULI_HYDRO,DHAULIGNGA,ANTA_RF,ANTA_GF,TANAKPUR,DADRI_CRF,URI2,UNCHAHAR2,RAPPB,AURY_CRF,UNCHAHAR3,RIHAND3,NAPP,CHAMERA2,BSIUL,CHAMERA1,KOTESHWR,RAMPUR,RIHAND1,DADRI_GF,AURY_RF,DADRT2,URI,KOLDAM,SINGRAULI,KHSTPP-II,DULHASTI,SASAN,RAPPC,KUDGI,CHAMERA3,RIHAND2,PARBATI3,TALA,SALAL,FSTPP I & II,NJPC,KHSTPP-I,BRBCL,KISHANGANGA,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,230.419900,0.000000,0.000000,0.000000,0.000000,7.704811,0.000000,0.571740,0.000000,0.000000,0.000000,3.087530,0.000000,5.187629,11.569200,0.000000,0.000000,8.300625,119.226029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,174.502100,3.193099,0.000000,118.942251,142.219814,15.887261,403.736157,52.118668,61.70,0.000000,113.884312,0.000000,0.000000,2.240568,8.351084,0.000000,43.596602,19.282000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,230.419900,0.000000,0.000000,0.000000,0.000000,7.704811,0.000000,0.571740,0.000000,0.000000,0.000000,3.087530,0.000000,5.187629,11.569200,0.000000,0.000000,8.300625,119.226029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,174.502100,3.193099,0.000000,118.945838,142.219814,15.887261,403.736157,52.118668,61.70,0.000000,113.884312,0.000000,0.000000,2.240568,4.820500,0.000000,43.596602,19.282000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,230.419900,0.000000,0.000000,0.000000,0.000000,7.704811,0.000000,0.571740,0.000000,0.000000,0.000000,3.087530,0.000000,5.187629,11.569200,0.000000,0.000000,8.300625,119.226029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,174.502100,3.193099,0.000000,118.945838,142.219814,15.887261,403.736157,52.118668,60.74,0.000000,113.884312,0.000000,0.000000,2.240568,4.820500,0.000000,43.596602,17.912978,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,230.419900,0.000000,0.000000,0.000000,0.000000,7.704811,0.000000,0.571740,0.000000,0.000000,0.000000,3.087530,0.000000,5.187629,11.569200,0.000000,0.000000,8.300625,119.226029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,174.502100,3.193099,0.000000,118.945838,106.754022,15.887261,403.736157,52.118668,60.74,0.000000,113.884312,0.000000,0.000000,2.240568,4.820500,0.000000,43.596602,17.151339,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,230.419900,0.000000,0.000000,0.000000,0.000000,7.704811,0.000000,0.571740,0.000000,0.000000,0.000000,3.087530,0.000000,23.863095,11.569200,0.000000,0.000000,8.300625,119.226029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,179.322600,38.317190,0.000000,118.945838,93.700108,15.887261,403.736157,52.118668,58.81,0.000000,113.884312,0.000000,0.000000,68.337336,4.820500,0.000000,29.269498,15.695548,0.000000,0.000000,0,0,0,0,0

