Column1,Time,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2024/10/01/9072,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/WR/2024/10/15/7089
1,00:00-00:15,0,7.6,0,11.66,0,0,26.33,14.5,0,0,0,0,0,14.5,40,43.5,40,0,0,0,100.59,4.34,47.56,2.48,0,206.18,0,26.33,12.42,70.39,29.26,12.42,0,2.46,231.72,0,142.69,26.33,3.07,68.1,0,200

2,00:15-00:30,0,8,0,12,0,0,26.33,14.5,0,0,0,0,0,14.5,40,43.5,40,0,0,0,100.59,4.34,47.56,2.48,0,206.18,0,26.33,12.42,70.39,29.26,12.42,0,2.46,231.72,0,142.69,26.33,3.07,68.1,0,200

3,00:30-00:45,0,8.4,0,12,0,0,26.33,14.5,0,0,0,0,0,14.5,35,43.5,35,0,0,0,100.59,4.34,47.56,2.48,0,206.18,0,26.33,12.42,70.39,29.26,12.42,0,2.46,231.72,0,142.69,26.33,3.07,68.1,0,200

4,00:45-01:00,0,8.6,0,11.66,0,0,26.33,14.33,0,0,0,0,0,14.34,34.67,43,34.67,0,0,0,100.59,4.34,47.56,2.48,0,206.18,0,26.33,12.42,70.39,29.26,12.42,0,2.46,231.72,0,142.69,26.33,3.07,68.1,0,200

5,01:00-01:15,0,8.8,0,11.66,0,0,26.33,14.33,0,0,0,0,0,14.34,34.67,43,34.67,0,0,0,100.59,4.34,47.56,2.64,0,206.18,0,26.33,12.42,70.39,28.76,12.42,0,2.46,231.72,0,142.69,26.33,2.92,68.1,0,200

6,01:15-01:30,0,9,0,11.66,0,0,26.33,14,0,0,0,0,0,14,34.33,42,34.33,0,0,0,100.59,4.34,47.56,2.64,0,206.18,0,26.33,12.42,70.39,28.76,12.42,0,2.46,231.72,0,142.69,26.33,2.92,68.1,0,200

