Block,Time,CHAMERA3,KGSU1AND2,KHSTPP-II,KOLDAM,NAPP,NLCIIST1,RIHAND3,RSTPSU1TO6,RSTPSU7,SEWA2,TANAKPUR,URI,AURY_CRF,JHAJJAR,KHSTPP-I,KKNP,NJPC,NLCEXP,NLCIIST2,RAPPB,SASAN,ANTA_CRF,AURY_LF,AURY_RF,BRBCL,BSIUL,DULHASTI,MAPS,NTPL,SALAL,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TEHRIPSP,UNCHAHAR3,URI2,DADRI_GF,KKNPPU2,KUDGI,RAPPC,TANDA2,TelanganaSTPP,UNCHAHAR4,AURY_GF,DADRI_LF,DADRI_RF,CHAMERA1,PARBATI3,SINGRAULI,UNCHAHAR2,KOTESHWR,NLCTS2EXP,RAMPUR,RAPPD,RIHAND2,TALST2,ANTA_GF,DADRI_CRF,DADRT2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,RIHAND1,TALA,TEHRI,UNCHAHAR1,ANTA_LF,CHAMERA2,KISHANGANGA,NNTPP,PARBATI2,VALLURNTECL,ANTA_RF
8,01:45-02:00,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,12.04,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,85.41,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.61,29.68,21.83,0,48.9,8.71,0,58.05,0,50.62

9,02:00-02:15,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,85.41,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,50.62

10,02:15-02:30,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,85.41,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,50.62

11,02:30-02:45,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,85.41,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,50.62

12,02:45-03:00,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,85.41,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

13,03:00-03:15,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

14,03:15-03:30,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,8.33,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,16.91,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

15,03:30-03:45,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,17.78,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

16,03:45-04:00,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,17.78,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

17,04:00-04:15,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,17.78,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

18,04:15-04:30,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,79,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,17.78,29.68,21.83,0,48.9,8.71,0,58.05,0,51.27

19,04:30-04:45,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,73.77,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

20,04:45-05:00,35.09,0,148.3,10.65,25.16,0,92.37,0,0,0,9.61,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,73.77,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,550.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

21,05:00-05:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,69.16,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

22,05:15-05:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,69.16,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

23,05:30-05:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

24,05:45-06:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,51.93

25,06:00-06:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,49.95

