Time,Block,NR/2023/13859/A,NR/2023/13704/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14118/F,NR/2023/14481/C,NR/2023/11524/A,NR/2023/14442/D,NR/2023/14443/D,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14119/F,NR/2023/14449/D,NR/2023/11892/A,NR/2023/11328/A,NR/2023/11315/A,NR/2023/14120/F,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14472/C,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/14187/F,NR/2023/14485/C,NR/2023/14464/C,NR/2023/11470/A,NR/2023/14114/F,NR/2023/11739/A,NR/2023/11697/A,NR/2023/11954/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/13704/A/II,NR/2023/14482/C,NR/2023/14115/F,NR/2023/11654/A,NR/2023/14448/D,NR/2023/11264/A,NR/2023/11205/A,NR/2023/13983/F,NR/2023/11521/A,NR/2023/13983/F/II,NR/2023/14136/F,NR/2023/13573/A/II,NR/2023/13283/A/II,NR/2023/14121/F,NR/2023/14452/D,NR/2023/14441/D,NR/2023/14451/D,Total
,,MANIKARAN,HPXL,SHPPBPL,SHPPBPL,APPCPL,KEIPL,SHPPBPL,HPXL,PTC,NVVNL,NVVNL,APPCPL,MANIKARAN,SHPPBPL,KEIPL,TPTCL,APPCPL,GMRETL,SHPPBPL,NVVNL,MANIKARAN,GBHHPL,KEIPL,APPCPL,STATKRAFT,GBHHPL,IEXL,TPDDL,NVVNL,SHPPBPL,NVVNL,APPCPL,KEIPL,SHPPBPL,NVVNL,HPXL,IEXL,SHPPBPL,TPTCL,KEIPL,TPTCL,KEIPL,ITCLH,PTC,ITCLH,SJVNL,NVVNL,APPCPL,SHPPBPL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,KERALA,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,UTTAR PRADESH,MAHARASHTRA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,GOA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MAHARASHTRA,KARNATAKA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,KERALA,ANDHRA PRADESH,NA,ANDHRA PRADESH,WEST BENGAL,NA,GOA,HIMACHAL PRADESH,NA,NA,NA,
,,HP,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,Meghalaya_Ben,KSEB,SHPPBPL,SIMHAPURI,JPL-2,KAMENG,SORANG_HEP,HP,TANGEDCO,SHPPBPL,LAPL-UP,TPC MSEB,UTTARAKHAND,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,HP,GBHHPL,Meghalaya_Ben,GOA_Beneficiary,TANGEDCO,GBHHPL,Teesta_III,CHANJUII,KAMENG,SHPPBPL,JP BINA,HP,Meghalaya_Ben,SHPPBPL,SKS Raigarh,B_S_ISPAT_MH,NSLSUGAR,SHPPBPL,JPL-2,LMEL MSEB,KWHEP,KSEB,ITCWIND,JPNIGRIE_JNSTPP,ITCWIND,IPCL_WB,SKS Raigarh,GOA_Beneficiary,SHPPBPL,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,BAL184,BMDRC,BYPL,BYPL,MAX-HPTL,BRPL,TPDDL,TPDDL,TPDDL,BRPL,BRPL,JHPL-DL,BYPL,BYPL,BYPL,BYPL,MHIL,BRPL,BRPL,DIAPL,BYPL,BRPL,BYPL,DIAPL,BRPL,TPDDL,BRPL,BAL224,BRPL,BYPL,BYPL,AISHER,NDMC,NDMC,MES (Delhi),BAL234,BRPL,BYPL,BRPL,BRPL,ITCLH,TPDDL,ITCLH,NDMC,NDMC,BRPL,UHL,BYPL,MES (Delhi),BRPL,
,,North-North,West-North,North-North,North-North,North East-East-North,South-East-North,North-North,South-East-North,West-North,North East-East-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,East-West-North,North-North,North East-East-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,West-East-North,South-West-North,North-North,West-North,West-North,North-North,South-East-North,South-West-North,West-North,South-East-North,East-North,West-East-North,West-East-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,3.480000,1.340000,0.610000,0,0,0,2285.7

2,00:15-00:30,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,3.480000,1.340000,0.610000,0,0,0,2285.7
