Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,WR/2024/25054/A/44634,NR/2024/23952/A/44500,NR/2024/24052/A/44486,NR/2024/24051/A/44488,NR/30092023/26122029/SH-06,NR/2024/24060/A/44654,NR/2024/24097/A/44480,NR/2024/24088/A/44482,NR/2024/24153/C,NR/2024/24144/C,NR/2024/24071/A/44485,NR/2024/24145/C,GNA/NR/2024/12/01/2197,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1899,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,Total
,,BAWANA_GAS,PTC,APPCPL,ITCLH,IEXL,IEXL,PUNJAB,NVVNL,IEXL,IEXL,IEXL,SJVNL,IEXL,SJVNL,NDMC,KSEB,NDMC,PTC,MANIKARAN,NDMC,APPCPL,DELHI,NDMC,NDMC,
,,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,TELANGANA_State,TELANGANA_State,DELHI_UT,NA,KARNATAKA_STATE,KARNATAKA_STATE,BIHAR_STATE,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,
,,BAWANA_GAS,BRPL,BRPL,ITCWIND,NSLKSLWPRTY,NSLKSLWPRTY,BAWANA_GAS,JITPL,NSLSUGARALAND,NSLSTUNGBHDRA,BSPHCL,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,RKM_POWER,BYPL,SKS_Raigarh,BYPL,BRPL,TRN_ENERGY,BYPL,CHANJUII,RKM_POWER,JPL2,
,,HARYANA_STATE,HIMACHAL_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,HP,GOA_Beneficiary,ITCLH,MES_Delhi,MES_Delhi,PUNJAB,NDMC,MES_Delhi,MES_Delhi,TPDDL,NDMC,MES_Delhi,NDMC,NDMC,KSEB,NDMC,HP,AEML,NDMC,AEML,TPDDL,NDMC,NDMC,
,,North-North,North-North,North-West,South-West-North,South-West-North,South-West-North,North-North,East-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,West-North,North-West-South,West-North,North-North,North-West,West-North,North-West,North-North,West-North,West-North,
1,00:00-00:15,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

2,00:15-00:30,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

3,00:30-00:45,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

4,00:45-01:00,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

5,01:00-01:15,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

6,01:15-01:30,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

7,01:30-01:45,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

8,01:45-02:00,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

9,02:00-02:15,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

10,02:15-02:30,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

11,02:30-02:45,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

12,02:45-03:00,0,95.13,0,0.38,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0699999999999

13,03:00-03:15,0,95.13,0,0.34,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0299999999999

14,03:15-03:30,0,95.13,0,0.34,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0299999999999

15,03:30-03:45,0,95.13,0,0.34,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0299999999999

16,03:45-04:00,0,95.13,0,0.34,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.0299999999999

17,04:00-04:15,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

18,04:15-04:30,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

19,04:30-04:45,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

20,04:45-05:00,0,95.13,0,0.43,2.88,0,0,17.27,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,403.11999999999995

21,05:00-05:15,0,95.13,0,0.43,2.88,0,0,17.27,7.67,4.8,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,406.96

22,05:15-05:30,0,95.13,0,0.43,2.88,0,0,17.27,7.67,4.8,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,406.96

23,05:30-05:45,0,95.13,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,416.55999999999995

24,05:45-06:00,0,95.13,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,25.9,150,8.63,31.71,0,8.63,0,2.11,25.9,25.9,416.55999999999995

25,06:00-06:15,0,0,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,289.71999999999997

