Column1,Time,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1333,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6490,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/5285,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668
1,00:00-00:15,0,34,0,10,0,34,0,30,7.34,0,0,0,10,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,115.01,2.89,9.62,4.59,6.08,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.3,2.6,0,0,0,0

2,00:15-00:30,0,34.33,0,10.5,0,34.33,0,31.5,7.34,0,0,0,10.5,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,6.08,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.3,2.6,0,0,0,0

3,00:30-00:45,0,36,0,11,0,36,0,33,7.34,0,0,0,11,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,6.08,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.3,2.6,0,0,0,0

4,00:45-01:00,0,38.33,0,11.5,0,38.33,0,34.5,7.34,0,0,0,11.5,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,6.08,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.3,2.6,0,0,0,0

5,01:00-01:15,0,41.33,0,16.17,0,41.33,0,48.49,7.66,0,0,0,16.17,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.98,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.22,2.6,0,0,0,0

