Column1,Time,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/05012040/L_NR_2020_02,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,24.77,48.44,0,96.89,70.6,273.96,96.89,12.48,21.32,76.82,38.76,24.22,5.13,0,11.84,0,0,0,37.66,0,0,0,30.34,0,113,0,0,37.67,0,27.01,0,0,0,0,0,0,0,100.94,0,32,0,0,29.26,237.94

2,00:15-00:30,24.77,48.44,0,96.89,70.6,273.96,96.89,12.48,21.32,76.82,38.76,24.22,5.13,0,11.84,0,0,0,37.66,0,0,0,29.66,0,113,0,0,37.67,0,26.01,0,0,0,0,0,0,0,100.94,0,32,0,0,29.26,227.28

3,00:30-00:45,24.77,48.44,26.8708,96.89,70.6,273.96,96.89,12.48,21.32,76.82,38.76,24.22,5.13,0,11.84,0,0,0,37.84,0,0,0,29,0,113.5,0,0,37.83,0,25.61,0,0,0,0,0,0,0,100.94,0,26.8708,0,0,29.26,227.28

4,00:45-01:00,24.77,48.44,26.8708,96.89,70.6,273.96,96.89,12.48,21.32,76.82,38.76,24.22,5.13,0,11.84,0,0,0,38.34,0,0,0,28.34,0,115,0,0,38.33,0,25.01,0,0,0,0,0,0,0,100.94,0,26.8708,0,0,29.26,227.28

5,01:00-01:15,24.77,48.44,26.8708,96.89,70.6,273.96,96.89,12.48,21.32,57.84,38.76,24.22,4.94,0,11.84,0,0,0,38.5,0,0,0,28.34,0,115.5,0,0,38.5,0,24.01,0,0,0,0,4.39,0,0,100.94,0,26.8708,0,0,29.26,235.98

6,01:15-01:30,24.77,48.44,26.8708,96.89,70.6,273.96,96.89,12.48,21.32,57.84,38.76,24.22,4.94,0,11.84,0,0,0,30.66,0,0,0,28.34,0,92,0,0,30.67,0,23.61,0,0,0,0,4.3,0,0,87.2,0,26.8708,0,0,29.26,171.15

