Block,Time,BRBCL,CHAMERA3,NNTPP,NTPL,PARBATI3,RAMPUR,RIHAND1,RIHAND3,SASAN,SIMHST2,TALA,UNCHAHAR1,UNCHAHAR2,KHSTPP-II,SIMHST1,TALST2,TEHRI,UNCHAHAR4,VALLURNTECL,ANTA_LF,ANTA_RF,FSTPP I & II,JHAJJAR,RAPPB,RSTPSU1TO6,SALAL,URI2,ANTA_CRF,AURY_RF,DADRI_CRF,DADRI_GF,CHAMERA1,DHAULIGNGA,DULHASTI,KGSU1AND2,KOTESHWR,NLCIIST1,PARBATI2,RSTPSU7,SINGRAULI_HYDRO,URI,AURY_CRF,AURY_LF,DADRI_RF,BSIUL,KHSTPP-I,KOLDAM,KUDGI,MAPS,NLCTS2EXP,SEWA2,SINGRAULI,TANAKPUR,CHAMERA2,NLCEXP,NLCIIST2,RIHAND2,UNCHAHAR3,ANTA_GF,DADRT2,NAPP,NJPC,RAPPC,RAPPD,TANDA2,KGSU3AND4,KISHANGANGA,KKNP,KKNPPU2,TelanganaSTPP,AURY_GF,DADRI_LF
1,00:00-00:15,20,35,0,0,33.76,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,454.77,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,9.59,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,448.34,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

2,00:15-00:30,20,35,0,0,33.76,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,454.77,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,9.59,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,338.27,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

3,00:30-00:45,20,35,0,0,33.76,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,477.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,9.59,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,228.21,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

4,00:45-01:00,20,35,0,0,33.76,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,9.59,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,210.52,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

5,01:00-01:15,20,35,0,0,36.83,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,7.19,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,319.3,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

6,01:15-01:30,20,35,0,0,36.83,5.42,97.23,130.79,345.38,0,0,21.94,44.3,148.3,0,0,32.5,2.1,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,7.19,0,0,0,0,150.34,6.27,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

7,01:30-01:45,20,35,0,0,36.83,5.42,97.23,130.79,345.38,0,0,19.57,44.3,148.3,0,0,32.5,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,20.85,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,7.19,0,0,0,0,150.34,0.51,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

8,01:45-02:00,20,35,0,0,36.83,5.42,97.23,130.79,345.38,0,0,18.38,44.3,148.3,0,0,32.5,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,10.95,59.5,0,20.85,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,7.19,0,0,0,0,150.34,0.51,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

9,02:00-02:15,20,35,0,0,38.36,5.42,97.23,130.79,345.38,0,0,18.38,44.3,148.3,0,0,32.5,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,20.85,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,7.19,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

10,02:15-02:30,20,35,0,0,38.36,5.42,97.23,130.79,345.38,0,0,18.38,44.3,148.3,0,0,32.5,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,20.85,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

11,02:30-02:45,20,35,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

12,02:45-03:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

13,03:00-03:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

14,03:15-03:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,0.51,48.81,0,0,105.75,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

15,03:30-03:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

16,03:45-04:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.63,0,0,0,0,0

17,04:00-04:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,32.5,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

18,04:15-04:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,31.62,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

19,04:30-04:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,31.06,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.79,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

20,04:45-05:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,31.06,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.36,0,0,0,0,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

21,05:00-05:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,31.06,2.1,0,0,52.22,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.36,0,0,0,12.61,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.63,0,0,0,0,0

22,05:15-05:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,31.06,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.36,0,0,0,18.9,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

23,05:30-05:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,31.06,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.36,0,0,0,18.9,150.34,6.27,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

24,05:45-06:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,31.06,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,28.13,21.88,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,100.46,13.04,45.53,4.36,0,0,0,18.9,150.34,6.27,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

25,06:00-06:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,21.66,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,19.1,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,6.27,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

26,06:15-06:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,10.84,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,11.85,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,6.27,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

27,06:30-06:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,44.3,148.3,0,0,10.35,2.1,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,4.8,0,8.63,0,0,0,0,0

28,06:45-07:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,0,2.05,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.63,0,0,0,0,0

29,07:00-07:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,0,3.2,0,0,51.83,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

30,07:15-07:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,19.27,45,148.3,0,0,0,3.2,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.99,0,0,98.41,13.04,45.53,4.36,0,0,0,18.9,150.34,1.79,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

31,07:30-07:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,21.94,45,148.3,0,0,0,3.2,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,98.41,19.56,45.53,4.36,0,0,0,18.9,150.34,0.51,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

32,07:45-08:00,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,21.94,45,148.3,0,0,0,3.2,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,98.41,19.56,45.53,3.95,0,0,0,18.9,150.34,0.51,48.81,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

33,08:00-08:15,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,21.94,45,148.3,0,0,0,3.2,0,0,51.17,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,98.41,19.56,45.53,3.88,0,0,0,18.9,150.34,0.51,32.53,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

34,08:15-08:30,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,21.94,45,148.3,0,0,0,3.2,0,0,50.51,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,98.41,19.56,45.53,3.88,0,0,0,18.9,150.34,0.51,32.53,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

35,08:30-08:45,20,23.33,0,0,38.36,5.42,97.23,130.79,345.38,0,0,21.94,45,148.3,0,0,0,3.2,0,0,50.51,20.8,670.67,0,0,79.38,38.1,0,80.77,0,0,0,10.95,59.5,0,10.43,0,30.06,0,0.98,52.36,0,0,98.41,19.56,45.53,3.88,0,0,0,18.9,150.34,0.51,32.53,0,0,124.58,27.68,0,548.92,25.9,138.33,69.23,22.02,5.7,0,8.36,0,0,0,0,0

