Column1,Time,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,GNA/NR/2024/10/01/8106,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/10/15/7089,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/9582,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/16/4393,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59
1,00:00-00:15,0,0,0,0,6.84,0,0,0,0,0,16,6.66,0,16,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,2.6,100.41,26.02,4.41,47.56,70.27,25.4,86.93,8.67,2.46,28.26,272.51,0,142.69,0,2.32

2,00:15-00:30,0,0,0,0,6.84,0,0,0,0,0,15.67,6.66,0,15.67,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,2.6,100.41,26.02,4.41,47.56,70.27,25.4,86.06,8.67,2.46,28.26,272.51,0,142.69,0,2.32

3,00:30-00:45,0,0,0,0,6.84,0,0,0,0,0,16,6.66,0,16,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,2.6,100.41,26.02,4.41,47.56,70.27,25.4,86.06,8.67,2.46,28.26,272.51,0,142.69,0,2.32

4,00:45-01:00,0,0,0,0,6.84,0,0,0,0,0,16,6.66,0,16,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,2.6,100.41,26.02,4.41,47.56,70.27,25.4,86.06,8.67,2.46,28.26,272.51,0,142.69,0,2.32

5,01:00-01:15,0,0,0,0,6.84,0,0,0,0,0,15.67,6.66,0,15.67,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,3.06,100.41,26.02,4.33,47.56,70.27,25.4,86.06,8.67,2.46,27.26,272.51,0,142.69,0,2.32

6,01:15-01:30,0,0,0,0,6.84,0,0,0,0,0,15.33,6.66,0,15.33,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,3.06,100.41,26.02,4.33,47.56,70.27,25.4,86.06,8.67,2.46,27.26,272.51,0,142.69,0,2.32

7,01:30-01:45,0,0,0,0,6.84,0,0,0,0,0,15,6.66,0,15,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,3.06,100.41,26.02,4.33,47.56,70.27,25.4,86.06,8.67,2.46,27.26,272.51,0,142.69,0,2.32

8,01:45-02:00,0,0,0,0,6.84,0,0,0,0,0,15,6.66,0,15,261.67,25.4,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,200,3.06,100.41,26.02,4.33,47.56,70.27,25.4,86.06,8.67,2.46,27.26,272.51,0,142.69,0,2.32

9,02:00-02:15,0,0,0,0,6.84,0,0,0,0,0,15,6.66,0,15,201.09,24.37,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,0,2.91,71.49,26.02,4.33,47.56,70.27,24.37,76.42,8.67,2.46,27.26,272.51,0,142.69,0,2.32

