Block,Time,CHAMERA1,DADRT2,DHAULIGNGA,NLCIIST1,NTPL,RIHAND1,RSTPSU1TO6,TANDA2,TelanganaSTPP,DADRI_RF,CHAMERA2,KHSTPP-I,RAMPUR,RAPPB,UNCHAHAR2,JHAJJAR,KOLDAM,NNTPP,RIHAND3,UNCHAHAR3,UNCHAHAR4,AURY_RF,DADRI_CRF,DULHASTI,FSTPP I & II,KGSU1AND2,KGSU3AND4,NLCEXP,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPC,SALAL,SINGRAULI_HYDRO,URI2,VALLURNTECL,ANTA_LF,CHAMERA3,KOTESHWR,SASAN,SIMHST1,TEHRI,ANTA_CRF,ANTA_GF,ANTA_RF,AURY_GF,DADRI_GF,BRBCL,KKNP,KUDGI,RIHAND2,SINGRAULI,TALA,TALST2,TANAKPUR,TEHRIPSP,AURY_CRF,DADRI_LF,BSIUL,KHSTPP-II,KISHANGANGA,KKNPPU2,NAPP,NJPC,PARBATI2,SIMHST2,URI,MAPS,RAPPD,RSTPSU7,SEWA2,UNCHAHAR1,AURY_LF
1,00:00-00:15,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,85.41,1.06,24.94,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,3.85,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

2,00:15-00:30,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,85.41,1.06,24.94,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,3.85,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

3,00:30-00:45,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,24.94,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,3.85,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

4,00:45-01:00,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,24.94,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,11.91,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

5,01:00-01:15,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,24.16,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

6,01:15-01:30,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,24.16,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,143.34,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,26.49,0,24.19,0,0,21.65,0

7,01:30-01:45,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,52.36,0,24.19,0,0,21.65,0

8,01:45-02:00,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,52.36,0,24.19,0,0,21.65,0

9,02:00-02:15,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,52.36,0,24.19,0,0,21.65,0

10,02:15-02:30,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,32.71,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.22,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,52.36,0,24.19,0,0,21.65,0

11,02:30-02:45,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.34,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

12,02:45-03:00,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,85.41,1.06,38.97,0,0,33.94,40.57,261,0,53.66,0,0,51.2,0,0,24.99,0,0,125.27,147.44,29.34,0,12.81,0,0,0,19.56,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

13,03:00-03:15,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,82.5,1.06,23.38,0,0,33.94,40.57,261,0,53.66,0,0,51.84,0,0,24.99,0,0,125.27,147.44,29.64,0,12.81,0,0,0,13.04,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

14,03:15-03:30,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,82.5,1.06,23.38,0,0,33.94,40.57,261,0,53.66,0,0,51.84,0,0,24.99,0,0,125.27,147.44,29.64,0,12.81,0,0,0,13.04,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

15,03:30-03:45,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,82.5,1.06,23.38,0,0,33.94,40.57,261,0,53.66,0,0,51.84,0,0,24.99,0,0,125.27,147.44,29.64,0,12.81,0,0,0,13.04,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

16,03:45-04:00,42.15,549.38,42.46,0,0,98.32,0,5.73,0,79.04,47.12,45.53,5.7,0,45,667.25,8.62,0,130.84,27.69,3.22,79.22,0,55.38,20.8,0,0,0,0,0,37.17,65.42,82.5,1.06,23.38,0,0,33.94,40.57,261,0,53.66,0,0,51.84,0,0,24.99,0,0,125.27,147.44,29.64,0,12.81,0,0,0,13.04,148.3,7.05,0,24.23,175.79,0,0,33.12,0,24.19,0,0,21.65,0

