Time,Block,NR/2024/20141/A/19036,NR/2024/19966/A/19022,NR/2024/20109/A/19460,NR/2024/20142/A/19037,NR/2024/20041/A/19402,NR/2024/20300/C,NR/2024/20031/A/19344,NR/2024/20289/C,NR/2024/20040/A/19331,NR/2024/19432/A/19349,NR/2024/19475/A/19286,NR/2024/20090/A/19105,NR/2024/19779/A/18943,NR/2024/19918/A/19333,NR/2024/20082/A/19332,NR/2024/20302/C,NR/2024/20052/A/18846,NR/2024/20288/C,NR/2024/19355/A/19461,NR/2024/20033/A/19345,NR/2024/20282/C,NR/2024/20144/A/19038,NR/2024/20130/A/18954,NR/2024/19588/A/19031,NR/2024/20295/C,NR/2024/20305/C,NR/2024/20034/A/19343,NR/2024/19683/A/19133,NR/2024/20048/A/19401,NR/2024/20292/C,NR/2024/19637/A/19014,NR/2024/19760/A/18990,NR/2024/19699/A/19347,NR/2024/20280/C,NR/2024/20050/A/19400,NR/2024/20281/C,NR/2024/20037/A/18985,Total
,,BAL184,BRPL,TPDDL,BAL224,PTC,HPXL,NVVNL,IEXL,APPCPL,NVVNL,AEL,IEXL,ITCLH,APPCPL,APPCPL,HPXL,DIAPL,IEXL,TPDDL,NVVNL,NVVNL,BAL234,DTCP,GMRETL,PXIL,HPXL,NVVNL,IEXL,PTC,PXIL,INSTINCT,TPTCL,NVVNL,NVVNL,PTC,NVVNL,TPTCL,Total

,,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,ANDHRA PRADESH,MANIPUR,NA,NA,MAHARASHTRA,ANDHRA PRADESH,NAGALAND,SIKKIM,MEGHALAYA,HIMACHAL PRADESH,KERALA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,NA,KERALA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,MP,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,
,,SHPPBPL,IEPLBELA2022,JHAJJAR,SHPPBPL,JPL_DHULE,SINGOLI,RKM_POWER,LVSPOWERAP,Manipur_Ben,SEIL,APL_Raipur TPP,A_A_Energy_MH_Bio,ITCWIND,Nagaland_Ben,SIKKIM,Meghalaya_Ben,GBHHPL,KSEB,JPL-2,SKS Raigarh,SORANG_HEP,SHPPBPL,SHPPBPL,RUVNL,SKS Raigarh,KSEB,RKM_POWER,NHCPL_HP,HP,SKS Raigarh,JPL-2,SIMHAPURI,JP BINA,SOLAPUR_SOLAR,HP,KAMENG,JPL_DHULE,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL184,BRPL,TPDDL,BAL224,BRPL,BYPL,NDMC,BYPL,BYPL,TPDDL,BRPL,MES (Delhi),ITCLH,BYPL,BYPL,BRPL,DIAPL,BRPL,TPDDL,NDMC,TPDDL,BAL234,DTCP,BYPL,BRPL,BRPL,NDMC,MES (Delhi),BYPL,TPDDL,BRPL,BRPL,TPDDL,MES (Delhi),BRPL,TPDDL,TPDDL,
,,North-North,West-North,North-North,North-North,West-North,North-North,West-North,South-East-West-North,North East-East-North,South-West-North,West-North,West-North,South-West-North,North East-East-North,East-North,North East-East-North,North-North,South-East-West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,South-East-North,West-North,North-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North-North,North East-East-North,West-North,
1,00:00-00:15,0.350000,0.000000,241.450000,0.520000,0.000000,56.020000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,219.240000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,2019.22

2,00:15-00:30,0.350000,0.000000,241.450000,0.520000,0.000000,56.020000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,207.650000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,2007.63
