Block,Time,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/28112023/28112023/HPX-TAMCTG-271123-05300,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-09,NR/01112023/30112023/HP-10,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,1.400000,26.020000,71.730000,0.000000,110.870000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,192.820000,2.000000,48.200000,96.410000,23.140000,1.610000,13.05,0,0,39.16,0,0,45.17,0,13.06,0,0,144.62,0,0,0,0,0,5.86,0,45.17,0,10.06

2,00:15-00:30,1.400000,26.020000,71.730000,0.000000,110.870000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,173.540000,2.000000,48.200000,96.410000,23.140000,1.610000,13.13,0,0,39.4,0,0,45.04,0,13.13,0,0,144.62,0,0,0,0,0,5.7,0,45.04,0,9.66

3,00:30-00:45,1.400000,26.020000,71.730000,0.000000,110.870000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,173.540000,2.000000,48.200000,96.410000,23.140000,1.610000,13.21,0,0,39.64,0,0,56.55,0,13.21,0,0,144.62,0,0,0,0,0,6.66,0,56.55,0,9.66

4,00:45-01:00,1.400000,26.020000,71.730000,0.000000,110.870000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,163.900000,2.000000,48.200000,96.410000,23.140000,1.610000,13.2,0,0,39.61,0,0,56.22,0,13.21,0,0,144.62,0,0,0,0,0,6.66,0,56.22,0,9.5

5,01:00-01:15,1.400000,26.020000,71.730000,0.000000,110.870000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,13.15,0,0,39.46,0,0,55.88,0,13.16,0,0,144.62,0,0,0,0,0,6.66,0,55.88,0,9.63

6,01:15-01:30,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,13.05,0,0,39.16,0,0,55.22,0,13.06,0,0,144.62,0,0,0,0,0,6.66,0,55.22,0,9.74

7,01:30-01:45,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,14.53,0,0,43.58,0,0,54.88,0,14.52,0,0,144.62,0,0,0,0,0,9.55,0,54.88,0,9.63

8,01:45-02:00,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,11.92,0,0,35.76,0,0,53.88,0,11.93,0,0,144.62,0,0,0,0,0,9.21,0,53.88,0,9.63

9,02:00-02:15,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,12.61,0,0,37.82,0,0,52.88,0,12.61,0,0,144.62,0,0,0,0,0,8.88,0,52.88,0,15.05

10,02:15-02:30,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,12.44,0,0,37.33,0,0,42.17,0,12.44,0,0,144.62,0,0,0,0,0,8.51,0,42.17,0,14.85

11,02:30-02:45,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,16.2,0,0,48.61,0,0,49.88,0,16.21,0,0,144.62,0,0,0,0,0,9.69,0,49.88,0,14.65

12,02:45-03:00,1.400000,26.020000,71.730000,0.000000,106.050000,26.020000,0.000000,31.820000,0.000000,0.000000,48.200000,0.000000,48.200000,76.640000,98.350000,149.130000,2.000000,48.200000,96.410000,23.140000,1.530000,15.54,0,0,46.63,0,0,47.41,0,15.55,0,0,144.62,0,0,0,0,0,9.32,0,47.41,0,14.45

