Block,Time,L_NR_2020_02,LT-05,L_NR_2012_02,LT-35,L_NR_2012_07,LT-36,LT-59,L_NR_2012_04,L_NR_2019_11,LT_MEJA_Delhi,L_NR_2012_01,SH-06,LT-31,L_NR_2019_19,SH-07,L_NR_2019_07,L_NR_2019_06,L_NR_2020_06,L_NR_2021_15,L_NR_2021_13,L_NR_2019_05,L_NR_2018_61,L_NR_2021_17,L_NR_2020_05,L_NR_2021_14,L_NR_2020_07,L_NR_2022_08,L_NR_2022_10,L_NR_2021_16,L_NR_2021_12,L_NR_2022_09
1,00:00-00:15,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,30.810000,0.000000,0.000000,30.810000,0,0,27.56,0,0,0,2.58,0,82.68,0,27.55,13.61,56.49,0,0,56.49

2,00:15-00:30,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,30.810000,0.000000,0.000000,30.810000,0,0,27.71,0,0,0,2.57,0,83.12,0,27.7,13.39,56.99,0,0,56.99

3,00:30-00:45,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,21.570000,0.000000,0.000000,30.810000,0,0,27.75,0,0,0,2.58,0,83.26,0,27.76,13.12,53.42,0,0,53.42

4,00:45-01:00,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,21.570000,0.000000,0.000000,30.810000,0,0,28.04,0,0,0,2.62,0,84.12,0,28.04,12.82,53.32,0,0,53.32

5,01:00-01:15,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,24.620000,0.000000,0.000000,24.620000,0,0,27.47,0,0,0,2.63,0,82.41,0,27.47,12.83,53.09,0,0,53.09

6,01:15-01:30,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,24.620000,0.000000,0.000000,24.620000,0,0,19.27,0,0,0,2.68,0,57.81,0,19.27,8.03,30.23,0,0,30.23

7,01:30-01:45,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,24.620000,0.000000,0.000000,24.620000,0,0,19.06,0,0,0,2.69,0,57.17,0,19.05,8.14,30.46,0,0,30.46

8,01:45-02:00,3.710000,115.610000,130.280000,0.000000,75.990000,0.000000,4.260000,222.430000,3.910000,11.320000,100.860000,24.620000,0.000000,0.000000,24.620000,0,0,19.05,0,0,0,2.7,0,57.16,0,19.06,8.26,30.46,0,0,30.46

