Time,Block,NR/2024/18807/A/11848,NR/2024/19079/C,NR/2024/19056/C,NR/2024/18759/A/11748,NR/2024/18874/A/11847,NR/2024/18806/A/11758,Total
,,DIAPL,IEXL,NVVNL,ITCLH,DIAPL,IEXL,Total

,,HIMACHAL PRADESH,DELHI,NA,ANDHRA PRADESH,HIMACHAL PRADESH,KARNATAKA,
,,GBHHPL,BYPL,SOLAPUR_SOLAR,ITCWIND,GBHHPL,NSLSUGARALAND,
,,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,UPPCL,MES (Delhi),ITCLH,DIAPL,MES (Delhi),
,,North-North,North-North,West-North,South-West-North,North-North,South-East-North,
1,00:00-00:15,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

2,00:15-00:30,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

3,00:30-00:45,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

4,00:45-01:00,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

5,01:00-01:15,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

6,01:15-01:30,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

7,01:30-01:45,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

8,01:45-02:00,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

9,02:00-02:15,0.000000,95.000000,0,0.480000,1.930000,9.670000,107.08

10,02:15-02:30,0.000000,110.000000,0,0.480000,1.930000,9.670000,122.08

11,02:30-02:45,0.000000,125.000000,0,0.480000,1.930000,9.670000,137.08

12,02:45-03:00,0.000000,145.000000,0,0.480000,1.930000,9.670000,157.08

13,03:00-03:15,0.000000,160.000000,0,0.440000,1.930000,9.670000,172.04

14,03:15-03:30,0.000000,195.000000,0,0.440000,1.930000,9.670000,207.04

15,03:30-03:45,0.000000,210.000000,0,0.440000,1.930000,9.670000,222.04

16,03:45-04:00,0.000000,225.000000,0,0.440000,1.930000,9.670000,237.04

17,04:00-04:15,0.000000,225.000000,0,0.440000,1.930000,9.670000,237.04

18,04:15-04:30,0.000000,235.000000,0,0.440000,1.930000,9.670000,247.04

19,04:30-04:45,0.000000,235.000000,0,0.440000,1.930000,9.670000,247.04

20,04:45-05:00,0.000000,235.000000,0,0.440000,1.930000,9.670000,247.04

21,05:00-05:15,0.000000,100.000000,0,0.480000,1.930000,9.670000,112.08

22,05:15-05:30,0.000000,100.000000,0,0.480000,1.930000,9.670000,112.08

23,05:30-05:45,0.000000,100.000000,0,0.480000,1.930000,9.670000,112.08

24,05:45-06:00,0.000000,100.000000,0,0.480000,1.930000,9.670000,112.08

25,06:00-06:15,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

26,06:15-06:30,0.000000,0.000000,0,0.480000,1.930000,9.670000,12.08

27,06:30-06:45,0.000000,0.000000,0.25,0.480000,1.930000,9.670000,12.33

28,06:45-07:00,0.000000,0.000000,0.68,0.480000,1.930000,9.670000,12.76

29,07:00-07:15,0.000000,0.000000,1.06,0.530000,1.930000,9.670000,13.19

30,07:15-07:30,0.000000,0.000000,1.54,0.530000,1.930000,9.670000,13.67

31,07:30-07:45,0.000000,0.000000,2.11,0.530000,1.930000,9.670000,14.24

32,07:45:08:00,0.000000,0.000000,2.72,0.530000,1.930000,9.670000,14.85

33,08:00-08:15,0.000000,0.000000,3.34,0.970000,1.930000,9.670000,15.91

34,08:15-08:30,0.000000,0.000000,3.95,0.970000,1.930000,9.670000,16.52

35,08:30-08:45,0.000000,0.000000,4.56,0.970000,1.930000,9.670000,17.13

36,08:45:09:00,0.000000,0.000000,5.13,0.970000,1.930000,9.670000,17.7

37,09:00:09:15,0.000000,0.000000,5.68,0.920000,1.930000,9.670000,18.2

38,09:15-09:30,0.000000,0.000000,6.19,0.920000,1.930000,9.670000,18.71

39,09:30-09:45,0.000000,0.000000,6.63,0.920000,1.930000,9.670000,19.15

40,09:45-10:00,0.000000,0.000000,7.05,0.920000,1.930000,9.670000,19.57

41,10:00-10:15,0.000000,0.000000,7.44,0.920000,1.930000,9.670000,19.96

42,10:15-10:30,0.000000,0.000000,7.76,0.920000,1.930000,9.670000,20.28

43,10:30-10:45,0.000000,0.000000,8.06,0.920000,1.930000,9.670000,20.58

44,10:45-11:00,0.000000,0.000000,8.27,0.920000,1.930000,9.670000,20.79

45,11:00-11:15,0.000000,0.000000,8.51,0.920000,1.930000,9.670000,21.03

46,11:15-11:30,0.000000,0.000000,8.65,0.920000,1.930000,9.670000,21.17

47,11:30-11:45,0.000000,0.000000,8.7,0.920000,1.930000,9.670000,21.22

48,11:45-12:00,0.000000,0.000000,8.74,0.920000,1.930000,9.670000,21.26

49,12:00-12:15,0.000000,0.000000,8.84,0.920000,1.930000,9.670000,21.36

50,12:15-12:30,0.000000,0.000000,8.69,0.920000,1.930000,9.670000,21.21

51,12:30-12:45,0.000000,0.000000,9.04,0.920000,1.930000,9.670000,21.56

52,12:45-13:00,0.000000,0.000000,8.47,0.920000,1.930000,9.670000,20.99

53,13:00-13:15,0.000000,0.000000,5.82,0.820000,1.930000,9.670000,18.24

54,13:15-13:30,0.000000,0.000000,8.82,0.820000,1.930000,9.670000,21.24

55,13:30-13:45,0.000000,0.000000,8.45,0.820000,1.930000,9.670000,20.87

56,13:45-14:00,0.000000,0.000000,5.74,0.820000,1.930000,9.670000,18.16

57,14:00-14:15,1.930000,0.000000,5.02,0.920000,1.930000,9.670000,19.47

58,14:15-14:30,1.930000,0.000000,8.12,0.920000,1.930000,9.670000,22.57

59,14:30-14:45,1.930000,0.000000,7.57,0.920000,1.930000,9.670000,22.02

60,14:45-15:00,1.930000,0.000000,5.67,0.920000,1.930000,9.670000,20.12

61,15:00-15:15,1.930000,0.000000,5.51,0.920000,1.930000,9.670000,19.96

62,15:15-15:30,1.930000,0.000000,6.26,0.920000,1.930000,9.670000,20.71

63,15:30-15:45,1.930000,0.000000,5.8,0.920000,1.930000,9.670000,20.25

64,15:45-16:00,1.930000,0.000000,4.26,0.920000,1.930000,9.670000,18.71

65,16:00-16:15,1.930000,0.000000,3.64,0.630000,1.930000,9.670000,17.8

66,16:15-16:30,1.930000,0.000000,3.9,0.630000,1.930000,9.670000,18.06

67,16:30-16:45,1.930000,0.000000,2.84,0.630000,1.930000,9.670000,17

68,16:45-17:00,1.930000,0.000000,1.65,0.630000,1.930000,9.670000,15.81

69,17:00-17:15,1.930000,0.000000,2.13,0.630000,1.930000,9.670000,16.29

70,17:15-17:30,1.930000,0.000000,1.72,0.630000,1.930000,9.670000,15.88

71,17:30-17:45,1.930000,0.000000,1.21,0.630000,1.930000,9.670000,15.37

