Column1,Block,GNA/NR/2025/08/01/4125,NR/2025/32455/A/100713,NR/2025/32004/A/100646,NR/2025/34263/A/100718,NR/2025/34247/A/100562,NR/2025/34505/C,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/100578,NR/2025/32599/A/100240,NR/2025/32534/A/100581,NR/2025/33633/A/100602,NR/2025/32535/A/100585,NR/2025/32532/A/100577,NR/2025/32534/A/100580,NR/2025/33637/A/100600,NR/2025/32535/A/100584,NR/2025/33632/A/100605,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/31045/A/100568,NR/2025/31043/A/100567,NR/2025/34492/C,NR/2025/29440/A/100177,NR/2025/34495/C,NR/2025/34467/C,NR/2025/34471/C,NR/2025/34468/C,NR/2025/32262/A/100167,NR/2025/34485/C,NR/2025/31421/A/100654,NR/2025/32559/A/100642,NR/2025/32610/A/100641,NR/2025/34487/C,NR/2025/32556/A/100643,NR/2025/29992/A/100137,NR/2025/34501/C,NR/2025/34502/C,NR/2025/34503/C,NR/2025/32375/A/100651,NR/2025/31049/A/100571,NR/2025/32397/A/100120,NR/2025/34078/A/100227,NR/2025/31048/A/100570,Total
,,NDMC,MANIKARAN,APPCPL,PTC,PowerPulse,MES_Delhi,SECI_Trader,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,GMRETL,DELHI,MANIKARAN,MANIKARAN,NVVNL,PUNJAB,MANIKARAN,NDMC,BAWANA_GAS,APPCPL,NDMC,PowerPulse,APPCPL,MANIKARAN,PowerPulse,PowerPulse,APPCPL,ITCLH,APPCPL,PowerPulse,PowerPulse,PowerPulse,TPTCL,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,BYPL,NVVNL,NVVNL,NVVNL,NVVNL,PowerPulse,IEXL,DIAPL,PowerPulse,
,,NA,NA,MSEB_State,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,MP_State,NA,NA,DELHI_UT,NA,NA,DELHI_UT,GOA_State,NA,MSEB_State,GOA_State,MSEB_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,KERALA_State,NA,NA,MP_State,MP_State,NA,MSEB_State,HIMACHAL_STATE,NA,
,,SKS_Raigarh,MBMP,AEML,GoHP_NJPC,APL_Raipur_TPP,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,TCSPL_BKN2,TS1PL_BKN,TCSPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,CHANJUII,BLAPOWER_MP,DBPL,JHABUA_IPP,BAWANA_GAS,MBMP,JIPL,BAWANA_GAS,GOA_Beneficiary,TRN_ENERGY,Vidarbha_Industry_MH,GOA_Beneficiary,AEML,MAHAN_ENERGEN,MAHAN_ENERGEN,JPL2,ITCWIND,RKM_POWER,MAHAN_ENERGEN,APL_Raipur_TPP,APL_Raigarh_TPP,TPC_MSEB,AEML,JPNIGRIE_JNSTPP,RKM_POWER,RKM_POWER,RKM_POWER,JPL2,KSEB,Kameng,JPNIGRIE_JNSTPP,JP_BINA,JP_BINA,APL_Raigarh_TPP,A_A_Energy_MH_Bio,GBHHPL,APL_Raigarh_TPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BYPL,BRPL,BRPL,MES_Delhi,TPDDL,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,DTCP,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,BLKMH,OIDLWM3_AEROCITY,MAX_HPTL,TPDDL,BRPL,BRPL,BRPL,PUNJAB,BRPL,NDMC,HARYANA,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,TPDDL,NDMC,ITCLH,NDMC,TPDDL,BRPL,TPDDL,BYPL,BYPL,TPDDL,NDMC,NDMC,NDMC,NDMC,BYPL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,MES_Delhi,DIAPL,TPDDL,
,,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,
1,00:00-00:15,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.87,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.5600000000002

2,00:15-00:30,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.87,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.5600000000002

