Time,Block,NR/2023/13862/A,NR/2023/12422/A,NR/2023/14737/A,NR/2023/15309/F,NR/2023/12592/A,NR/2023/15514/C,NR/2023/15482/C,NR/2023/15516/C,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15306/F,NR/2023/12168/A,NR/2023/14746/A,NR/2023/12591/A,NR/2023/15472/D,NR/2023/12053/A,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/14745/A,NR/2023/15510/C,NR/2023/12167/A,NR/2023/13635/A,NR/2023/15484/C,NR/2023/14895/A,NR/2023/15296/F,NR/2023/15485/C,NR/2023/15057/F,NR/2023/15470/D,NR/2023/15303/F,NR/2023/15304/F,NR/2023/15471/D,Total
,,MANIKARAN,APPCPL,NVVNL,IEXL,NVVNL,TPDDL,GBHHPL,HPXL,MANIKARAN,STATKRAFT,BSHP,APPCPL,APPCPL,NVVNL,NVVNL,KEIPL,GMRETL,KEIPL,TPTCL,APPCPL,PXIL,APPCPL,NVVNL,SJVNL,MANIKARAN,BSHP,SJVNL,ITCLH,KEIPL,BSHP,BSHP,NVVNL,Total

,,TAMIL NADU,HIMACHAL PRADESH,NA,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,MEGHALAYA,MEGHALAYA,MEGHALAYA,NA,GOA,DELHI,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,ANDHRA PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,
,,TANGEDCO,HP,SKS Raigarh,SAPU1234,JPNIGRIE_JNSTPP,CHANJUII,GBHHPL,Teesta_III,HP,TANGEDCO,BSHP,UTTARAKHAND,HP,JPNIGRIE_JNSTPP,KAMENG,Meghalaya_Ben,Meghalaya_Ben,Meghalaya_Ben,JPL-2,GOA_Beneficiary,BYPL,Meghalaya_Ben,KAMENG,DIKCHU,HP,BSHP,BCMLB001,ITCWIND,LMEL MSEB,BSHP,BSHP,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,NDMC,MES (Delhi),BRPL,TPDDL,DIAPL,BRPL,BRPL,BYPL,BMDRC,BYPL,BRPL,BRPL,TPDDL,BYPL,BYPL,BYPL,BRPL,BRPL,ASIL_UP,BYPL,BRPL,NDMC,BRPL,JHPL-DL,NDMC,ITCLH,BYPL,MAX-HPTL,MHIL,MES (Delhi),
,,South-East-North,North-North,West-North,North-North,West-North,North-North,North-North,East-North,North-North,South-West-North,North-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North East-East-North,North East-East-North,West-North,West-North,North-North,North East-East-North,North East-East-North,East-North,North-North,North-North,North-North,South-West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,23.130000,36.820000,62.820000,4.830000,85.030000,18.680000,6.050000,279.320000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1460.92

2,00:15-00:30,23.130000,36.820000,62.820000,4.830000,85.030000,18.680000,6.050000,240.660000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1422.26

3,00:30-00:45,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,208.760000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1377.88

4,00:45-01:00,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,174.940000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1344.06

5,01:00-01:15,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,104.380000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,22.230000,0.910000,0.580000,0,1295.54

6,01:15-01:30,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,67.660000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,22.230000,0.910000,0.580000,0,1258.82

