Block,Time,SH-07,LT-36,LT-05,LT_MEJA_Delhi,L_NR_2012_01,L_NR_2012_07,L_NR_2020_02,L_NR_2019_11,LT-35,L_NR_2019_19,L_NR_2012_02,LT-31,L_NR_2023_04,L_NR_2012_04,LT-59,SH-06,L_NR_2018_61,L_NR_2021_15,L_NR_2021_12,L_NR_2022_08,L_NR_2021_17,L_NR_2021_13,L_NR_2021_14,L_NR_2021_16,L_NR_2019_06,L_NR_2022_09,L_NR_2020_05,L_NR_2020_07,L_NR_2022_10,L_NR_2019_07,L_NR_2019_05,L_NR_2020_06
1,00:00-00:15,0.000000,0.000000,116.140000,1.980000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,13.04,0,0,17.93,0,0,0,0,0,47.94,70.12,23.37,47.94,0,0,23.38

2,00:15-00:30,0.000000,0.000000,116.140000,1.980000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,12.66,0,0,18.06,0,0,0,0,0,48.26,70.24,23.41,48.26,0,0,23.41

3,00:30-00:45,0.000000,0.000000,116.140000,1.980000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,16.49,0,0,18.15,0,0,0,0,0,51.7,70.71,23.57,51.7,0,0,23.57

4,00:45-01:00,0.000000,0.000000,116.140000,1.980000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,16.36,0,0,18.19,0,0,0,0,0,51.86,70.27,23.43,51.86,0,0,23.42

5,01:00-01:15,0.000000,0.000000,116.140000,2.270000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,16.24,0,0,18.19,0,0,0,0,0,51.78,68.89,22.96,51.78,0,0,22.96

6,01:15-01:30,0.000000,0.000000,116.140000,2.350000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,16.04,0,0,18.14,0,0,0,0,0,51.69,66.97,22.32,51.69,0,0,22.33

7,01:30-01:45,0.000000,0.000000,116.140000,2.350000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,15.83,0,0,18.04,0,0,0,0,0,51.65,65.58,21.87,51.65,0,0,21.86

8,01:45-02:00,0.000000,0.000000,116.140000,2.430000,101.350000,87.270000,6.230000,6.000000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,7.000000,0.000000,15.56,0,0,17.07,0,0,0,0,0,47.49,66.29,22.1,47.49,0,0,22.1

9,02:00-02:15,0.000000,0.000000,116.140000,2.540000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,17.24,0,0,17.24,0,0,0,0,0,47.21,71.64,23.88,47.21,0,0,23.88

10,02:15-02:30,0.000000,0.000000,116.140000,2.640000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.91,0,0,17.18,0,0,0,0,0,47.09,70.17,23.39,47.09,0,0,23.39

11,02:30-02:45,0.000000,0.000000,116.140000,2.640000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.76,0,0,23.45,0,0,0,0,0,63.87,70.4,23.46,63.87,0,0,23.47

12,02:45-03:00,0.000000,0.000000,116.140000,2.640000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.66,0,0,23.64,0,0,0,0,0,63.6,71.79,23.93,63.6,0,0,23.93

13,03:00-03:15,0.000000,0.000000,116.140000,2.730000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.49,0,0,23.45,0,0,0,0,0,62.87,71.6,23.86,62.87,0,0,23.87

14,03:15-03:30,0.000000,0.000000,116.140000,2.810000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.3,0,0,23.14,0,0,0,0,0,62.02,70.86,23.62,62.02,0,0,23.62

15,03:30-03:45,0.000000,0.000000,116.140000,3.040000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,16.15,0,0,22.8,0,0,0,0,0,61.06,69.79,23.26,61.06,0,0,23.26

16,03:45-04:00,0.000000,0.000000,116.140000,3.140000,101.350000,87.270000,6.100000,5.840000,0.000000,0.000000,261.810000,0.000000,0.000000,272.110000,6.930000,0.000000,15.94,0,0,22.33,0,0,0,0,0,60.08,70.51,23.52,60.08,0,0,23.5

17,04:00-04:15,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,6.850000,0.000000,15.73,0,0,16.86,0,0,0,0,0,59.46,70.09,23.37,59.46,0,0,23.36

18,04:15-04:30,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,6.850000,0.000000,15.5,0,0,16.75,0,0,0,0,0,58.86,69.75,23.24,58.86,0,0,23.25

19,04:30-04:45,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,6.850000,0.000000,15.31,0,0,16.56,0,0,0,0,0,57.69,68.7,22.9,57.69,0,0,22.9

20,04:45-05:00,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,6.850000,0.000000,15.06,0,0,16.31,0,0,0,0,0,56.94,68.59,22.87,56.94,0,0,22.86

21,05:00-05:15,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,5.460000,0.000000,14.78,0,0,16.08,0,0,0,0,0,50.83,71.17,23.73,50.83,0,0,23.72

22,05:15-05:30,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,0.000000,199.710000,0.000000,0.000000,272.110000,5.460000,0.000000,14.52,0,0,15.71,0,0,0,0,0,50.57,71.66,23.88,50.57,0,0,23.89

23,05:30-05:45,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,1.620000,199.710000,0.000000,0.000000,272.110000,5.460000,0.000000,14.47,0,0,15.57,0.16,0,0,0.33,0,50.05,72.82,24.29,50.05,0,0,24.27

24,05:45-06:00,0.000000,0.000000,116.140000,1.310000,101.350000,62.970000,5.950000,5.840000,0.000000,6.070000,199.710000,0.000000,0.000000,272.110000,5.460000,0.000000,14.38,0.36,1.62,15.57,0.81,0.32,0,1.61,0,49.76,73.32,24.45,49.76,0,0,24.44

25,06:00-06:15,0.000000,0.000000,107.600000,1.310000,101.350000,62.970000,5.770000,5.840000,0.000000,10.300000,199.710000,0.000000,0.000000,272.110000,5.460000,0.000000,14.3,0.8,6.53,15.32,2.11,1.3,0.03,4.23,17.31,39.22,73.71,24.58,39.22,1.43,0,24.57

26,06:15-06:30,0.000000,0.130000,116.140000,1.310000,101.350000,62.970000,5.770000,5.840000,0.130000,14.740000,199.710000,0.130000,0.000000,272.110000,5.460000,0.000000,14.21,2.03,12.69,12.12,3.63,2.54,0.03,7.26,26.87,40.11,77.45,25.81,40.11,3.94,2.04,25.82

27,06:30-06:45,0.000000,0.460000,94.880000,1.310000,101.350000,62.970000,5.770000,5.840000,0.450000,20.300000,199.710000,0.450000,0.000000,272.110000,5.460000,0.000000,14.13,3.38,19.67,12.25,5.56,3.93,1.27,11.13,33,40.77,58.31,19.42,40.77,11.38,5.85,19.44

28,06:45-07:00,0.000000,0.960000,66.420000,2.180000,72.320000,31.450000,5.770000,5.840000,0.930000,27.430000,158.410000,0.930000,0.000000,272.110000,5.460000,0.000000,14.08,5.17,26.88,12.34,8.02,5.38,3.7,16.04,33,41.88,56.82,18.95,41.88,17.63,13.04,18.94

29,07:00-07:15,0.000000,1.650000,66.420000,2.180000,53.210000,31.450000,5.770000,5.840000,1.620000,35.320000,122.920000,1.620000,0.000000,272.110000,5.460000,0.000000,14,7.44,37.53,12.35,10.85,7.51,7.27,21.71,32.71,42.22,57.06,19.02,42.22,26.43,22.31,19.02

