Column1,Block,NR/2024/24443/C,NR/2024/23952/A/46455,NR/2024/24088/A/46482,WR/2024/25054/A/46703,NR/2024/24060/A/46724,NR/2024/24444/C,NER/2024/2770/A/46696,NR/2024/24052/A/46485,NR/2024/24051/A/46486,NR/2024/24146/A/46477,NR/2024/24097/A/46480,NR/2024/24442/C,NR/2024/24441/C,NR/2024/24071/A/46484,NR/2024/24224/A/46618,NR/2024/24227/A/46622,NR/2024/24225/A/46620,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,GNA/NR/2024/12/25/2478,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1475,GNA/SR/2024/12/01/6968,Total
,,SJVNL,ITCLH,IEXL,APPCPL,NVVNL,SJVNL,APPCPL,IEXL,IEXL,IEXL,IEXL,SJVNL,SJVNL,IEXL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,NDMC,DELHI,APPCPL,PTC,MANIKARAN,NDMC,PUNJAB,HPXL,PTC,BAWANA_GAS,NDMC,NDMC,NDMC,KSEB,
,,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,TELANGANA_State,TELANGANA_State,MP_State,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,
,,RENUKASUGARSHAVALGA,ITCWIND,NSLSTUNGBHDRA,BRPL,JITPL,RENUKASUGARSATHANI,BYPL,NSLKSLWPRTY,NSLKSLWPRTY,NSPLN_MP,NSLSUGARALAND,TPSL_BKN2,RSRPL_BKN,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,RKM_POWER,CHANJUII,BYPL,BYPL,BRPL,SKS_Raigarh,BAWANA_GAS,JPL,BRPL,BAWANA_GAS,RKM_POWER,TRN_ENERGY,JPL2,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,
,,NDMC,ITCLH,MES_Delhi,GOA_Beneficiary,NDMC,NDMC,Manipur_Ben,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,NDMC,MES_Delhi,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,NDMC,TPDDL,AEML,HP,AEML,NDMC,PUNJAB,BRPL,HP,HARYANA,NDMC,NDMC,NDMC,KSEB,
,,South-West-North,South-West-North,South-West-North,North-West,East-North,South-West-North,North-East-North East,South-West-North,South-West-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-West,North-North,North-West,West-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-West-South,
1,00:00-00:15,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

2,00:15-00:30,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

