Time,Block,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IEPL01,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19760/A/24282,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/30092023/31122025/SH-07,NR/2024/20050/A/24629,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/20558/A/24639,NR/2024/20037/A/24281,NR/2024/20537/A/24551,NR/2024/20144/A/24311,NR/2024/19699/A/24653,NR/2024/20109/A/24553,NR/2024/20090/A/24244,NR/2024/20516/A/24321,NR/2024/20554/A/24159,NR/2024/21232/C,NR/2024/19919/A/24645,NR/2024/19642/A/24667,NR/2024/21257/C,NR/2024/20572/A/24637,NR/2024/19432/A/24655,NR/2024/19978/A/24647,NR/2024/19966/A/24292,NR/2024/19355/A/24554,NR/2024/20141/A/24313,NR/2024/21234/C,NR/2024/19918/A/24646,NR/2024/20048/A/24630,NR/2024/20130/A/24325,NR/2024/20552/A/24241,NR/2024/20041/A/24624,NR/2024/20777/A/24283,NR/2024/20553/A/24240,NR/2024/20142/A/24312,NR/2024/20524/A/24591,NR/2024/19683/A/24261,NR/2024/20597/A/24631,NR/2024/20540/A/24060,NR/2024/20557/A/24641,NR/2024/20560/A/24638,NR/2024/20211/A/24314,NR/2024/19988/A/24287,NR/2024/19640/A/24666,NR/2024/20513/A/24322,NR/2024/19779/A/24272,NR/2024/20599/A/24285,NR/2024/19475/A/24562,NR/2024/21233/C,NR/2024/19637/A/24297,NR/2024/20515/A/24324,NR/2024/20598/A/24284,NR/2024/19791/A/24650,NR/2024/19588/A/24395,NR/2024/20212/A/24320,NR/2024/19757/A/24651,Total
,,TPTCL,GMRETL,IEPLBELA2022,APPCPL,PUNJAB,MEJA,INSTINCT,NDMC,TPTCL,PTC,TPTCL,TPTCL,TPTCL,TPTCL,BAWANA_GAS,PTC,PTC,TPTCL,NVVNL,TPTCL,TPDDL,BAL234,NVVNL,TPDDL,IEXL,BMDRC,PXIL,NVVNL,APPCPL,MANIKARAN,DIAPL,NVVNL,NVVNL,APPCPL,BRPL,TPDDL,BAL184,NVVNL,APPCPL,PTC,DTCP,IEXL,PTC,TPTCL,IEXL,BAL224,HPXL,IEXL,PTC,DIAPL,NVVNL,NVVNL,JHPL-DL,TPTCL,MANIKARAN,MSSH,ITCLH,TPTCL,AEL,NVVNL,INSTINCT,MHIL,TPTCL,APPCPL,GMRETL,UHL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,ARUNACHAL PRADESH,DELHI,UTTAR PRADESH,NA,NA,UTTAR PRADESH,MAHARASHTRA,NA,NA,NA,NA,DELHI,HIMACHAL PRADESH,NA,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,KERALA,GOA,HIMACHAL PRADESH,NA,NA,UTTARAKHAND,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,TAMIL NADU,RAJASTHAN,HIMACHAL PRADESH,TAMIL NADU,
,,HP-GOVT,GBHHPL,IEPLBELA2022,Arunachal_Ben,BAWANA_GAS,MEJA,JPL-2,JITPL,PPGCL,JPL_DHULE,KWHEP,SIMHAPURI,SIMHAPURI,ACBIL,BAWANA_GAS,HP,SEILP2,MPL,RKM_POWER,JPL_DHULE,JHAJJAR,SHPPBPL,JP BINA,JHAJJAR,A_A_Energy_MH_Bio,SHPPBPL,IND_BHARAT,SOLAPUR_SOLAR,KSEB,GOA_Beneficiary,GBHHPL,JPL-2,SEIL,UTTARAKHAND,IEPLBELA2022,JPL-2,SHPPBPL,SORANG_HEP,Nagaland_Ben,HP,SHPPBPL,JSWEL,JPL_DHULE,HP-GOVT,JSWEL MSEB,SHPPBPL,GBHHPL,NHCPL_HP,SEILP2,GBHHPL,SKS Raigarh,RKM_POWER,SHPPBPL,HP-GOVT,AEML,SHPPBPL,ITCWIND,ACBIL,APL_Raipur TPP,KAMENG,JPL-2,SHPPBPL,PPGCL,TANGEDCO,RUVNL,SHPPBPL,TANGEDCO,
,,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,PUNJAB,DELHI,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,BAL234,TPDDL,TPDDL,MES (Delhi),BMDRC,BRPL,MES (Delhi),BYPL,BRPL,DIAPL,NDMC,TPDDL,BYPL,BRPL,TPDDL,BAL184,TPDDL,BYPL,BYPL,DTCP,BRPL,BRPL,BRPL,BRPL,BAL224,BRPL,MES (Delhi),BRPL,DIAPL,NDMC,NDMC,JHPL-DL,BRPL,BYPL,MSSH,ITCLH,BRPL,BRPL,TPDDL,BRPL,MHIL,BRPL,BYPL,BYPL,UHL,BRPL,
,,North-North,North-North,West-North,North East-East-North,North-North,North-North,West-North,East-North,North-North,West-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,South-West-North,East-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,North-North,East-West-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,South-East-West-North,West-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,
1,00:00-00:15,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2346.99

2,00:15-00:30,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2346.99
