Block,Time,L_NR_2012_01,LT-35,LT-05,LT-36,L_NR_2020_02,L_NR_2022_08,LT-31,L_NR_2012_07,SH-06,L_NR_2012_04,L_NR_2019_11,SH-07,L_NR_2012_02,LT-59,L_NR_2023_04,L_NR_2019_06,L_NR_2020_05,L_NR_2021_16,L_NR_2019_05,L_NR_2022_09,L_NR_2021_15,L_NR_2023_07,L_NR_2019_19,L_NR_2020_07,L_NR_2020_06,L_NR_2023_10,L_NR_2021_17,L_NR_2021_14,L_NR_2019_07,L_NR_2018_61,L_NR_2022_10,L_NR_2021_13,L_NR_2021_12
1,00:00-00:15,100.530000,0.000000,114.790000,0.000000,5.540000,13.49,0.000000,73.590000,25.910000,269.920000,6.100000,30.710000,259.690000,6.020000,29.450000,0,49.77,0,0,38.64,0,0,0,16.59,16.59,0,0,0,0,7.2,38.64,0,0

2,00:15-00:30,100.530000,0.000000,114.790000,0.000000,5.540000,13.23,0.000000,73.590000,25.910000,269.920000,6.100000,30.710000,259.690000,6.020000,29.450000,0,49.36,0,0,38.23,0,0,0,16.46,16.45,0,0,0,0,7.2,38.23,0,0

3,00:30-00:45,100.530000,0.000000,114.790000,0.000000,5.540000,12.94,0.000000,73.590000,0.000000,269.920000,6.100000,30.710000,259.690000,5.630000,29.450000,0,48.51,0,0,37.86,0,0,0,16.17,16.17,0,0,0,0,7.2,37.86,0,0

4,00:45-01:00,100.530000,0.000000,114.790000,0.000000,5.540000,12.87,0.000000,73.590000,0.000000,269.920000,6.100000,30.710000,259.690000,5.630000,29.450000,0,47.88,0,0,37.37,0,0,0,15.96,15.96,0,0,0,0,7.2,37.37,0,0

5,01:00-01:15,100.530000,0.000000,114.790000,0.000000,5.540000,12.87,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.630000,29.450000,0,47.08,0,0,36.91,0,0,0,15.7,15.69,0,0,0,0,7.2,36.91,0,0

6,01:15-01:30,100.530000,0.000000,114.790000,0.000000,5.540000,12.63,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.630000,29.450000,0,46.45,0,0,36.52,0,0,0,15.48,15.48,0,0,0,0,7.2,36.52,0,0

7,01:30-01:45,100.530000,0.000000,114.790000,0.000000,5.540000,12.55,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.790000,29.450000,0,45.67,0,0,36.27,0,0,0,15.22,15.22,0,0,0,0,7.2,36.27,0,0

8,01:45-02:00,100.530000,0.000000,114.790000,0.000000,5.540000,15.22,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.790000,29.450000,0,39.22,0,0,36.02,0,0,0,13.09,13.07,0,0,0,0,7.2,36.02,0,0

9,02:00-02:15,100.530000,0.000000,114.790000,0.000000,5.440000,14.59,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.790000,29.450000,0,38.95,0,0,35.92,0,0,0,12.99,12.98,0,0,0,0,7.2,35.92,0,0

10,02:15-02:30,100.530000,0.000000,114.790000,0.000000,5.440000,14.28,0.000000,73.590000,0.000000,269.920000,5.870000,30.710000,259.690000,5.790000,29.450000,0,38.64,0,0,35.56,0,0,0,12.88,12.88,0,0,0,0,7.2,35.56,0,0

11,02:30-02:45,100.530000,0.000000,114.790000,0.000000,5.440000,13.98,0.000000,73.590000,17.800000,269.920000,5.870000,30.710000,259.690000,5.710000,29.450000,0,38.04,0,0,35.23,0,0,0,12.68,12.68,0,0,0,0,7.2,35.23,0,0

