Column1,Time,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/6187,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19
1,00:00-00:15,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,23.66,12,12.17,23.67,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,86.93,10.51,17.52,271.07,25.23,0,0,20.76,0,0,36.49,0,0,0,12.17,0,0,0,0,0

2,00:15-00:30,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,23.34,11.33,12.17,23.33,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,71.92,10.51,17.52,271.07,25.23,0,0,20.32,0,0,36.49,0,0,0,12.17,0,0,0,0,0

3,00:30-00:45,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,23.34,11,12.33,23.33,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,67.01,10.51,17.52,271.07,25.23,0,0,20.1,0,0,37.01,0,0,0,12.33,0,0,0,0,0

4,00:45-01:00,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,23.34,11,12.33,23.33,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,67.01,10.51,17.52,271.07,25.23,0,0,19.88,0,0,37.01,0,0,0,12.33,0,0,0,0,0

5,01:00-01:15,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,16.66,6.67,8.33,16.67,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,67.01,10.51,17.52,271.07,25.23,0,0,19.66,0,0,25.01,0,0,0,8.33,0,0,0,0,0

6,01:15-01:30,8.76,8.76,0,0,26.93,130.4,0,-0,0,0,16.66,6.67,8.33,16.67,0,70.29,100.41,10.76,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,67.01,10.51,17.52,271.07,25.23,0,0,19.45,0,0,25.01,0,0,0,8.33,0,0,0,0,0

7,01:30-01:45,8.76,8.76,0,0,26.93,102.61,0,-0,0,0,16.66,6.67,8.33,16.67,0,70.29,100.41,0,12.67,26.93,8.53,5.91,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,67.01,10.51,17.52,271.07,25.23,0,0,19.23,0,0,25.01,0,0,0,8.33,0,0,0,0,0

