Block,Time,LT-35,L_NR_2012_07,LT-36,LT-05,L_NR_2019_11,L_NR_2012_04,LT-31,L_NR_2023_04,L_NR_2012_02,L_NR_2012_01,L_NR_2020_02,LT-59,SH-07,SH-06,L_NR_2019_19,L_NR_2021_16,L_NR_2021_17,L_NR_2019_05,L_NR_2019_06,L_NR_2021_12,L_NR_2019_07,L_NR_2018_61,L_NR_2021_13,L_NR_2021_15,L_NR_2020_07,L_NR_2023_07,L_NR_2020_06,L_NR_2023_10,L_NR_2021_14,L_NR_2022_08,L_NR_2022_10,L_NR_2022_09,L_NR_2020_05
1,00:00-00:15,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,26.100000,26.100000,0,0,0,0,0,0,0,39.68,0,0,28.37,0,28.36,0,0,28.58,69.96,69.96,85.09

2,00:15-00:30,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,26.100000,26.100000,0,0,0,0,0,0,0,39.45,0,0,28.58,0,28.6,0,0,28.45,70.01,70.01,85.79

3,00:30-00:45,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,24.670000,24.670000,0,0,0,0,0,0,0,38.22,0,0,28.72,0,28.7,0,0,28.27,70.01,70.01,86.11

4,00:45-01:00,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,24.670000,24.670000,0,0,0,0,0,0,0,37.92,0,0,28.84,0,28.85,0,0,28.72,69.86,69.86,86.54

5,01:00-01:15,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.92,0,0,28.72,0,28.74,0,0,28.74,69.59,69.59,86.21

6,01:15-01:30,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,31.640000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.95,0,0,28.77,0,28.79,0,0,28.97,69.5,69.5,86.36

7,01:30-01:45,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.7,0,0,28.93,0,28.94,0,0,22.1,69.42,69.42,86.81

8,01:45-02:00,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,36.73,0,0,28.9,0,28.91,0,0,22.38,69.5,69.5,86.72

9,02:00-02:15,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.14,0,0,28.69,0,28.7,0,0,22.56,69.27,69.27,86.1

10,02:15-02:30,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.14,0,0,28.93,0,28.92,0,0,22.47,68.83,68.83,86.77

11,02:30-02:45,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,37.15,0,0,28.84,0,28.86,0,0,22.4,68.17,68.17,86.57

12,02:45-03:00,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,29.710000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,36.73,0,0,28.84,0,28.84,0,0,22.28,67.86,67.86,86.52

13,03:00-03:15,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,28.740000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,36.42,0,0,28.93,0,28.94,0,0,22.45,67.74,67.74,86.81

14,03:15-03:30,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,28.740000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,28.66,0,0,31.74,0,31.73,0,0,22.79,73.51,73.51,95.19

15,03:30-03:45,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,28.740000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,27.73,0,0,31.63,0,31.64,0,0,22.87,73.44,73.44,94.92

16,03:45-04:00,0.000000,74.110000,0.000000,90.030000,10.770000,133.380000,0.000000,28.740000,261.530000,0.000000,11.900000,10.340000,26.090000,26.090000,0,0,0,0,0,0,0,26.21,0,0,31.4,0,31.39,0,0,22.89,72.84,72.84,94.18

