Block,Time,RAPPB,AURY_RF,DADRI_RF,RAMPUR,PARBATI3,RAPPC,JHAJJAR,DADRI_LF,ANTA_CRF,ANTA_GF,DADRT2,TANAKPUR,RIHAND3,BSIUL,AURY_GF,UNCHAHAR1,TANDA2,KOTESHWR,UNCHAHAR4,RIHAND1,TEHRI,NJPC,KISHANGANGA,DHAULIGNGA,UNCHAHAR2,AURY_CRF,DULHASTI,URI2,SINGRAULI_HYDRO,SEWA2,URI,DADRI_CRF,SALAL,DADRI_GF,NAPP,AURY_LF,RIHAND2,CHAMERA1,SINGRAULI,ANTA_RF,CHAMERA2,UNCHAHAR3,KOLDAM,CHAMERA3,ANTA_LF,FSTPP I & II,KHSTPP-I,BRBCL,KHSTPP-II,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.938988,0.000000,8.726494,0.000000,88.504000,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,134.016220,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,19.240016,106.580750,0.000000,402.856740,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,88.504000,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,134.016220,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,19.240016,106.580750,0.000000,402.856740,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,88.504000,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,134.016220,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,30.746290,19.240016,123.896750,0.000000,402.856740,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,88.504000,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,134.016220,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,30.746290,18.894010,123.896750,0.000000,402.856740,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,76.177981,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,18.644514,106.580750,0.000000,402.856740,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,15.284994,106.580750,0.000000,402.856740,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,15.578561,106.580750,0.000000,402.856740,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.486867,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,26.247400,14.702199,106.580750,0.000000,402.856740,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.274458,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,23.088000,13.560509,78.056680,0.000000,402.856740,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.274458,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,23.088000,12.382110,78.056680,0.000000,402.856740,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,0.000000,52.493454,230.880000,0.000000,0.000000,0.000000,359.788000,0.000000,58.512496,0.000000,0.000000,12.506000,0.000000,8.726494,0.000000,60.823027,0.000000,0.000000,0.000000,0.000000,23.088000,0.000000,0.000000,4.529288,0.846541,0.000000,1.274458,0.000000,1.341413,0.000000,34.932144,0.000000,113.636250,0.000000,121.964573,0.000000,0.000000,15.392000,0.000000,0.000000,0.000000,11.544000,23.088000,11.760993,78.056680,0.000000,402.856740,0,0,0,0,0

