Block,Time,CHAMERA3,DADRI_RF,AURY_CRF,AURY_RF,RIHAND1,UNCHAHAR4,BSIUL,NJPC,KISHANGANGA,RAPPC,NAPP,TANAKPUR,DADRI_GF,RIHAND2,ANTA_CRF,TEHRI,KOLDAM,SEWA2,ANTA_GF,UNCHAHAR2,RIHAND3,UNCHAHAR3,URI,RAMPUR,ANTA_RF,UNCHAHAR1,DADRI_LF,DULHASTI,AURY_GF,DADRI_CRF,CHAMERA2,JHAJJAR,RAPPB,AURY_LF,URI2,CHAMERA1,SINGRAULI,DHAULIGNGA,PARBATI3,TANDA2,BRBCL,SINGRAULI_HYDRO,KOTESHWR,TALA,KHSTPP-II,SALAL,DADRT2,ANTA_LF,KHSTPP-I,FSTPP I & II,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,88.899600,0.000000,0.000000,54.905166,0.000000,25.137811,38.803516,12.687761,0.000000,56.006651,0.000000,43.831368,0.000000,0.000000,0.000000,40.961554,119.498093,11.595600,46.938989,0.000000,0.000000,8.696700,0.000000,47.770544,0.000000,0.000000,25.452419,394.897048,0.000000,0.000000,30.822440,0.000000,99.649688,17.615456,0.000000,0.000000,16.987592,0.794869,8.574946,15.625071,142.298208,23.579653,521.506086,0.000000,31.085968,18.465510,43.77,335.910038,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,88.899600,0.000000,0.000000,54.905166,0.000000,25.137811,38.803516,12.687761,0.000000,56.006651,0.000000,29.220912,0.000000,0.000000,0.000000,40.961554,119.498093,11.595600,46.938989,0.000000,0.000000,8.696700,0.000000,47.770544,0.000000,0.000000,25.452419,394.897048,0.000000,0.000000,30.822440,0.000000,99.649688,17.615456,0.000000,0.000000,16.987592,0.794869,8.574946,15.625071,142.298208,23.579653,522.148902,0.000000,31.085968,18.465510,35.46,335.910038,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,88.899600,0.000000,0.000000,54.905166,0.000000,25.137811,38.803516,12.687761,0.000000,56.006651,0.000000,14.610456,0.000000,0.000000,0.000000,40.961554,119.498093,11.595600,17.068723,0.000000,0.000000,8.696700,0.000000,47.770544,0.000000,0.000000,25.452419,335.306100,0.000000,0.000000,30.822440,0.000000,99.649688,17.615456,0.000000,0.000000,16.987592,0.794869,8.574946,15.625071,142.298208,50.527827,522.148902,0.000000,31.085968,18.465510,29.86,335.910038,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,88.899600,0.000000,0.000000,54.905166,0.000000,25.137811,38.803516,12.687761,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,40.961554,119.498093,11.595600,14.935133,0.000000,0.000000,8.696700,0.000000,47.770544,0.000000,0.000000,25.452419,335.306100,0.000000,0.000000,30.822440,0.000000,99.649688,17.615456,0.000000,0.000000,16.366123,0.794869,8.574946,15.625071,142.298208,76.701241,524.081502,0.000000,31.085968,18.465510,29.86,335.910038,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,88.899600,0.000000,0.000000,54.905166,0.000000,25.137811,38.803516,12.687761,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,40.961554,119.498093,11.595600,14.935133,0.000000,0.000000,8.696700,0.000000,47.770544,0.000000,0.000000,25.452419,335.306100,0.000000,0.000000,30.822440,0.000000,99.649688,17.615456,0.000000,0.000000,15.666465,0.794869,8.574946,15.625071,142.298208,76.701241,557.902002,0.000000,31.085968,18.465510,28.02,335.910038,0,0,0,0,0

