Block,Time Block,DULHASTI,FSTPP I & II,JHAJJAR,DHAULIGNGA,DADRT2,CHAMERA3,RAPPB,RAPPC,RIHAND1,RAPPD,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KKNP,KISHANGANGA,SINGRAULI_HYDRO,SINGRAULI,DADRI_CRF,ANTA_RF,ANTA_CRF,AURY_LF,AURY_GF,AURY_RF,ANTA_LF,ANTA_GF,AURY_CRF,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,TelanganaSTPP,URI2,UNCHAHAR3,UNCHAHAR2,URI,TEHRIPSP,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,KOTESHWR,KOLDAM,PARBATI3,PARBATI2,RAMPUR,TALA,TEHRI,TANDA2,TALST2,TANAKPUR,DADRI_RF,DADRI_LF,DADRI_GF,KKNPPU2,NLCIIST1,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NJPC,NTPL,NAPP,NLCEXP,KUDGI,RIHAND3,RIHAND2,RSTPSU7,SALAL,RSTPSU1TO6,SEWA2,SASAN,SIMHST2,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,36.87,20.01,391.32,40.85,613.54,0,0,62.95,45.5,37.28,0,14.4,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,99.89,32.99,0,36.3,25.69,41.51,8.5,100.04,21.14,1.36,0,43.37,8.3,38.63,14.9,5.46,23.42,79.24,3.64,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

2,00:15-00:30,36.87,20.01,340.33,40.85,579.87,0,0,62.95,45.5,37.28,0,12.39,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,99.91,32.99,0,36.3,25.69,41.51,8.5,200.08,21.14,1.35,0,43.37,8.3,38.63,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

3,00:30-00:45,36.87,20.01,252.67,40.85,519.68,0,0,62.95,45.5,37.28,0,12.75,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,104.24,32.99,0,36.3,25.69,41.51,12.75,200.08,19.86,1.35,0,43.37,8.3,21.45,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

4,00:45-01:00,36.87,20.01,252.67,40.85,519.68,0,0,62.95,45.5,37.28,0,11.36,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,104.46,32.99,0,36.3,25.69,41.51,12.75,200.08,18.15,1.35,0,43.37,8.3,21.45,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

5,01:00-01:15,36.87,20.01,241.12,40.85,449.93,0,0,62.95,45.5,37.28,0,11.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,108.66,32.99,0,36.3,22.2,36.08,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

6,01:15-01:30,36.87,20.01,241.12,40.85,360.93,0,0,62.95,45.5,37.28,0,10.39,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,109.01,32.99,0,36.3,22.2,36.08,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

7,01:30-01:45,36.87,20.01,241.12,40.85,274.34,0,0,62.95,45.5,37.28,0,11.79,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,114.05,32.99,0,36.3,22.2,36.08,9.55,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

8,01:45-02:00,36.87,20.01,241.12,40.85,207,0,0,62.95,45.5,37.28,0,12.31,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,114.05,32.99,0,36.3,19.36,30.59,9.55,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.42,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

9,02:00-02:15,36.87,17.25,241.12,40.85,255.7,0,0,62.95,45.5,37.28,0,12.58,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,109.76,32.99,0,36.3,18.77,30.59,9.55,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

10,02:15-02:30,36.87,14.09,241.12,40.85,226.24,0,0,62.95,45.5,37.28,0,11.68,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,109.76,32.99,0,36.3,18.77,30.59,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

11,02:30-02:45,36.87,14.09,241.12,40.85,197.37,0,0,62.95,45.5,37.28,0,12.03,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,113.26,32.99,0,36.3,18.77,30.59,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

12,02:45-03:00,36.87,14.09,241.12,40.85,197.37,0,0,62.95,45.5,37.28,0,12.83,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,113.26,32.99,0,36.3,18.77,30.59,12.75,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,10.64,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,81.61,0,17.64,378.83,0,0,0,0,0,0,0

13,03:00-03:15,36.87,14.09,241.12,40.85,216.62,0,0,62.95,45.5,37.28,0,14.53,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,121.44,32.99,0,33,18.77,30.59,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

