Time,Block,NR/2024/18807/A/11977,NR/2024/18874/A/11976,NR/2024/18759/A/11946,NR/2024/18806/A/12159,NR/2024/19113/C,SR/2024/12711/C,NR/2024/19095/C,Total
,,DIAPL,DIAPL,ITCLH,IEXL,IEXL,IEXL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,KARNATAKA,DELHI,DELHI,NA,
,,GBHHPL,GBHHPL,ITCWIND,NSLSUGARALAND,BYPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,TAMIL NADU,DELHI,
,,DIAPL,DIAPL,ITCLH,MES (Delhi),UPPCL,TANGEDCO,MES (Delhi),
,,North-North,North-North,South-West-North,South-East-North,North-North,North-East-South,West-North,
1,00:00-00:15,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

2,00:15-00:30,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

3,00:30-00:45,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

4,00:45-01:00,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

5,01:00-01:15,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

6,01:15-01:30,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

7,01:30-01:45,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

8,01:45-02:00,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

9,02:00-02:15,0.000000,1.930000,0.480000,9.670000,75.000000,0.00,0,87.08

10,02:15-02:30,0.000000,1.930000,0.480000,9.670000,95.000000,0.00,0,107.08

11,02:30-02:45,0.000000,1.930000,0.480000,9.670000,105.000000,0.00,0,117.08

12,02:45-03:00,0.000000,1.930000,0.480000,9.670000,120.000000,0.00,0,132.08

13,03:00-03:15,0.000000,1.930000,0.440000,9.670000,130.000000,0.00,0,142.04

14,03:15-03:30,0.000000,1.930000,0.440000,9.670000,145.000000,0.00,0,157.04

15,03:30-03:45,0.000000,1.930000,0.440000,9.670000,160.000000,0.00,0,172.04

16,03:45-04:00,0.000000,1.930000,0.440000,9.670000,170.000000,0.00,0,182.04

17,04:00-04:15,0.000000,1.930000,0.440000,9.670000,190.000000,0.00,0,202.04

18,04:15-04:30,0.000000,1.930000,0.440000,9.670000,195.000000,0.00,0,207.04

19,04:30-04:45,0.000000,1.930000,0.440000,9.670000,205.000000,0.00,0,217.04

20,04:45-05:00,0.000000,1.930000,0.440000,9.670000,205.000000,0.00,0,217.04

21,05:00-05:15,0.000000,1.930000,0.480000,9.670000,75.000000,150.00,0,237.08

22,05:15-05:30,0.000000,1.930000,0.480000,9.670000,75.000000,157.00,0,244.08

23,05:30-05:45,0.000000,1.930000,0.480000,9.670000,75.000000,107.00,0,194.08

24,05:45-06:00,0.000000,1.930000,0.480000,9.670000,75.000000,7.00,0,94.08

25,06:00-06:15,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

26,06:15-06:30,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0,12.08

27,06:30-06:45,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0.19,12.27

28,06:45-07:00,0.000000,1.930000,0.480000,9.670000,0.000000,0.00,0.67,12.75

29,07:00-07:15,0.000000,1.930000,0.530000,9.670000,0.000000,0.00,1.06,13.19

30,07:15-07:30,0.000000,1.930000,0.530000,9.670000,0.000000,0.00,1.55,13.68

31,07:30-07:45,0.000000,1.930000,0.530000,9.670000,0.000000,0.00,2.09,14.22

32,07:45:08:00,0.000000,1.930000,0.530000,9.670000,0.000000,0.00,2.64,14.77

33,08:00-08:15,0.000000,1.930000,0.970000,9.670000,0.000000,0.00,3.24,15.81

34,08:15-08:30,0.000000,1.930000,0.970000,9.670000,0.000000,0.00,3.82,16.39

35,08:30-08:45,0.000000,1.930000,0.970000,9.670000,0.000000,0.00,4.44,17.01

