Block,Time,AURY_CRF,URI2,TANAKPUR,BSIUL,DADRT2,TEHRI,SALAL,ANTA_RF,UNCHAHAR1,SINGRAULI,DADRI_LF,TANDA2,KOLDAM,NAPP,RAPPC,DHAULIGNGA,URI,RAMPUR,CHAMERA2,ANTA_CRF,ANTA_GF,NJPC,DULHASTI,DADRI_CRF,ANTA_LF,UNCHAHAR4,JHAJJAR,CHAMERA3,AURY_RF,RIHAND3,DADRI_RF,PARBATI3,AURY_LF,KISHANGANGA,UNCHAHAR2,AURY_GF,SEWA2,CHAMERA1,RAPPB,SINGRAULI_HYDRO,RIHAND1,UNCHAHAR3,KHSTPP-I,TALA,KUDGI,FSTPP I & II,KOTESHWR,KHSTPP-II,DADRI_GF,RIHAND2,SASAN,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,33.199415,11.780076,19.032235,292.478199,35.475929,73.113040,0.000000,14.144126,137.456000,0.000000,1.348163,2.594839,40.222433,53.824225,37.147370,45.952896,1.710148,40.524901,0.000000,0.000000,154.897106,50.323618,0.000000,0.000000,0.784080,448.878541,29.595238,0.000000,121.285842,0.000000,49.260974,0.000000,2.114555,36.089363,0.000000,16.058021,41.294880,0.000000,1.034565,90.333760,18.644938,38.345384,14.229600,33.88,14.970604,7.973913,142.795004,0.000000,115.763120,332.145000,11.170236,0,0,0,0,0

2,00:15-00:30,0.000000,33.199415,11.780076,19.032235,292.478199,35.475929,73.113040,0.000000,14.144126,137.456000,0.000000,1.348163,2.594839,40.222433,53.824225,37.147370,45.952896,1.710148,40.524901,0.000000,0.000000,154.897106,50.323618,0.000000,0.000000,0.784080,419.602929,29.595238,0.000000,121.285842,0.000000,49.260974,0.000000,2.114555,36.089363,0.000000,16.058021,41.294880,0.000000,1.034565,90.333760,18.644938,38.345384,14.229600,33.88,14.970604,7.973913,142.795004,0.000000,115.763120,332.145000,11.170236,0,0,0,0,0

3,00:30-00:45,0.000000,33.199415,11.780076,19.032235,292.478199,35.475929,73.113040,0.000000,14.144126,137.456000,0.000000,1.348163,2.594839,40.222433,53.824225,37.147370,45.952896,1.710148,40.524901,0.000000,0.000000,154.897106,50.323618,0.000000,0.000000,0.784080,419.602929,29.595238,0.000000,121.285842,0.000000,49.260974,0.000000,2.114555,36.083846,0.000000,16.058021,41.294880,0.000000,1.034565,90.333760,18.644938,37.017288,14.229600,33.88,14.970604,7.973913,142.795004,0.000000,115.763120,332.145000,11.170236,0,0,0,0,0

4,00:45-01:00,0.000000,33.199415,11.780076,19.032235,292.478199,35.475929,73.113040,0.000000,14.144126,137.456000,0.000000,1.348163,2.594839,40.222433,53.824225,37.147370,45.952896,1.710148,40.524901,0.000000,0.000000,154.897106,50.323618,0.000000,0.000000,0.784080,400.242929,29.595238,0.000000,121.285842,0.000000,49.260974,0.000000,2.114555,36.083846,0.000000,16.058021,41.294880,0.000000,1.034565,90.333760,18.644938,37.017288,14.229600,33.88,14.970604,7.973913,142.795004,0.000000,115.763120,332.145000,11.018943,0,0,0,0,0

5,01:00-01:15,0.000000,33.199415,11.780076,19.032235,292.478199,26.606947,73.113040,0.000000,14.144126,137.456000,0.000000,1.348163,2.594839,40.222433,53.824225,37.147370,45.952896,1.710148,40.524901,0.000000,0.000000,154.897106,50.323618,0.000000,0.000000,0.784080,371.202929,29.595238,0.000000,121.285842,0.000000,32.408535,0.000000,2.114555,36.083846,0.000000,16.058021,41.294880,0.000000,1.034565,90.333760,18.644938,37.017288,14.229600,33.88,14.970604,7.973913,142.795004,0.000000,115.763120,329.967000,8.510656,0,0,0,0,0

