Block,Time,NR/01102023/31052040/LT-31,NR/16122023/22122023/HP-16,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/16122023/22122023/HP-20,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/17122023/17122023/SJVN171223NR1297,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/17122023/17122023/SJVN171223NR1296,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0.000000,133.370000,148.120000,1.080000,0.000000,30.640000,100.300000,1.750000,25.300000,0.000000,127.340000,1.140000,22.980000,170.670000,71.250000,0,0,29.54,0,0,0,0,6.66,20,6.67,0,0,0,0,19.62,0,19.62,0,0,0,0,6.66,47.88,0,55.180000,95.760000,0.000000

2,00:15-00:30,0.000000,133.370000,148.120000,1.080000,0.000000,30.640000,100.300000,1.750000,25.300000,0.000000,127.340000,1.140000,22.980000,170.670000,71.250000,0,0,29.94,0,0,0,0,6.66,20,6.67,0,0,0,0,18.84,0,18.84,0,0,0,0,6.66,47.88,0,55.180000,95.760000,0.000000

3,00:30-00:45,0.000000,133.370000,148.120000,1.080000,0.000000,25.850000,100.300000,1.750000,25.850000,0.000000,127.340000,1.140000,22.980000,170.670000,71.250000,0,0,30.99,0,0,0,0,6.66,20,6.67,0,0,0,0,17.89,0,17.89,0,0,0,0,6.66,47.88,0,55.180000,95.760000,0.000000

4,00:45-01:00,0.000000,133.370000,148.120000,1.080000,0.000000,25.850000,100.300000,1.750000,25.850000,0.000000,127.340000,1.140000,22.980000,170.670000,71.250000,0,0,31.51,0,0,0,0,6.66,20,6.67,0,0,0,0,16.85,0,16.85,0,0,0,0,6.66,47.88,0,31.600000,95.760000,0.000000

5,01:00-01:15,0.000000,133.370000,148.120000,1.080000,0.000000,25.850000,100.300000,1.750000,25.850000,0.000000,127.340000,1.060000,22.980000,170.670000,71.250000,0,0,32.34,0,0,0,0,6.66,20,6.67,0,0,0,0,14,0,14,0,0,0,0,6.66,47.88,0,31.600000,95.760000,0.000000

