Block,Time Block,JHAJJAR,CHAMERA1,DHAULIGNGA,FSTPP I & II,CHAMERA3,DULHASTI,DADRT2,CHAMERA2,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNPPU2,BRBCL,BSIUL,KISHANGANGA,KKNP,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,SINGRAULI_HYDRO,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,URI,TEHRI,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,RIHAND3,SASAN,RAPPB,SIMHST1,RIHAND2,SIMHST2,RSTPSU7,RIHAND1,SALAL,SEWA2,SINGRAULI,RSTPSU1TO6,RAPPC,RAMPUR,NNTPP,NTPL,PARBATI3,KOLDAM,NJPC,NLCIIST2,MAPS,NAPP,NLCTS2EXP,KOTESHWR,NLCEXP,NLCIIST1,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,229.39,0,0,15.99,0,15.82,428.21,0,37.66,0,0,122.68,0,15,6.26,0,0,13.13,0,0,0,30.62,0.68,17.48,0,0,0,0,27.61,32.85,0,0,0,0,0,0,0,0,0,0,0,0,0,119.33,388.72,0,0,113.99,0,0,88.3,2.24,0,120.68,0,24.72,0,0,0,0,0,0,0,0,19.58,0,8.51,0,0,0,0,0,0,0,0

2,00:15-00:30,229.39,0,0,15.06,0,15.82,418.62,0,37.66,0,0,122.68,0,14.71,6.26,0,0,13.13,0,0,0,30.62,0.68,17.31,0,0,0,0,27.61,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0,119.33,388.72,0,0,113.99,0,0,88.3,2.24,0,120.9,0,24.72,0,0,0,0,0,0,0,0,19.58,0,8.51,0,0,0,0,0,0,0,0

3,00:30-00:45,248.41,0,0,15.06,0,15.82,399.42,0,43.7,0,0,140.25,0,16.59,6.26,0,0,16.97,0,0,0,30.62,0.68,21.15,0,0,0,0,34.26,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0,119.33,388.72,0,0,113.99,0,0,88.3,2.24,0,120.9,0,24.72,0,0,0,0,0,0,0,0,19.58,0,8.51,0,0,0,0,0,0,0,0

4,00:45-01:00,248.41,0,0,15.06,0,15.82,380.22,0,37.66,0,0,122.68,0,15.17,6.26,0,0,16.97,0,0,0,30.62,0.68,21.15,0,0,0,0,34.33,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0,119.33,388.72,0,0,113.99,0,0,88.3,2.24,0,120.9,0,24.72,0,0,0,0,0,0,0,0,19.58,0,8.51,0,0,0,0,0,0,0,0

5,01:00-01:15,248.41,0,0,15.06,0,0,361.03,0,37.66,0,0,122.68,0,14.24,6.26,0,0,16.97,0,0,0,30.62,0.68,21.15,0,0,0,0,34.33,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0,119.33,388.72,0,0,113.99,0,0,88.3,2.24,0,120.9,0,24.72,0,0,0,0,0,0,0,0,19.58,0,8.51,0,0,0,0,0,0,0,0

