Time,Block,NR/2023/15303/F,NR/2023/14898/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/15435/D,NR/2023/15442/C,NR/2023/15437/D,NR/2023/15057/F,NR/2023/14746/A,NR/2023/15458/C,NR/2023/12167/A,NR/2023/12347/A,NR/2023/15434/D,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15459/C,NR/2023/15304/F,NR/2023/15456/C,NR/2023/14737/A,NR/2023/15441/C,NR/2023/12591/A,NR/2023/15306/F,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12592/A,NR/2023/15296/F,NR/2023/12422/A,NR/2023/14895/A,NR/2023/15309/F,NR/2023/15445/C,NR/2023/13862/A,NR/2023/12168/A,Total
,,BSHP,MANIKARAN,NVVNL,TPTCL,NVVNL,SJVNL,NVVNL,ITCLH,APPCPL,PXIL,APPCPL,STATKRAFT,KEIPL,KEIPL,APPCPL,PXIL,BSHP,TPDDL,NVVNL,SJVNL,NVVNL,BSHP,GMRETL,KEIPL,NVVNL,BSHP,APPCPL,MANIKARAN,IEXL,GBHHPL,MANIKARAN,APPCPL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,UTTAR PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,TAMIL NADU,MAHARASHTRA,MEGHALAYA,GOA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,TAMIL NADU,UTTARAKHAND,
,,BSHP,HP,KAMENG,JPL-2,KAMENG,BCMLB001,SOLAPUR_SOLAR,ITCWIND,HP,LAPL-UP,Meghalaya_Ben,TANGEDCO,LMEL MSEB,Meghalaya_Ben,GOA_Beneficiary,Teesta_III,BSHP,CHANJUII,SKS Raigarh,DIKCHU,JPNIGRIE_JNSTPP,BSHP,Meghalaya_Ben,Meghalaya_Ben,JPNIGRIE_JNSTPP,BSHP,HP,HP,SAPU1234,GBHHPL,TANGEDCO,UTTARAKHAND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MAX-HPTL,BRPL,BRPL,BRPL,TPDDL,NDMC,MES (Delhi),ITCLH,BRPL,BRPL,BYPL,BYPL,BYPL,BYPL,BRPL,BRPL,MHIL,TPDDL,NDMC,NDMC,BRPL,BMDRC,BYPL,BYPL,BRPL,JHPL-DL,BYPL,BRPL,MES (Delhi),DIAPL,BRPL,BYPL,
,,North-North,North-North,North East-East-North,West-North,North East-East-North,North-North,West-North,South-West-North,North-North,North-North,North East-East-North,South-West-North,West-North,North East-East-North,West-North,East-North,North-North,North-North,West-North,East-North,West-North,North-North,North East-East-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,North-North,South-East-North,North-North,
1,00:00-00:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,293.820000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1475.42

2,00:15-00:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,249.360000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1430.96

3,00:30-00:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,216.500000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1398.1

4,00:45-01:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,182.670000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1364.27

5,01:00-01:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,115.010000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1296.42

6,01:15-01:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,77.320000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1258.73

7,01:30-01:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,43.490000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1224.9

8,01:45-02:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,85.920000,0.000000,24.160000,98.580000,0.000000,36.470000,24.160000,48.320000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1229.73

9,02:00-02:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.580000,85.920000,0.000000,24.160000,98.580000,18.360000,36.470000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1199.67

10,02:15-02:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.580000,85.920000,0.000000,24.160000,98.580000,18.360000,36.470000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1199.67

11,02:30-02:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.580000,85.920000,0.000000,24.160000,98.580000,18.360000,36.470000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1199.67

12,02:45-03:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.580000,85.920000,0.000000,24.160000,98.580000,18.360000,36.470000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1199.67

