Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,43.49,69.58,-1.20,7.73,-31.00,0.87,0.29,57.98
00:15 - 00:30,101.46,41.56,-1.20,8.12,-34.00,0.87,0.29,38.66
00:30 - 00:45,146.89,57.02,-1.20,7.92,-38.00,0.39,0.00,38.66
00:45 - 01:00,150.75,29.96,-1.20,7.83,-41.00,0.00,0.00,38.66
01:00 - 01:15,158.49,127.56,-1.20,7.54,-39.00,0.00,0.29,24.16
01:15 - 01:30,159.46,104.37,-1.20,7.34,-41.00,0.00,0.29,14.50
01:30 - 01:45,115.00,104.37,-1.20,7.25,-42.00,0.00,0.29,38.66
01:45 - 02:00,124.66,81.18,-1.20,7.15,-44.00,0.00,0.29,43.49
02:00 - 02:15,121.77,79.24,-1.20,6.96,-46.00,0.00,0.29,53.15
02:15 - 02:30,124.67,82.14,-1.20,6.76,-48.00,0.00,0.29,48.32
02:30 - 02:45,112.10,104.37,-1.20,6.67,-49.00,0.00,0.29,38.66
02:45 - 03:00,113.08,92.77,-1.20,6.57,-49.00,0.00,0.29,33.82
03:00 - 03:15,100.51,77.31,-1.20,6.57,-46.00,0.00,0.29,28.99
03:15 - 03:30,99.55,63.78,-1.20,6.57,-48.00,0.00,0.29,28.99
03:30 - 03:45,68.62,47.35,-1.20,6.57,-48.00,0.00,0.29,9.66
03:45 - 04:00,55.09,48.32,-1.20,6.57,-48.00,0.10,0.29,9.66
04:00 - 04:15,40.59,45.42,-1.20,6.57,-48.00,0.10,0.29,9.66
04:15 - 04:30,48.33,0.00,-1.20,6.57,-49.00,0.00,0.29,9.66
04:30 - 04:45,57.99,0.00,-1.20,6.57,-50.00,0.00,0.29,9.66
04:45 - 05:00,78.28,0.00,-1.20,6.57,-50.00,0.00,0.29,9.66
05:00 - 05:15,46.39,6.76,-1.20,7.15,-49.00,0.00,0.29,0.00
05:15 - 05:30,32.85,0.00,-1.20,7.54,-49.00,0.10,0.29,-15.00
05:30 - 05:45,0.00,0.00,-1.20,8.12,-49.00,0.00,0.29,-10.00
05:45 - 06:00,0.00,0.00,-1.20,8.12,-47.00,0.00,0.29,-15.00
06:00 - 06:15,0.00,0.00,-1.20,8.21,-45.00,0.00,0.29,0.00
06:15 - 06:30,0.00,0.00,-1.20,8.21,-41.00,0.00,0.29,0.00
06:30 - 06:45,-63.00,-21.00,-1.20,9.66,-39.00,0.00,0.29,-100.00
06:45 - 07:00,-58.00,-27.00,-1.20,9.66,-32.00,0.00,0.29,-70.00
07:00 - 07:15,-48.00,-21.00,-1.20,9.66,-40.00,0.00,0.29,-140.00
07:15 - 07:30,0.00,13.53,-1.20,9.66,-39.00,0.00,0.29,-65.00
07:30 - 07:45,30.93,-8.00,-1.20,9.95,-30.00,0.00,0.29,-20.00
07:45 - 08:00,49.29,-4.00,-1.20,9.66,-34.00,0.00,0.29,-30.00
08:00 - 08:15,105.34,-27.00,-1.20,9.66,-21.00,0.00,0.29,-70.00
08:15 - 08:30,98.57,-19.00,-1.20,10.63,-14.00,0.00,0.29,-70.00
08:30 - 08:45,38.66,-61.00,-1.20,6.76,-14.00,0.00,0.29,-90.00
08:45 - 09:00,16.43,-70.00,-1.20,7.73,-14.00,0.00,0.29,-110.00
09:00 - 09:15,-27.00,-50.00,-0.20,7.73,-14.00,0.00,0.29,-110.00
09:15 - 09:30,13.53,-45.00,-0.20,7.73,0.00,0.00,0.29,-40.00
09:30 - 09:45,13.53,-18.00,-0.20,10.63,0.00,0.00,0.29,0.00
09:45 - 10:00,21.26,-16.00,-0.20,10.63,0.00,0.00,0.29,0.00
10:00 - 10:15,47.36,-29.00,-0.20,10.63,0.00,0.00,0.29,33.82
10:15 - 10:30,39.62,-29.00,-0.20,10.63,0.00,0.00,0.29,38.66
10:30 - 10:45,42.53,0.00,-0.50,10.63,0.00,0.00,0.29,33.82
10:45 - 11:00,28.99,0.00,-0.50,11.60,0.00,0.00,0.29,19.33
11:00 - 11:15,34.79,14.50,-0.50,11.60,0.00,0.00,0.29,33.82
11:15 - 11:30,34.79,19.33,-0.50,10.63,0.00,0.00,0.29,33.82
11:30 - 11:45,56.06,20.29,-0.50,13.53,0.00,0.00,0.29,33.82
11:45 - 12:00,61.84,29.96,-0.50,13.53,0.00,0.00,0.29,38.66
12:00 - 12:15,66.68,39.62,-0.50,14.50,0.00,0.00,0.29,91.81
12:15 - 12:30,69.58,15.46,-0.50,13.92,0.00,0.00,0.29,86.98
12:30 - 12:45,66.68,9.66,-0.50,13.05,0.00,0.00,0.29,96.64
12:45 - 13:00,81.18,19.33,-0.50,12.76,0.00,0.00,0.29,96.63
13:00 - 13:15,97.61,24.16,-0.50,12.18,0.00,0.00,0.29,106.30
13:15 - 13:30,91.81,21.26,-0.50,11.60,0.00,0.00,0.29,111.13
