Block,Time Block,BRBCL,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,NAPP,NTPL,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,URI2,UNCHAHAR4,ANTA_GF,ANTA_CRF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,KGSU1AND2,KGSU3AND4,RIHAND1,SASAN,SIMHST1,SINGRAULI_HYDRO,RIHAND2,RSTPSU1TO6,SIMHST2,RAPPC,RAPPD,RSTPSU7,SINGRAULI,RIHAND3,SALAL,SEWA2,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR1,TALA,TEHRI,TANDA2,RAPPB,PARBATI3,RAMPUR,KOTESHWR,KHSTPP-II,KKNP,KOLDAM,KISHANGANGA,KHSTPP-I,KKNPPU2,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.27,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,47.86,0,36.7,1.63,0,0,0,0,0,0,0,28.17,0,18.29,0,12.25,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,51.49,18.21,0,7.03,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,2.31,8.31,43.86,0,21.71,0,0,0,0,0

2,00:15-00:30,18.3,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,47.86,0,36.7,1.63,0,0,0,0,0,0,0,23.33,0,18.29,0,12.25,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,51.49,18.21,0,7.03,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,2.31,8.31,43.86,0,21.71,0,0,0,0,0

3,00:30-00:45,14.06,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,47.86,0,36.7,1.63,0,0,0,0,0,0,0,23.33,0,18.29,0,12.25,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,51.49,18.21,0,7.03,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,2.31,8.31,43.86,0,21.71,0,0,0,0,0

4,00:45-01:00,14.06,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,23.33,0,18.29,0,12.25,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,51.49,18.21,0,7.03,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,21.71,0,0,0,0,0

5,01:00-01:15,14.64,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,23.33,0,18.29,0,12.35,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,76.47,18.21,0,1.48,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,21.71,0,0,0,0,0

6,01:15-01:30,13.49,18.84,22.47,47.02,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.26,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,23.33,0,18.29,0,12.35,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,76.47,18.21,0,0.99,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,21.71,0,0,0,0,0

7,01:30-01:45,10.65,18.84,22.47,31.34,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.35,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,0.63,0,0.58,0,0.51,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,76.47,18.21,0,0.99,0,20.84,0,34.09,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,21.71,0,0,0,0,0

8,01:45-02:00,10.68,18.84,22.47,31.34,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.35,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,76.47,18.21,0,0.99,0,20.84,0,22.26,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,21.71,0,0,0,0,0

9,02:00-02:15,10.65,18.84,22.47,31.34,27.07,24.82,0,0,0,0,90.64,0,0,0,0,663.35,0,17.94,57.32,431.92,26.64,42.38,50.44,0,36.7,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66,336.17,0,0.94,120.01,0,0,66.54,28.9,0,144.82,125.99,76.47,18.21,0,0.99,0,20.84,0,22.26,5.16,0,32.52,3.6,20.08,142.86,0,0,8.31,43.86,0,25.33,0,0,0,0,0

