Block,Time,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KKNP,SASAN,SIMHST1,SINGRAULI,TALST2,URI,ANTA_LF,DADRI_LF,DADRI_RF,BRBCL,DHAULIGNGA,KKNPPU2,NNTPP,PARBATI3,RSTPSU1TO6,SEWA2,TelanganaSTPP,UNCHAHAR4,DADRT2,NLCIIST1,NTPL,RIHAND1,SINGRAULI_HYDRO,TEHRI,URI2,AURY_CRF,BSIUL,CHAMERA2,KOTESHWR,KUDGI,RAPPB,RAPPC,TANAKPUR,UNCHAHAR2,VALLURNTECL,AURY_LF,JHAJJAR,KHSTPP-II,NAPP,NLCIIST2,RAMPUR,SIMHST2,UNCHAHAR1,DADRI_CRF,KOLDAM,RIHAND3,TALA,TANDA2,ANTA_RF,AURY_RF,FSTPP I & II,NJPC,UNCHAHAR3,ANTA_CRF,AURY_GF,CHAMERA1,CHAMERA3,DULHASTI,MAPS,NLCEXP,NLCTS2EXP,RIHAND2,RSTPSU7,SALAL,ANTA_GF,DADRI_GF
1,00:00-00:15,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,24.21,0,6.52,0,8.87,0,0,25.89,0,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.05,70.04,18.2,0,26.4,0,0,0,0,16.48,0,0,0,118.76,0,2.33,0,0

2,00:15-00:30,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,24.21,0,6.52,0,8.87,0,0,25.89,0,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.05,70.04,18.2,0,26.4,0,0,0,0,16.48,0,0,0,118.76,0,2.33,0,0

3,00:30-00:45,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.05,70.04,18.2,0,26.4,0,0,0,0,16.48,0,0,0,118.76,0,17.44,0,0

4,00:45-01:00,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.05,70.04,18.2,0,26.4,0,0,0,0,16.48,0,0,0,118.76,0,69.72,0,0

5,01:00-01:15,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.05,70.04,18.2,0,26.4,0,0,0,0,0,0,0,0,118.76,0,69.72,0,0

6,01:15-01:30,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.26,70.04,18.2,0,26.4,0,0,0,0,0,0,0,0,118.76,0,69.72,0,0

7,01:30-01:45,0,0,45.53,0,0,400.5,0,139.69,0,35.33,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.26,70.04,18.2,0,26.4,0,0,0,0,0,0,0,0,118.76,0,69.72,0,0

8,01:45-02:00,0,0,45.53,0,0,400.5,0,139.69,0,35.33,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.26,70.04,18.2,0,26.4,0,0,0,0,0,0,0,0,118.76,0,69.72,0,0

9,02:00-02:15,0,0,45.53,0,0,400.5,0,139.69,0,33.12,0,0,59.73,20,0,0,0,0,0,15.81,0,0,683.14,0,0,92,0.75,0,21.53,0,6.52,0,8.87,0,0,25.89,5.76,42.39,0,0,434.65,148.3,23.5,0,0,0,20.55,0,0,62.16,0,0,43.26,70.04,18.2,0,26.4,0,0,0,0,0,0,0,0,118.76,0,69.72,0,0

