Block,Time,TEHRI,RIHAND2,JHAJJAR,UNCHAHAR2,ANTA_GF,AURY_GF,RAPPB,SALAL,PARBATI3,ANTA_LF,DADRI_GF,DADRI_LF,CHAMERA1,RIHAND1,URI2,SEWA2,AURY_RF,DADRT2,SINGRAULI_HYDRO,AURY_LF,CHAMERA2,KOTESHWR,KISHANGANGA,ANTA_CRF,RIHAND3,UNCHAHAR3,RAPPC,DHAULIGNGA,NJPC,TANAKPUR,ANTA_RF,DADRI_RF,DADRI_CRF,UNCHAHAR1,RAMPUR,NAPP,CHAMERA3,KOLDAM,BSIUL,AURY_CRF,URI,TANDA2,UNCHAHAR4,MOUDA_II,KAWAS-NAPM,KUDGI,SASAN,SINGRAULI,KHSTPP-II,SIMHST2,SOLAPUR,MAPS,KAWAS-zLIQ,GANDHAR-RLNG,GANDHAR-NAPM,NLCTS2EXP,VSTPS II,KSTPS I&II,KAWAS-APM,SIPAT I,NTPL,TAPS-II,VSTPS V,KHARGONE-I,KGSU1AND2,VSTPS IV,KKNP,BRBCL,KHSTPP-I,VALLURNTECL,GANDHAR-APM,TALST2,KSTPS7,DULHASTI,NLCIIST1,GANDHAR-ComGas,RSTPSU7,SIPAT II,TALA,NLCIIST2,GADARWARA-I,VSTPS I,KGSU3AND4,VSTPS III,MOUDA,NLCEXP,KAPS,NNTPP,KAWAS-RLNG,KAWAS-ComGas,LARA-I,FSTPP I & II,RSTPSU1TO6,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.543951,116.260677,483.068363,41.947839,0.000000,0.000000,0.000000,51.490312,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,34.344245,16.548589,0.000000,664.050759,1.055438,0.000000,42.033751,17.400332,2.457837,0.000000,121.876716,25.970568,56.844293,9.551250,48.718464,0.000000,0.000000,0.000000,0.000000,20.137456,0.939430,20.696542,30.545986,4.099670,18.939827,0.000000,48.920227,2.350548,1.375213,3.382812,0.000000,8.99,336.167618,138.740979,142.101802,1.78,3.412458,0.24,0.000000,0.000000,0.000000,0.85,1.871655,2.827758,0.000000,5.118688,3.29,2.690880,1.278811,3.412459,1.93,2.585197,1.56,14.449498,41.536744,2.29,0.000000,2.92,1.292598,51.927025,0.81,0.000000,1.87,0.900795,0.000000,0.40,4.136314,2.297118,1.06,1.887764,1.866975,0.79,0.789175,0.20,0.019088,0.000000,4.101852,17.406831,5.83,0,0,0,0,0

2,00:15-00:30,26.543951,116.260677,483.068363,41.947839,0.000000,0.000000,0.000000,51.490312,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,34.344245,16.548589,0.000000,664.050759,1.055438,0.000000,42.033751,17.400332,2.457837,0.000000,121.876716,25.970568,56.844293,9.551250,48.718464,0.000000,0.000000,0.000000,0.000000,20.137456,0.939430,20.696542,30.545986,4.099670,18.939827,0.000000,48.920227,2.350548,1.375213,3.382812,0.000000,8.99,336.167618,138.740979,142.101802,1.78,3.412458,0.24,0.000000,0.000000,0.000000,0.85,1.871655,2.827758,0.000000,5.118688,3.29,2.690880,1.278811,3.412459,1.93,2.585197,1.56,13.751186,42.100063,2.29,0.000000,2.92,1.292598,51.927025,0.81,0.000000,1.87,0.900795,0.000000,0.40,4.136314,2.297118,1.06,1.887764,1.866975,0.79,0.789175,0.20,0.019088,0.000000,4.101852,17.406831,5.83,0,0,0,0,0

3,00:30-00:45,26.543951,116.260677,483.068363,41.947839,0.000000,0.000000,0.000000,51.490312,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,34.344245,16.548589,0.000000,664.050759,1.055438,0.000000,42.033751,17.400332,2.457837,0.000000,121.876716,25.970568,56.844293,9.551250,48.718464,5.799740,0.000000,0.000000,0.000000,20.137456,0.939430,20.696542,30.545986,3.074752,18.939827,0.000000,48.920227,2.350548,1.375213,3.382812,0.000000,8.99,336.167618,138.740979,142.101802,1.78,3.412458,0.24,0.000000,0.000000,0.000000,0.85,1.871655,2.827758,0.000000,5.118688,3.29,2.690880,1.278811,3.412459,1.93,2.585197,1.56,12.366947,42.100063,2.29,0.000000,2.92,1.292598,51.927025,0.81,0.000000,1.87,0.900795,0.000000,0.40,4.136314,2.297118,1.06,1.887764,1.866975,0.79,0.789175,0.20,0.019088,0.000000,4.101852,17.406831,5.83,0,0,0,0,0

4,00:45-01:00,26.543951,116.260677,483.068363,41.947839,0.000000,0.000000,0.000000,51.490312,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,34.344245,16.548589,0.000000,664.050759,1.055438,0.000000,42.033751,8.393102,2.457837,0.000000,121.876716,25.970568,56.844293,9.551250,48.718464,5.799740,0.000000,0.000000,0.000000,20.137456,0.939430,20.696542,30.545986,2.049835,18.939827,0.000000,51.047194,2.350548,1.375213,3.382812,0.000000,8.99,336.167618,138.740979,142.101802,1.78,3.412458,0.24,0.000000,0.000000,0.000000,0.85,1.871655,2.827758,0.000000,5.118688,3.29,2.690880,1.278811,3.412459,1.93,2.585197,1.56,12.108278,42.100063,2.29,0.000000,2.92,1.292598,51.927025,0.81,0.000000,1.87,0.900795,0.000000,0.40,4.136314,2.297118,1.06,1.887764,1.866975,0.79,0.789175,0.20,0.019088,0.000000,4.101852,17.406831,5.83,0,0,0,0,0

5,01:00-01:15,26.543951,116.260677,483.068363,41.947839,0.000000,0.000000,0.000000,51.490312,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,33.781224,16.548589,0.000000,664.050759,1.055438,0.000000,42.033751,8.393102,2.457837,0.000000,121.876716,25.970568,56.844293,9.551250,48.718464,5.676342,0.000000,0.000000,0.000000,20.137456,0.939430,20.696542,30.545986,1.946308,18.939827,0.000000,51.047194,2.350548,1.375213,3.382812,0.000000,8.99,336.167618,138.740979,142.101802,1.78,3.412458,0.24,0.000000,0.000000,0.000000,0.85,1.871655,2.827758,0.000000,5.118688,3.29,2.690880,1.278811,3.412459,1.93,2.585197,1.56,12.488655,42.100063,2.29,0.000000,2.92,1.292598,51.927025,0.81,0.000000,1.87,0.900795,0.000000,0.40,4.136314,2.297118,1.06,1.887764,1.866975,0.79,0.789175,0.20,0.019088,0.000000,4.101852,17.406831,5.83,0,0,0,0,0

