Block,Time Block,KOLDAM,NAPP,KISHANGANGA,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,NJPC,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NTPL,PARBATI3,RSTPSU1TO6,RIHAND3,RAPPB,NLCEXP,RIHAND2,NLCIIST1,DADRT2,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,FSTPP I & II,DHAULIGNGA,DULHASTI,AURY_CRF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,ANTA_LF,ANTA_CRF,ANTA_GF,KHSTPP-I,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,TelanganaSTPP,TANAKPUR,UNCHAHAR2,URI,TALA,SALAL,SASAN,SEWA2,RSTPSU7,JHAJJAR,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,99.85,0,0,91.3,0,359.39,0,19.16,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,111.13,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

2,00:15-00:30,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,19.16,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,109.95,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

3,00:30-00:45,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,18.98,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,109.95,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

4,00:45-01:00,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,17.89,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,109.95,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

5,01:00-01:15,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,16.44,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,109.95,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

6,01:15-01:30,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,18.57,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,109.95,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

7,01:30-01:45,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,15.53,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,80.8,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

8,01:45-02:00,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,16.01,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,80.8,0,0,11.51,0,0,0,4.13,14.23,0,0,7.48,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

9,02:00-02:15,0,42.35,0,0,8.51,78.14,0,0,0,0,0,60.67,0,0,0,51.55,0,0,0,87.34,0,0,91.3,0,359.39,0,15.27,0,0,0,6.29,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,80.8,0,0,11.51,0,0,0,4.13,14.23,0,0,1.96,22.42,1.06,0,1.34,334.32,0,0,344.76,0,0,0,0,0,0,0

