Time,Block,NR/2023/17404/F,NR/2023/17402/F,NR/2023/17165/A,NR/2023/17903/C,NR/2023/17263/F,NR/2023/17496/F,NR/2023/14875/A,NR/2023/17344/F,WR/2023/17681/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17909/C,NR/2023/17904/C,Total
,,MANIKARAN,MANIKARAN,NVVNL,TPDDL,APPCPL,IEXL,APPCPL,ITCLH,MANIKARAN,MANIKARAN,TPTCL,SJVNL,NVVNL,Total

,,DELHI,DELHI,NA,HIMACHAL PRADESH,DELHI,KARNATAKA,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,NA,NA,
,,BRPL,BRPL,SKS Raigarh,CHANJUII,BRPL,NSLSUGAR,BYPL,ITCWIND,BYPL,BYPL,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,
,,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,MAHARASHTRA,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,
,,HP,HP,NDMC,TPDDL,HP,MES (Delhi),HP,ITCLH,AEML,AEML,TPC MSEB,NDMC,MES (Delhi),
,,North-North,North-North,West-North,North-North,North-North,South-East-North,North-North,South-West-North,North-West,North-East-West,North-West,North-North,West-North,
1,00:00-00:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.580000,100.000000,0.000000,0.000000,0,0,421.92

2,00:15-00:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.580000,100.000000,0.000000,0.000000,0,0,421.92

3,00:30-00:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.580000,100.000000,0.000000,0.000000,0,0,421.92

4,00:45-01:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.580000,100.000000,0.000000,0.000000,0,0,421.92

5,01:00-01:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

6,01:15-01:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

7,01:30-01:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

8,01:45-02:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

9,02:00-02:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

10,02:15-02:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

11,02:30-02:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

12,02:45-03:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

13,03:00-03:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

14,03:15-03:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

15,03:30-03:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

16,03:45-04:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

17,04:00-04:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

18,04:15-04:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

19,04:30-04:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

20,04:45-05:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

21,05:00-05:15,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

22,05:15-05:30,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

23,05:30-05:45,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

24,05:45-06:00,20.400000,0.000000,33.890000,4.250000,179.140000,6.780000,76.880000,0.530000,100.000000,0.000000,0.000000,0,0,421.87

25,06:00-06:15,20.400000,255.480000,33.890000,4.250000,0.000000,6.780000,0.000000,0.580000,0.000000,100.000000,0.000000,0,0,421.38

26,06:15-06:30,20.400000,255.480000,33.890000,4.250000,0.000000,6.780000,0.000000,0.580000,0.000000,100.000000,0.000000,0,0,421.38

27,06:30-06:45,20.400000,255.480000,33.890000,4.250000,0.000000,6.780000,0.000000,0.580000,0.000000,100.000000,0.000000,0,0,421.38

28,06:45-07:00,20.400000,255.480000,33.890000,4.250000,0.000000,6.780000,0.000000,0.580000,0.000000,100.000000,0.000000,0,0.31,421.69

