Column1,Time,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/20/4168,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/20/2470,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6775,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,NR/01102023/31052040/LT-31,GNA/WR/2025/01/01/8625,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/20/9333,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,0,0,25.94,0,1.47,0.99,100.09,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.22,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,14.17,43,43,42.49,9.33,0,14.17,0,0,0,16.61,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,25.94,0,1.47,0.99,100.09,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.22,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,14,42.34,42.33,42,9.33,0,14,0,0,0,16.21,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,25.94,0,1.47,0.99,71.26,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.22,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,13.83,42.34,42.33,41.51,8.67,0,13.83,0,0,0,15.61,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,25.94,0,1.47,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,13.83,42.66,42.67,41.51,8.67,0,13.83,0,0,0,15.21,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,25.94,0,1.47,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,13.5,35,35,40.5,8.67,0,13.5,0,0,0,14.81,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,25.94,0,1.47,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,13,35.33,35.33,39,9.33,0,13,0,0,0,14.21,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,25.94,0,1.47,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,11.5,25,25,34.5,8.67,0,11.5,0,0,0,13.61,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,25.94,0,1.47,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,25.94,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,25.94,0,0,48.04,1.43,0,0,11.33,25,25,34.01,8.67,0,11.33,0,0,0,13.01,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,24.02,0,1.37,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,24.02,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,24.02,0,0,48.04,1.43,0,0,11.33,25.34,25.33,34.01,8.67,0,11.33,0,0,0,9.4,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,24.02,0,1.37,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,24.02,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,24.02,0,0,48.04,1.43,0,0,11.17,25,25,33.49,8.67,0,11.17,0,0,0,8.8,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,24.02,0,1.37,0.99,52.84,149.4,0,0,31.7,28.82,8.65,0,24.02,70.06,59.4,20.17,19.21,0,0,24.73,0,65.33,0,0,0,48.04,26.9,24.02,0,0,48.04,1.43,0,0,11.17,24.66,24.67,33.49,7,0,11.17,0,0,0,8.4,0,0,0,0,0,0,0,0

