Block,Time Block,KGSU1AND2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,CHAMERA3,DADRI_RF,AURY_LF,DADRI_LF,AURY_GF,DADRI_GF,AURY_CRF,DADRI_CRF,AURY_RF,ANTA_GF,UNCHAHAR2,URI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,TEHRI,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,SASAN,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,NNTPP,RAPPC,NTPL,NLCEXP,PARBATI3,RAPPB,NJPC,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,CHAMERA1,BRBCL,CHAMERA2,BSIUL,NAPP,KOTESHWR,KUDGI,MAPS,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-II,KGSU3AND4,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,655.68,0,14.01,15.82,417.18,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,332.57,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,18.78,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

2,00:15-00:30,0,655.68,0,14.01,15.82,417.18,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,332.57,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,19.2,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

3,00:30-00:45,0,655.68,0,14.01,15.82,417.18,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,342.02,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,15.59,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

4,00:45-01:00,0,655.68,0,14.01,15.82,417.18,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,352.75,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,13.45,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

5,01:00-01:15,0,655.68,0,14.01,0,417.18,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,358.81,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,10.7,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

6,01:15-01:30,0,608.05,0,14.01,0,414.47,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,364.21,0,0,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,12.38,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

7,01:30-01:45,0,549.46,0,14.01,0,414.47,0,0,0,0,0,0,0,0,0,0,40.69,33.38,0,20.01,0,0,0,30.62,0,25.34,0,0,0,0,0,12.82,0,134.07,119.33,0,369.61,0,5.53,0,0,0.79,0,24.72,0,0,0,0,0,113.99,0,0,43.19,0,0,0,12.27,0,6.26,19.78,8.51,0,0,0,0,0,0,142.34,0,43.7,0,0,0,0,0

