Block,Time,RIHAND2,AURY_RF,CHAMERA3,DADRI_RF,ANTA_GF,KOTESHWR,SALAL,AURY_GF,RAPPC,CHAMERA2,ANTA_RF,URI,RAPPB,RIHAND3,UNCHAHAR1,KOLDAM,RAMPUR,DADRI_CRF,TANAKPUR,ANTA_LF,BSIUL,SINGRAULI,KISHANGANGA,DADRT2,TANDA2,DADRI_GF,TEHRI,SINGRAULI_HYDRO,NJPC,UNCHAHAR4,DULHASTI,SEWA2,JHAJJAR,AURY_CRF,ANTA_CRF,RIHAND1,UNCHAHAR3,DHAULIGNGA,PARBATI3,NAPP,URI2,AURY_LF,DADRI_LF,CHAMERA1,UNCHAHAR2,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,39.438744,0.000000,119.399161,10.198383,0.000000,0.000000,0.000000,5.441944,0.000000,12.591665,121.253773,0.000000,366.730380,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,379.108499,0.000000,0.000000,88.826000,23.666578,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,19.310005,336.935362,142.426336,0,0,0,0,0

2,00:15-00:30,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,39.438744,0.000000,119.399161,10.198383,0.000000,0.000000,0.000000,5.441944,0.000000,12.591665,121.254731,0.000000,391.027500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,379.108499,0.000000,0.000000,88.826000,25.479642,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,19.145321,336.935362,142.426336,0,0,0,0,0

3,00:30-00:45,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,10.198383,0.000000,0.000000,0.000000,5.441944,0.000000,12.591665,121.254731,0.000000,381.372500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,379.108499,0.000000,0.000000,88.826000,25.479642,0.000000,0.000000,41.658622,23.378231,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,16.353671,336.935362,142.426336,0,0,0,0,0

4,00:45-01:00,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,10.198383,0.000000,0.000000,0.000000,5.441944,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,379.108499,0.000000,0.000000,88.826000,25.479642,0.000000,0.000000,41.658622,23.378231,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,15.270473,336.935362,142.426336,0,0,0,0,0

5,01:00-01:15,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,8.287126,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,347.580000,0.000000,0.000000,88.826000,20.854501,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,15.553349,336.935362,142.426336,0,0,0,0,0

6,01:15-01:30,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,8.178847,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,347.580000,0.000000,0.000000,88.826000,16.995793,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,40.927642,44.798312,9.394315,0.000000,14.197661,336.935362,142.426336,0,0,0,0,0

7,01:30-01:45,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,22.515460,44.798312,9.394315,0.000000,15.198165,336.935362,142.426336,0,0,0,0,0

8,01:45-02:00,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,22.515460,44.798312,9.394315,0.000000,15.013211,336.935362,142.426336,0,0,0,0,0

9,02:00-02:15,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,22.515460,44.798312,7.569520,0.000000,15.183845,336.935362,142.426336,0,0,0,0,0

10,02:15-02:30,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,31.430733,0.000000,0.000000,0.000000,22.515460,44.798312,7.569520,0.000000,14.312222,336.935362,142.426336,0,0,0,0,0

11,02:30-02:45,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,39.438744,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,22.515460,44.798312,7.569520,0.000000,16.410750,336.935362,142.426336,0,0,0,0,0

12,02:45-03:00,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,24.682042,0.000000,51.581741,0.000000,0.000000,39.438744,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,22.515460,44.798312,7.569520,0.000000,18.704317,336.935362,142.426336,0,0,0,0,0

13,03:00-03:15,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,12.341021,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,22.515460,44.798312,7.569520,0.000000,18.906212,336.935362,142.426336,0,0,0,0,0

14,03:15-03:30,114.049688,0.000000,0.000000,0.000000,0.000000,8.091856,12.341021,0.000000,51.581741,0.000000,0.000000,33.043272,0.000000,119.399161,7.434350,0.000000,0.000000,0.000000,0.000000,0.000000,12.591665,121.254731,0.000000,362.062500,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,15.910332,15.258808,347.580000,0.000000,0.000000,88.826000,14.385950,0.000000,0.000000,41.658622,20.780650,0.000000,0.000000,0.000000,26.809135,44.798312,7.569520,0.000000,16.411154,336.935362,142.426336,0,0,0,0,0

