Block,Time,L_NR_2019_11,L_NR_2012_07,LT-36,L_NR_2019_19,LT-05,SH-06,LT-59,L_NR_2012_02,L_NR_2012_01,L_NR_2012_04,LT-31,L_NR_2020_02,LT-35,SH-07,LT_MEJA_Delhi,L_NR_2021_17,L_NR_2018_61,L_NR_2019_05,L_NR_2020_06,L_NR_2021_13,L_NR_2022_09,L_NR_2021_16,L_NR_2019_07,L_NR_2021_14,L_NR_2020_05,L_NR_2021_15,L_NR_2020_07,L_NR_2022_10,L_NR_2022_08,L_NR_2021_12,L_NR_2019_06
1,00:00-00:15,6.130000,86.910000,0.000000,0.000000,57.850000,30.830000,5.890000,260.720000,100.930000,270.980000,0.000000,6.810000,0.000000,30.830000,6.460000,0,9.93,0,25.52,0,56.76,0,0,0,76.57,0,25.53,56.76,11.21,0,0

2,00:15-00:30,6.130000,86.910000,0.000000,0.000000,57.850000,30.830000,5.890000,260.720000,100.930000,270.980000,0.000000,6.810000,0.000000,30.830000,6.460000,0,9.6,0,25.94,0,56.95,0,0,0,77.83,0,25.96,56.95,12.22,0,0

3,00:30-00:45,6.130000,86.910000,0.000000,0.000000,57.850000,30.830000,5.890000,260.720000,100.930000,270.980000,0.000000,6.810000,0.000000,30.830000,6.460000,0,10.53,0,26.01,0,54.56,0,0,0,78.02,0,26,54.56,12.78,0,0

4,00:45-01:00,6.130000,86.910000,0.000000,0.000000,57.850000,30.830000,5.890000,260.720000,100.930000,270.980000,0.000000,6.810000,0.000000,30.830000,6.460000,0,10.94,0,26.46,0,54.32,0,0,0,79.39,0,26.46,54.32,13.07,0,0

5,01:00-01:15,6.130000,86.910000,0.000000,0.000000,57.850000,50.100000,5.890000,260.720000,100.930000,270.980000,0.000000,6.670000,0.000000,50.100000,6.460000,0,11.45,0,26.61,0,54.54,0,0,0,79.83,0,26.62,54.54,13.36,0,0

6,01:15-01:30,6.130000,86.910000,0.000000,0.000000,57.850000,50.100000,5.890000,260.720000,100.930000,270.980000,0.000000,6.670000,0.000000,50.100000,6.460000,0,10.85,0,26.75,0,55.87,0,0,0,80.24,0,26.73,55.87,13.69,0,0

7,01:30-01:45,6.130000,86.910000,0.000000,0.000000,57.850000,50.100000,5.890000,260.720000,100.930000,270.980000,0.000000,6.670000,0.000000,50.100000,6.460000,0,10.68,0,27.18,0,66.29,0,0,0,81.54,0,27.17,66.29,15.63,0,0

8,01:45-02:00,6.130000,86.910000,0.000000,0.000000,57.850000,50.100000,5.890000,260.720000,100.930000,270.980000,0.000000,6.670000,0.000000,50.100000,6.460000,0,10.66,0,30.17,0,66.52,0,0,0,90.5,0,30.17,66.52,15.75,0,0

9,02:00-02:15,6.130000,86.910000,0.000000,0.000000,57.850000,43.160000,5.890000,260.720000,100.930000,270.980000,0.000000,6.530000,0.000000,43.160000,6.460000,0,11.52,0,30.17,0,66.74,0,0,0,90.51,0,30.18,66.74,15.96,0,0

10,02:15-02:30,6.130000,86.910000,0.000000,0.000000,57.850000,43.160000,5.890000,260.720000,100.930000,270.980000,0.000000,6.530000,0.000000,43.160000,6.460000,0,11.44,0,30.3,0,66.96,0,0,0,90.9,0,30.31,66.96,16.18,0,0

11,02:30-02:45,6.130000,86.910000,0.000000,0.000000,57.850000,32.440000,5.890000,260.720000,100.930000,270.980000,0.000000,6.530000,0.000000,32.440000,6.460000,0,11.38,0,30.24,0,67.19,0,0,0,90.73,0,30.25,67.19,16.41,0,0

