Time,Block,NR/2024/20343/C,NR/2024/20349/C,NR/2024/20363/C,NR/2024/19699/A/19819,NR/2024/20345/C,NR/2024/20361/C,NR/2024/20109/A/19836,NR/2024/19355/A/19837,NR/2024/20034/A/19815,NR/2024/19637/A/19464,NR/2024/20037/A/19454,NR/2024/20344/C,NR/2024/19683/A/19377,NR/2024/20212/A/19480,NR/2024/20031/A/19816,NR/2024/20348/C,NR/2024/20041/A/19711,NR/2024/20141/A/19484,NR/2024/20040/A/19743,NR/2024/20052/A/19256,NR/2024/20050/A/19709,NR/2024/19760/A/19455,NR/2024/20142/A/19482,NR/2024/19918/A/19746,NR/2024/20353/C,NR/2024/20354/C,NR/2024/20048/A/19710,NR/2024/19475/A/19695,NR/2024/19588/A/19491,NR/2024/20033/A/19817,NR/2024/19966/A/19471,NR/2024/20090/A/19352,NR/2024/20211/A/19478,NR/2024/20144/A/19481,NR/2024/20082/A/19744,NR/2024/19432/A/19821,NR/2024/20130/A/19462,NR/2024/19779/A/19463,Total
,,NVVNL,DIAPL,HPXL,NVVNL,NVVNL,HPXL,TPDDL,TPDDL,NVVNL,INSTINCT,TPTCL,NVVNL,IEXL,UHL,NVVNL,HPXL,PTC,BAL184,APPCPL,DIAPL,PTC,TPTCL,BAL224,APPCPL,IEXL,IEXL,PTC,AEL,GMRETL,NVVNL,BRPL,IEXL,JHPL-DL,BAL234,APPCPL,NVVNL,DTCP,ITCLH,Total

,,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MP,NA,NA,NA,NA,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,MAHARASHTRA,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,NA,KERALA,HIMACHAL PRADESH,NA,RAJASTHAN,NA,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,SIKKIM,NA,HIMACHAL PRADESH,ANDHRA PRADESH,
,,SORANG_HEP,GBHHPL,LVSPOWERAP,JP BINA,SOLAPUR_SOLAR,SINGOLI,JHAJJAR,JPL-2,RKM_POWER,JPL-2,JPL_DHULE,KAMENG,NHCPL_HP,SHPPBPL,RKM_POWER,Meghalaya_Ben,JPL_DHULE,SHPPBPL,Manipur_Ben,GBHHPL,HP,SIMHAPURI,SHPPBPL,Nagaland_Ben,DGEN,KSEB,HP,APL_Raipur TPP,RUVNL,SKS Raigarh,IEPLBELA2022,A_A_Energy_MH_Bio,SHPPBPL,SHPPBPL,SIKKIM,SEIL,SHPPBPL,ITCWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,DIAPL,BYPL,TPDDL,MES (Delhi),BYPL,TPDDL,TPDDL,NDMC,BRPL,TPDDL,TPDDL,MES (Delhi),UHL,NDMC,BRPL,BRPL,BAL184,BYPL,DIAPL,BRPL,BRPL,BAL224,BYPL,BRPL,BRPL,BYPL,BRPL,BYPL,NDMC,BRPL,MES (Delhi),JHPL-DL,BAL234,BYPL,TPDDL,DTCP,ITCLH,
,,North-North,North-North,South-East-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,North East-East-North,West-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,East-North,South-West-North,North-North,South-West-North,
1,00:00-00:15,14.490000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,213.440000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,96.580000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1779.67

2,00:15-00:30,14.490000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,215.370000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,96.580000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1781.6
