Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/08032047/L_NR_2021_14,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6020,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/7908,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/2171,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/3451,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/6566,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,37.5,31.33,0,12.34,0,12.5,0,31.33,0,12.5,0,53.27,0,26.9071,70.59,7.69,0,0,14.33,0,24.8,96.85,273.84,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,191.41,96.85,48.42,57.82,24.21,0,0,0,0,0,39.22,0

2,00:15-00:30,37.5,31,0,12.34,0,12.5,0,31,0,12.5,0,53.27,0,26.9071,70.59,7.69,0,0,14.33,0,24.8,96.85,273.84,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,172.04,96.85,48.42,57.82,24.21,0,0,0,0,0,39.02,0

3,00:30-00:45,37,30.67,0,12,0,12.34,0,30.67,0,12.33,0,53.27,0,26.9071,70.59,7.69,0,12.47,14.33,0,24.8,96.85,273.84,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,172.04,96.85,48.42,57.82,24.21,0,0,0,0,0,38.62,0

4,00:45-01:00,36.5,31,0,12,0,12.16,0,31,0,12.17,0,53.27,0,26.9071,70.59,7.69,0,12.47,14.33,0,24.8,96.85,251.81,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,172.04,96.85,48.42,57.82,24.21,0,0,0,0,0,38.42,0

5,01:00-01:15,36,30.67,0,12.34,0,12,0,30.67,0,12,0,53.27,0,26.9071,70.59,4.39,0,12.47,14.33,0,24.8,96.85,232.44,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,172.04,96.85,48.42,57.82,24.21,0,0,0,0,0,37.62,0

6,01:15-01:30,35.5,30.33,0,12.34,0,11.84,0,30.33,0,11.83,0,53.27,0,26.9071,70.59,4.39,0,12.47,14.33,0,24.8,96.85,211.69,0,26.9071,4.94,0,21.79,29.27,2.42,0,32.93,48.42,172.04,96.85,48.42,57.82,24.21,0,0,0,0,0,37.22,0

