Time,Block,WR/2023/19446/A,WR/2023/20256/A/2352,WR/2023/20577/A/2325,NR/2023/18206/C,NR/2023/17525/A,NR/2023/18062/A/2238,NR/2023/18207/C,NR/2023/17270/A,NR/2023/18074/A/2261,NR/2023/18105/A/2237,NER/2023/1793/C,Total
,,MANIKARAN,MANIKARAN,APPCPL,NVVNL,APPCPL,IEXL,TPDDL,GMRETL,ITCLH,IEXL,PXIL,Total

,,DELHI,DELHI,DELHI,NA,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,
,,BYPL,BRPL,BRPL,SOLAPUR_SOLAR,BYPL,SNJSUGARLTDAP,CHANJUII,BYPL,ITCWIND,BSHP,BYPL,
,,MAHARASHTRA,GOA,GOA,DELHI,HIMACHAL PRADESH,DELHI,DELHI,RAJASTHAN,DELHI,DELHI,ARUNACHAL PRADESH,
,,AEML,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),HP,MES (Delhi),TPDDL,RUVNL,ITCLH,MES (Delhi),Arunachal_Ben,
,,North-West,North-West,North-West,West-North,North-North,South-East-North,North-North,North-North,South-West-North,North-North,North-East-North East,
1,00:00-00:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,40.000000,174.06

2,00:15-00:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,40.000000,174.06

3,00:30-00:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,40.000000,174.06

4,00:45-01:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,40.000000,174.06

5,01:00-01:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

6,01:15-01:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

7,01:30-01:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

8,01:45-02:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

9,02:00-02:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

10,02:15-02:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

11,02:30-02:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

12,02:45-03:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

13,03:00-03:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

14,03:15-03:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

15,03:30-03:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

16,03:45-04:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.340000,0.960000,40.000000,173.97

17,04:00-04:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

