Block,Time Block,TANDA2,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,TEHRI,VALLURNTECL,UNCHAHAR4,ANTA_RF,ANTA_GF,URI2,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,UNCHAHAR1,URI,ANTA_LF,KGSU1AND2,KGSU3AND4,FSTPP I & II,DULHASTI,JHAJJAR,RSTPSU1TO6,DHAULIGNGA,DADRT2,NLCIIST1,NLCEXP,CHAMERA2,CHAMERA1,BSIUL,CHAMERA3,KHSTPP-I,KHSTPP-II,NJPC,KOTESHWR,KKNP,KKNPPU2,KUDGI,NAPP,KOLDAM,KISHANGANGA,MAPS,BRBCL,DADRI_GF,DADRI_CRF,DADRI_RF,DADRI_LF,RIHAND3,RAMPUR,NTPL,RAPPB,PARBATI3,RIHAND2,NLCIIST2,NLCTS2EXP,RIHAND1,RAPPC,NNTPP,AURY_GF,AURY_CRF,AURY_LF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,394.24,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0.53,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,78.32,0,17.04,0,0,0,42.35,0,0,0,19.2,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,394.24,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0.53,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,78.32,0,17.04,0,0,0,42.35,0,0,0,17.02,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,394.24,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,87.39,0,17.04,0,0,0,42.35,0,0,0,17.08,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,394.24,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,87.39,0,17.04,0,0,0,42.35,0,0,0,16.16,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,361.84,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,94.75,0,17.04,0,0,0,42.35,0,0,0,16.32,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,329.43,0,0,0.62,5.53,0,0,0,0,1.34,0,134.12,0,0,0,0,0,4.14,14.35,0,22.71,5.76,0,0,0,0,11.14,0,229.52,0,0,265.12,0,0,0,0,0,0,24.5,94.75,0,17.04,0,0,0,42.35,0,0,0,15.24,0,0,0,0,59.68,0,0,0,0,114.02,0,0,88.33,51.05,0,0,0,0,0,0,0,0,0,0

