Block,Time Block,DULHASTI,DHAULIGNGA,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,CHAMERA1,BSIUL,BRBCL,CHAMERA3,CHAMERA2,DADRT2,KKNP,KHSTPP-II,KISHANGANGA,KKNPPU2,KOTESHWR,KOLDAM,KUDGI,MAPS,NAPP,NJPC,NLCIIST2,NLCTS2EXP,NLCEXP,NLCIIST1,NNTPP,NTPL,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST2,SIMHST1,RAMPUR,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI,PARBATI3,TALA,SINGRAULI_HYDRO,TALST2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,TANDA2,UNCHAHAR4,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.06,39.1,20.13,391.45,0,0,32.61,40.8,6.31,19.37,31.05,42.8,612.3,0,95.7,4.18,0,28.05,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.15,17,9.88,0,0,34.89,25.55,3.1,0,38.6,46.48,74.15,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,52.06,39.1,20.13,303.83,0,0,32.61,40.8,6.31,19.37,31.05,42.8,609.4,0,95.7,4.18,0,28.05,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,25.55,11.16,0,41.03,46.48,74.15,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,52.06,39.1,20.13,265.12,0,0,32.61,40.8,6.31,19.37,31.05,42.8,604.56,0,95.7,4.18,0,28.05,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,25.55,12.52,0,41.03,42.21,74.15,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,52.06,39.1,20.13,147.42,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,28.05,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,22.93,12.52,0,36.42,42.21,74.15,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,52.06,39.1,20.13,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,22.93,12.52,0,36.42,42.21,74.15,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,52.06,39.1,20.13,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,22.93,12.52,0,36.42,46.48,74.15,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,52.06,39.1,20.13,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,22.93,12.52,0,36.42,46.48,74.15,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,52.06,39.1,17.93,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,22.93,12.52,0,36.42,46.48,74.15,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,52.06,39.1,17.93,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,18.96,11.16,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,52.06,39.1,17.93,111.41,0,0,32.61,40.8,6.31,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,18.96,11.16,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,52.06,39.1,17.93,111.41,0,0,32.61,40.8,12.62,19.37,31.05,42.8,585.2,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,16.81,123.5,135.43,17,9.88,0,0,34.89,18.96,11.16,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,52.06,39.1,17.93,111.41,0,0,32.61,40.8,12.62,19.37,31.05,42.8,558.97,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,80.98,11.21,123.5,135.43,17,9.88,0,0,34.89,18.96,11.16,0,30.6,46.48,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,52.06,39.1,13.69,111.41,0,0,29.16,27.2,12.62,19.37,31.05,42.8,574.25,0,83.98,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,5.6,123.5,135.43,17,9.88,0,0,31.47,18.96,11.16,0,30.6,46.48,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,52.06,39.1,13.69,111.41,0,0,29.16,27.2,12.62,19.37,31.05,42.8,551.12,0,83.98,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,3.83,123.5,135.43,17,9.88,0,0,31.47,18.96,11.16,0,30.6,46.48,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,52.06,39.1,13.69,111.41,0,0,29.16,27.2,18.93,19.37,31.05,42.8,498.47,0,83.98,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.45,0,0,31.47,18.96,11.16,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,52.06,39.1,13.69,111.41,0,0,29.16,27.2,18.93,19.37,31.05,42.8,479.11,0,83.98,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.45,0,0,31.47,18.96,11.16,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,52.06,39.1,13.69,111.41,0,0,32.54,27.2,18.93,19.37,31.05,42.8,459.75,0,95.19,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.45,0,0,31.47,18.96,12.52,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,52.06,39.1,13.69,111.41,0,0,32.61,27.2,18.93,19.37,31.05,42.8,430.72,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.45,0,0,31.47,18.96,12.52,0,30.6,42.21,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,52.06,39.1,13.69,111.41,0,0,32.61,27.2,18.93,19.37,31.05,42.8,430.72,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.33,0,0,31.47,18.96,12.52,0,30.6,46.48,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,52.06,39.1,13.69,111.41,0,0,32.61,27.2,18.93,19.37,31.05,42.8,421.04,0,95.7,4.18,0,37.4,5.18,0,0,43.19,161.74,0,0,0,0,0,0,0,117.8,400.17,38.84,0,0,3.43,0,58.59,0,77.04,0,123.5,135.43,17,9.24,0,0,31.47,18.96,12.52,0,30.6,46.48,74.15,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

