Column1,Block,NR/2025/31347/A/89976,NR/2025/31419/A/90195,NR/2025/31137/A/90703,NR/2025/31420/A/90194,NR/2025/29985/A/90126,NR/2025/31138/A/90704,NR/2025/31138/A/90705,NR/2025/31137/A/90442,NR/2025/31863/C,NR/2025/31941/C,NR/2025/31901/C,GNA/NR/2025/07/16/5917,NR/2025/31941/C/Alternate/1,GNA/NR/2025/07/01/1192,NR/2025/31942/C,NR/2025/31904/C,NR/2025/30086/A/90496,NR/2025/30084/A/90497,NR/2025/31958/C,NR/2025/31900/C,NR/2025/31938/C,NR/2025/31939/C,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31914/C,NR/2025/31903/C,NR/2025/31954/C,NR/2025/31846/C,NR/2025/31953/C,NR/2025/31955/C,NR/2025/31920/C,NR/2025/31847/C,NR/2025/31956/C,NR/2025/31883/C,NR/2025/29353/A/90185,NR/2025/29440/A/89965,NR/2025/30105/A/90494,NR/2025/29352/A/90187,NR/2025/29910/A/90501,NR/2025/30101/A/90533,NR/2025/29992/A/90099,NR/2025/29915/A/90040,NR/2025/27978/A/90538,NR/2025/30217/A/90493,NR/2025/30191/A/89977,NR/2025/27975/A/90448,NR/2025/28728/A/90410,NR/2025/27973/A/90447,NR/2025/31339/A/90125,NR/2025/27965/A/90445,NR/2025/29628/A/90503,NR/2025/27966/A/90446,NR/2025/30067/A/90479,NR/2025/30121/A/89979,NR/2025/30082/A/90491,NR/2025/29167/A/90041,NR/2025/30083/A/90498,NR/2025/29439/A/90062,NR/2025/31126/A/90095,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,GNARE/NR/2024/12/20/3668,NR/2025/31945/C,NR/2025/31136/A/90440,NR/2025/31136/A/90441,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,100.17,0,81.69,61.83,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,18.21,0,0,0,0,0,0,0,0,0,0,81.69,0.91,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,8.25,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2114.4099999999994

4,00:45-01:00,0,0,0,0,0,0,0,0,0,101.54,0,81.69,60.45,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,18.21,0,0,0,0,0,0,0,0,0,0,81.69,0.91,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,8.25,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2114.3999999999996

5,01:00-01:15,0,0,0,0,0,0,0,0,0,102.21,0,81.69,59.78,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.93,0,0,0,0,0,0,0,0,0,0,81.69,0.77,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,8.25,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2113.9799999999996

6,01:15-01:30,0,0,0,0,0,0,0,0,0,103.55,0,81.69,58.44,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.93,0,0,0,0,0,0,0,0,0,0,81.69,0.77,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,8.25,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2113.9799999999996

7,01:30-01:45,0,0,0,0,0,0,0,0,0,109.06,0,81.69,52.94,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.93,0,0,0,0,0,0,0,0,0,0,81.69,0.77,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,16.27,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2122.0099999999998

8,01:45-02:00,0,0,0,0,0,0,0,0,0,108.75,0,81.69,53.24,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.93,0,0,0,0,0,0,0,0,0,0,81.69,0.77,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,25.07,12.49,17.64,30,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2123.37

9,02:00-02:15,0,0,0,0,0,0,0,0,0,123.17,0,81.69,38.82,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.75,0,0,0,0,0,0,0,0,0,0,81.69,0.67,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2103.3799999999997

10,02:15-02:30,0,0,0,0,0,0,0,0,0,122.99,0,81.69,39,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.75,0,0,0,0,0,0,0,0,0,0,81.69,0.67,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2103.3799999999997

