Column1,Block,NR/2025/31347/A/89976,NR/2025/31419/A/90195,NR/2025/31137/A/90703,NR/2025/31420/A/90194,NR/2025/29985/A/90126,NR/2025/31138/A/90704,NR/2025/31138/A/90705,NR/2025/31137/A/90442,NR/2025/31863/C,NR/2025/31941/C,NR/2025/31901/C,GNA/NR/2025/07/16/5917,NR/2025/31941/C/Alternate/1,GNA/NR/2025/07/01/1192,NR/2025/31942/C,NR/2025/31904/C,NR/2025/30086/A/90496,NR/2025/30084/A/90497,NR/2025/31958/C,NR/2025/31900/C,NR/2025/31938/C,NR/2025/31939/C,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31914/C,NR/2025/31903/C,NR/2025/31954/C,NR/2025/31846/C,NR/2025/31953/C,NR/2025/31955/C,NR/2025/31920/C,NR/2025/31847/C,NR/2025/31956/C,NR/2025/31883/C,NR/2025/29353/A/90185,NR/2025/29440/A/89965,NR/2025/30105/A/90494,NR/2025/29352/A/90187,NR/2025/29910/A/90501,NR/2025/30101/A/90533,NR/2025/29992/A/90099,NR/2025/29915/A/90040,NR/2025/27978/A/90538,NR/2025/30217/A/90493,NR/2025/30191/A/89977,NR/2025/27975/A/90448,NR/2025/28728/A/90410,NR/2025/27973/A/90447,NR/2025/31339/A/90125,NR/2025/27965/A/90445,NR/2025/29628/A/90503,NR/2025/27966/A/90446,NR/2025/30067/A/90479,NR/2025/30121/A/89979,NR/2025/30082/A/90491,NR/2025/29167/A/90041,NR/2025/30083/A/90498,NR/2025/29439/A/90062,NR/2025/31126/A/90095,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,GNARE/NR/2024/12/20/3668,NR/2025/31945/C,NR/2025/31136/A/90440,NR/2025/31136/A/90441,Total
11,02:30-02:45,0,0,0,0,0,0,0,0,0,121.65,0,81.69,40.35,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.75,0,0,0,0,0,0,0,0,0,0,81.69,0.67,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2103.3899999999994

12,02:45-03:00,0,0,0,0,0,0,0,0,0,120.57,0,81.69,41.42,49.02,29.79,0,26.21,26.21,0,0,0,0,134.79,17.75,0,0,0,0,0,0,0,0,0,0,81.69,0.67,17.47,28.59,19.22,48.06,44.21,20.42,96.11,7.69,48.06,0,81.69,96.11,134.55,96.11,105.72,0,204.23,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,2103.3799999999997

13,03:00-03:15,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.57,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,96.11,0,96.11,76.52,0,0,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1665.7300000000002

14,03:15-03:30,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.57,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,96.11,0,96.11,76.52,0,0,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1665.7300000000002

15,03:30-03:45,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.57,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,96.11,0,96.11,76.52,0,0,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1665.7300000000002

16,03:45-04:00,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.57,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,96.11,0,96.11,76.52,0,0,6.73,48.06,54.06,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1665.7300000000002

17,04:00-04:15,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.47,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1419.3500000000001

18,04:15-04:30,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.47,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1419.3500000000001

19,04:30-04:45,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.47,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1419.3500000000001

20,04:45-05:00,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.47,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1419.3500000000001

21,05:00-05:15,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1416.6200000000006

22,05:15-05:30,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,12.49,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1416.6200000000006

23,05:30-05:45,0,0,0,0,0,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,0,0,0,0,1415.6600000000005

24,05:45-06:00,0,0,0,0,1,0,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.62,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,25.47,25.47,19.22,15.23,20.73,163.39,43.68,0.42,0,0,0,1415.0200000000007

25,06:00-06:15,0,0,0.03,0,3,0.03,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.82,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,1.18,0,0,0.08,1420.1800000000003

26,06:15-06:30,0,0,0.05,0,7,0.05,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.82,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,2.29,0,0,0.17,1425.4200000000003

27,06:30-06:45,0,0,0.13,0,11,0.07,0,0,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.82,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,5.63,0.84,0,0.27,1433.8000000000006

28,06:45-07:00,0,0,0.15,0,14,0.08,0.03,0.03,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.82,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,9.13,1.37,0.05,0.31,1441.0100000000002

29,07:00-07:15,0,0,0.18,0,21,0.09,0.11,0.11,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.86,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,12.28,1.97,0.16,0.37,1452.1700000000005

30,07:15-07:30,0,0,0.19,0,28,0.19,0.18,0.18,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.86,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,15.44,2.97,0.3,0.38,1463.7300000000007

31,07:30-07:45,0,0,0.19,0,39,0.19,0.31,0.36,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.86,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,18.59,3.85,0.46,0.38,1479.2300000000005

32,07:45-08:00,0,0,0.29,0,49,0.19,0.37,0.43,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.39,0,0,0,0,0,0,0,0,0,0,81.69,0.86,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,21.74,5.25,0.96,0.38,1494.5100000000007

33,08:00-08:15,9.61,0,0.29,1.63,60,0.19,0.48,0.56,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.29,0,0,0,0,0,0,0,0,0,0,81.69,0.96,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,27.97,6.18,0.96,0.38,1524.1500000000003

34,08:15-08:30,9.61,0,0.29,1.63,74,0.19,0.58,0.77,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.29,0,0,0,0,0,0,0,0,0,0,81.69,0.96,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,11.53,26.5,26.5,19.22,15.23,20.73,163.39,43.68,34.2,8.52,0.96,0.38,1547.0300000000007

35,08:30-08:45,9.61,0,0.29,1.63,84,0.19,0.58,0.77,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.29,0,0,0,0,0,0,0,0,0,0,81.69,0.96,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,13.46,26.5,26.5,19.22,15.23,20.73,163.39,43.68,40.43,5.87,0.96,0.38,1562.5400000000004

