Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,MAPS,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,49.8805,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.700603,32.171,148.302375,9.9372,15.00135,348.975

2,00:15-00:30,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,49.8805,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.700603,32.171,148.302375,9.9372,15.00135,348.975

3,00:30-00:45,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,66.29485,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3849,32.171,148.302375,9.9372,15.00135,348.975

4,00:45-01:00,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,66.29485,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0799,32.171,148.302375,9.9372,15.00135,348.975

5,01:00-01:15,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,66.29485,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0799,32.171,148.302375,9.9372,15.00135,348.975

6,01:15-01:30,36.432,37.89052,124.384996,130.580717,0,138.513286,12.9381,66.29485,22.630299,27.63898,83.664,1.147846,44.306625,3.094586,5.534085,49.243676,4.272092,5.621263,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,37.466426,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6359,32.171,148.302375,9.9372,15.00135,348.975

