Block,Time,DADRI_RF,KOLDAM,TANDA2,RIHAND2,ANTA_CRF,AURY_CRF,DADRT2,BSIUL,RIHAND1,ANTA_GF,DADRI_CRF,UNCHAHAR1,AURY_GF,RAMPUR,UNCHAHAR3,RAPPC,DADRI_LF,URI,SALAL,TANAKPUR,CHAMERA1,DULHASTI,CHAMERA2,ANTA_RF,UNCHAHAR2,URI2,RIHAND3,SINGRAULI_HYDRO,AURY_LF,SINGRAULI,PARBATI3,CHAMERA3,NAPP,SEWA2,JHAJJAR,KISHANGANGA,KOTESHWR,UNCHAHAR4,RAPPB,ANTA_LF,AURY_RF,DADRI_GF,DHAULIGNGA,KUDGI,KHSTPP-I,FSTPP I & II,KHSTPP-II,TALA,SASAN,BRBCL,TEHRI,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,56.024039,0.000000,0.000000,663.841506,0.000000,88.927200,0.000000,0.000000,19.317501,0.000000,0.000000,25.508671,49.187278,0.000000,46.953562,23.586973,12.877432,0.000000,47.785375,25.460321,0.000000,40.974271,31.336515,119.535193,0.795115,0.000000,100.043100,0.000000,9.354600,39.022029,0.000000,446.569200,0.000000,8.577608,0.000000,0.000000,0.000000,0.000000,0.000000,26.431387,40.60,42.142247,12.092166,142.342386,15.629922,333.839475,13.664910,43.844976,59.499063,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,56.024039,0.000000,0.000000,663.841506,0.000000,88.927200,0.000000,0.000000,19.317501,0.000000,0.000000,25.508671,49.187278,0.000000,46.953562,23.586973,12.877432,0.000000,47.785375,25.460321,0.000000,40.974271,31.336515,119.535193,0.795115,0.000000,100.043100,0.000000,9.354600,39.022029,0.000000,446.569200,0.000000,8.577608,0.000000,0.000000,0.000000,0.000000,0.000000,26.431387,38.66,42.244286,12.092166,142.342386,15.629922,333.839475,13.809814,29.229984,59.499063,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,56.024039,0.000000,0.000000,663.841506,0.000000,88.927200,0.000000,0.000000,19.317501,0.000000,0.000000,25.508671,49.187278,0.000000,12.805517,23.586973,12.877432,0.000000,47.785375,25.460321,0.000000,40.974271,31.336515,119.535193,0.795115,0.000000,100.043100,0.000000,0.000000,39.022029,0.000000,446.569200,0.000000,8.577608,0.000000,0.000000,0.000000,0.000000,0.000000,26.431387,35.76,28.162858,12.092166,142.342386,15.629922,333.839475,13.809814,14.614992,59.499063,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,56.024039,0.000000,0.000000,663.841506,0.000000,88.927200,0.000000,0.000000,19.317501,0.000000,0.000000,25.508671,49.187278,0.000000,12.805517,23.586973,12.877432,0.000000,47.785375,25.460321,0.000000,40.974271,31.336515,119.535193,0.795115,0.000000,100.043100,0.000000,0.000000,39.022029,0.000000,446.569200,0.000000,8.577608,0.000000,0.000000,0.000000,0.000000,0.000000,26.431387,33.83,28.162858,12.092166,142.342386,15.629922,333.839475,13.809814,0.000000,59.499063,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,56.024039,0.000000,0.000000,663.841506,0.000000,88.927200,0.000000,0.000000,19.317501,0.000000,0.000000,25.508671,49.187278,0.000000,12.805517,23.586973,12.877432,0.000000,47.785375,25.460321,0.000000,40.974271,31.336515,119.535193,0.795115,0.000000,100.043100,0.000000,0.000000,39.022029,0.000000,446.569200,0.000000,8.577608,0.000000,0.000000,0.000000,0.000000,0.000000,26.431387,30.93,29.820808,12.092166,142.342386,15.629922,333.839475,13.809814,0.000000,59.499063,0,0,0,0,0

