Time,Block,NR/2023/11880/D,NR/2023/11100/F,NR/2023/10486/A,NR/2023/11102/F,NR/2023/11343/F,NR/2023/11104/F,NR/2023/11886/C,NR/2023/11341/F,NR/2023/10433/A,NR/2023/11166/F,NR/2023/10197/A,NR/2023/11891/C,NR/2023/11099/F,NR/2023/11097/F,NR/2023/11368/F,NR/2023/11221/F,NR/2023/11154/F,NR/2023/11095/F,NR/2023/11895/C,NR/2023/11882/D,NR/2023/10181/A,NR/2023/10182/A,NR/2023/11367/F,NR/2023/11879/D,NR/2023/11369/F,NR/2023/11747/F,NR/2023/11096/F,Total
,,TS1PL_BKN,SHPPBPL,TPTCL,SHPPBPL,IEXL,SHPPBPL,GBHHPL,IEXL,NVVNL,IEXL,TPTCL,TPDDL,SHPPBPL,SHPPBPL,SHPPBPL,IEXL,HPXL,APPCPL,PXIL,NVVNL,NVVNL,NVVNL,SHPPBPL,TS1PL_BKN,SHPPBPL,SJVNL,SHPPBPL,Total

,,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,KARNATAKA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,KARNATAKA,MANIPUR,DELHI,NA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,
,,TS1PL_BKN,SHPPBPL,APNRL,SHPPBPL,JSPL_DCPP,SHPPBPL,GBHHPL,NAVABHARAT,SEIL,VISHWARAJSUGAR,JPL,CHANJUII,SHPPBPL,SHPPBPL,SHPPBPL,KPRSUGAR,NIRANISUGAR,Manipur_Ben,BYPL,SOLAPUR_SOLAR,ILFS,JPNIGRIE_JNSTPP,SHPPBPL,TS1PL_BKN,SHPPBPL,IPCL_WB,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BMDRC,TPDDL,JHPL-DL,BRPL,AISHER,DIAPL,BRPL,TPDDL,BRPL,BRPL,TPDDL,UHL,MHIL,BAL224,BRPL,BRPL,STT,AMBASTL,MES (Delhi),BRPL,BRPL,BAL184,BRPL,BAL234,NDMC,MAX-HPTL,
,,North-North,North-North,East-North,North-North,West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,South-West-North,South-East-North,North East-East-North,North-North,West-North,South-West-North,West-North,North-North,North-North,North-North,East-North,North-North,
1,00:00-00:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

2,00:15-00:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

3,00:30-00:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

4,00:45-01:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

5,01:00-01:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

6,01:15-01:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

7,01:30-01:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

8,01:45-02:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,9.030000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.28

9,02:00-02:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.930000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.18

10,02:15-02:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.930000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.18

11,02:30-02:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.930000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.18

12,02:45-03:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.930000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.18

13,03:00-03:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.830000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.08

14,03:15-03:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.830000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.08

15,03:30-03:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.830000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.08

16,03:45-04:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.830000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493.08

