Block,Time,DHAULIGNGA,RAPPB,SEWA2,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,DADRI_GF,CHAMERA3,BSIUL,ANTA_CRF,AURY_LF,TANDA2,NJPC,ANTA_GF,UNCHAHAR1,CHAMERA2,DADRT2,KISHANGANGA,RAPPC,AURY_RF,ANTA_RF,CHAMERA1,RAMPUR,SINGRAULI,KOLDAM,SALAL,URI2,DADRI_LF,DADRI_CRF,ANTA_LF,UNCHAHAR4,RIHAND1,UNCHAHAR2,TALA,KGSU1AND2,TAPS-II,SASAN,KAWAS-NAPM,SIPAT II,NLCIIST1,KHSTPP-I,FSTPP I & II,KUDGI,KAWAS-ComGas,KKNP,NLCEXP,MOUDA_II,KHARGONE-I,MOUDA,KAWAS-RLNG,NLCIIST2,TALST2,KSTPS7,GADARWARA-I,NNTPP,VSTPS III,KGSU3AND4,VSTPS II,KSTPS I&II,LARA-I,GANDHAR-APM,KAWAS-zLIQ,KHSTPP-II,NLCTS2EXP,SOLAPUR,SIMHST2,GANDHAR-ComGas,SIPAT I,VALLURNTECL,VSTPS I,MAPS,GANDHAR-RLNG,VSTPS IV,RSTPSU1TO6,VSTPS V,NTPL,KAWAS-APM,GANDHAR-NAPM,KAPS,BRBCL,RSTPSU7,RIHAND3,URI,AURY_CRF,JHAJJAR,TEHRI,KOTESHWR,SINGRAULI_HYDRO,TANAKPUR,AURY_GF,RIHAND2,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,28.757859,0.000000,16.608716,3.357155,42.114133,15.801476,52.115693,0.000000,30.656970,19.008642,0.000000,0.000000,2.359089,97.790948,0.000000,11.787809,42.186474,364.947980,2.466767,57.050827,0.000000,0.000000,41.243688,1.885687,139.245073,4.114565,82.009777,34.186497,0.000000,0.000000,0.000000,0.740611,91.188559,23.699072,0.000000,1.93,2.700657,404.866836,0.000000,0.904068,0.81,29.250326,9.879796,0.00,0.000000,1.57,0.00,3.395103,3.424858,1.873758,0.000000,0.00,0.00,1.297295,4.151343,0.00,0.947311,1.06,1.878456,2.870752,4.116755,0.000000,0.000000,119.062442,0.00,1.712429,0.35,0.000000,5.137286,0.00,2.295032,0.23,0.000000,2.594590,0.00,1.283457,1.01,0.000000,0.000000,0.792042,11.439139,0.00,122.319536,46.963277,0.000000,216.559939,26.640394,8.423597,0.980807,3.096177,0.000000,116.683092,0.000000,0,0,0,0,0

2,00:15-00:30,28.757859,0.000000,16.608716,3.357155,42.114133,15.801476,52.115693,0.000000,30.656970,19.008642,0.000000,0.000000,2.359089,97.790948,0.000000,11.787809,42.186474,364.947980,2.466767,57.050827,0.000000,0.000000,41.243688,1.885687,139.245073,4.114565,82.009777,34.186497,0.000000,0.000000,0.000000,0.740611,91.188559,23.699072,0.000000,1.93,2.700657,404.866836,0.000000,0.904068,0.81,38.299202,10.277567,0.00,0.000000,1.57,0.00,3.395103,3.424858,1.873758,0.000000,0.00,0.00,1.297295,4.151343,0.00,0.947311,1.06,1.878456,2.870752,4.116755,0.000000,0.000000,123.798643,0.00,1.712429,0.00,0.000000,5.137286,0.00,2.295032,0.23,0.000000,2.594590,0.00,1.283457,1.01,0.000000,0.000000,0.792042,10.587489,0.00,122.319536,46.963277,0.000000,216.559939,26.640394,8.423597,0.980807,3.096177,0.000000,116.683092,0.000000,0,0,0,0,0

3,00:30-00:45,28.757859,0.000000,16.608716,3.357155,42.114133,15.801476,52.115693,0.000000,30.656970,19.008642,0.000000,0.000000,2.359089,97.790948,0.000000,11.786042,42.186474,365.223862,2.466767,57.050827,0.000000,0.000000,41.243688,1.885687,139.245073,4.114565,82.009777,32.491298,0.000000,0.000000,0.000000,0.739334,91.188559,23.699072,0.000000,1.93,2.700657,404.866836,0.000000,0.904068,0.81,38.299202,10.277567,0.00,0.000000,1.57,0.00,3.395103,3.424858,1.873758,0.000000,0.00,0.00,1.297295,4.151343,0.00,0.947311,1.06,1.878456,2.870752,4.116755,0.000000,0.000000,123.798643,0.00,1.712429,0.10,0.000000,5.137286,0.00,2.295032,0.23,0.000000,2.594590,0.00,1.283457,1.01,0.000000,0.000000,0.792042,11.608752,0.00,122.319536,46.963277,0.000000,216.559939,26.640394,8.423597,0.980807,4.953883,0.000000,116.683092,0.000000,0,0,0,0,0

4,00:45-01:00,28.757859,0.000000,16.608716,3.357155,42.114133,15.801476,52.115693,0.000000,30.656970,19.008642,0.000000,0.000000,2.359089,73.343211,0.000000,11.786042,42.186474,365.250791,2.466767,57.050827,0.000000,0.000000,41.243688,1.414266,139.245073,4.114565,82.009777,32.491298,0.000000,0.000000,0.000000,0.739334,91.188559,23.699072,0.000000,1.93,2.700657,404.866836,0.000000,0.904068,0.81,38.299202,10.277567,0.00,0.000000,1.57,0.00,3.395103,3.424858,1.873758,0.000000,0.00,0.00,1.297295,4.151343,0.00,0.947311,1.06,1.878456,2.870752,4.116755,0.000000,0.000000,123.798643,0.00,1.712429,0.10,0.000000,5.137286,0.00,2.295032,0.23,0.000000,2.594590,0.00,1.283457,1.01,0.000000,0.000000,0.792042,12.016869,0.00,122.319536,46.963277,0.000000,216.559939,26.640394,8.423597,0.980807,4.953883,0.000000,116.683092,0.000000,0,0,0,0,0

5,01:00-01:15,19.171907,0.000000,16.608716,3.357155,42.114133,14.168428,52.115693,0.000000,30.656970,19.008642,0.000000,0.000000,2.359089,73.343211,0.000000,11.628573,42.186474,364.960253,2.466767,57.050827,0.000000,0.000000,41.243688,1.414266,139.245073,4.114565,82.009777,32.208765,0.000000,0.000000,0.000000,0.739334,91.188559,23.699072,0.000000,1.93,2.700657,404.866836,0.000000,0.904068,0.77,38.299202,10.277567,0.00,0.000000,1.57,0.00,3.395103,3.424858,1.873758,0.000000,0.00,0.00,1.297295,4.151343,0.00,0.947311,1.06,1.878456,2.870752,4.116755,0.000000,0.000000,123.798643,0.00,1.712429,0.10,0.000000,5.137286,0.00,2.295032,0.23,0.000000,2.594590,0.00,1.283457,1.01,0.000000,0.000000,0.792042,11.017613,0.00,122.319536,47.496950,0.000000,180.304939,26.640394,8.423597,0.980807,4.953883,0.000000,116.683092,0.000000,0,0,0,0,0

