Column1,Time,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/4083,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/8106,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/02/6759,GNA/NR/2024/10/01/6101,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,37.33,12.45,75.38,54.36,8.4,43,14.33,273.25,12.45,7.93,31.29,4.55,37.33,193.28,37.33,5.38,0,231.94,5.67,32,115.54,88.06,32,0,0,14.34,41.33,13.66,41.33,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,37.33,12.45,75.38,54.36,8.6,43.5,14.5,273.25,12.45,7.93,31.29,4.55,37.33,193.28,37.33,5.38,0,231.94,5.67,32,115.54,88.06,32,0,0,14.5,41.67,13.66,41.67,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,37.33,12.45,75.38,54.36,8.4,44,14.67,273.25,12.45,7.93,31.29,4.55,37.33,193.28,37.33,5.38,0,231.94,5.67,32,115.54,88.06,32,0,0,14.66,46,14,46,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,37.33,12.45,75.38,54.36,8.2,49,16.33,273.25,12.45,7.93,31.29,4.55,37.33,193.28,37.33,5.38,0,231.94,5.67,32,115.54,88.06,32,0,0,16.34,45.67,14.34,45.67,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,37.33,12.45,75.38,54.36,7.8,49.5,16.5,273.25,12.45,7.84,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,115.54,88.06,32,0,0,16.5,45.33,14.34,45.33,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,37.33,12.45,75.38,54.36,7.4,49.5,16.5,273.25,12.45,7.84,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,115.54,88.06,32,0,0,16.5,45,14,45,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,37.33,12.45,75.38,54.36,7.4,49.5,16.5,273.25,12.45,7.84,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,115.54,88.06,32,0,0,16.5,44,14,44,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,37.33,12.45,75.38,54.36,7.4,49.5,16.5,273.25,12.45,7.84,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,115.54,88.06,32,0,0,16.5,42.67,13.66,42.67,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,37.33,12.45,75.38,54.36,7.4,50,16.67,273.25,12.45,7.75,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,94.71,88.06,1.35,0,0,16.66,42.67,13.66,42.67,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,37.33,12.45,75.38,54.36,7.4,50.5,16.83,273.25,12.45,7.75,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,94.71,88.06,1.35,0,0,16.84,42.67,13.66,42.67,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,37.33,12.45,75.38,54.36,7.4,56.5,18.83,273.25,12.45,7.75,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,94.71,88.06,1.35,0,0,18.84,45.33,13.66,45.33,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,37.33,12.45,75.38,54.36,7.4,56.5,18.83,273.25,12.45,7.75,31.29,4.42,37.33,193.28,37.33,5.23,0,231.94,5.67,32,94.71,88.06,1.35,0,0,18.84,45.33,13.66,45.33,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,37.33,12.45,75.38,54.36,7.4,56,18.67,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,94.71,88.06,1.35,0,0,18.66,46,13.66,46,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,37.33,12.45,75.38,54.36,7.4,55,18.33,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,94.71,88.06,1.35,0,0,18.34,46.33,14,46.33,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,37.33,12.45,75.38,54.36,7,53.5,17.83,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,94.71,88.06,1.35,0,0,17.84,46,14,46,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,37.33,12.45,75.38,54.36,7,52.5,17.5,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,94.71,88.06,1.35,0,0,17.5,45.67,14,45.67,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,37.33,12.45,75.38,54.36,7,51,17,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,85.24,88.06,1.35,0,0,17,45.33,13.66,45.33,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,37.33,12.45,75.38,54.36,7,49.5,16.5,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,70.46,88.06,1.35,0,0,16.5,44.67,13.34,44.67,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,37.33,12.45,75.38,54.36,7,46,15.33,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,70.46,88.06,1.35,0,0,15.34,44.33,13,44.33,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,37.33,12.45,75.38,54.36,7,44.5,14.83,273.25,12.45,7.65,31.29,4.27,37.33,193.28,37.33,5.07,0,231.94,5.67,32,70.46,88.06,1.35,0,0,14.84,43.67,12.66,43.67,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,37.33,12.45,75.38,54.36,7,43,14.33,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.67,32,70.46,88.06,1.35,0,0,14.34,42.33,12,42.33,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,37.33,12.45,75.38,54.36,7,41,13.67,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.67,32,70.46,88.06,1.35,0,0,13.66,41.67,11.66,41.67,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,37.33,12.45,75.38,54.36,7,39.5,13.17,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.29,32,70.46,88.06,1.35,0,0,13.16,40.67,11.34,40.67,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,37.33,12.45,75.38,54.36,7,37.5,12.5,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.13,32,70.46,88.06,1.35,0,0,12.5,39.33,10.66,39.33,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,37.33,12.45,75.38,0,7,43.5,14.5,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.13,16.67,70.46,88.06,16.67,0,0,14.5,37.33,10.34,37.33,7.93,16.17,0,0,2.9,1,0,0,0,0,0,0

26,06:15-06:30,37.33,12.45,75.38,0,7,41,13.67,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0,231.94,5.13,16.67,70.46,88.06,16.67,0,0,13.66,35,10.34,35,16.98,31.42,0,1,7.8,2,0,2.56,1,0,0,0

27,06:30-06:45,37.33,12.45,75.38,0,7,39,13,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0.43,231.94,5.13,16.67,70.46,88.06,16.67,0.42,0.42,13,33.33,10,33.33,28.29,29.86,0.18,4,10.8,5,1,8.83,3,2,0.9,2

28,06:45-07:00,37.33,12.45,75.38,0,7,37,12.33,273.25,12.45,7.57,31.29,4.14,37.33,193.28,37.33,4.92,0.76,231.94,5.13,16.67,70.46,88.06,16.67,0.74,0.74,12.34,32.67,10,32.67,29.75,29.75,0.86,7,13.7,8,3,15.15,4,3,4.32,3

29,07:00-07:15,37.33,12.45,75.38,0,7,35.5,11.83,273.25,12.45,7.47,30.28,4,37.33,193.28,37.33,4.46,1.3,231.94,5.13,16.67,70.46,88.06,16.67,1.27,1.27,11.84,32.67,10,32.67,29.75,29.75,2.08,14,16.7,10,6,21.94,5,5,10.43,7

