Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,MAPS,BSIUL,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,BRBCL,DADRI_CRF,ANTA_LF,AURY_CRF,AURY_RF,ANTA_GF,AURY_LF,DADRI_GF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_GF,DADRI_RF,TALA,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SEWA2,SINGRAULI,TANDA2,SASAN,TALST2,SALAL,TANAKPUR,VALLURNTECL,UNCHAHAR4,TelanganaSTPP,UNCHAHAR2,URI2,TEHRI,UNCHAHAR1,URI,UNCHAHAR3,RIHAND3,RSTPSU1TO6,RSTPSU7,RAPPB,NLCEXP,NLCIIST1,RIHAND2,NLCIIST2,NJPC,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NAPP,NTPL,PARBATI3,KUDGI,KOTESHWR,KOLDAM,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,JHAJJAR,KGSU1AND2,KISHANGANGA,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.74,19.96,15.81,0,0,0,2.3,298.62,0,17.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.94,0,401.85,0,2.24,11.43,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,32.33,142.31,0,0,234.56,0,0,0,0,0,0,0,0

2,00:15-00:30,8.74,19.96,15.81,0,0,0,2.3,288.24,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,2.24,11.43,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,32.33,142.31,0,0,234.56,0,0,0,0,0,0,0,0

3,00:30-00:45,8.74,19.96,15.81,0,0,0,2.3,288.24,0,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,2.24,11.43,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,33.78,142.31,0,0,234.56,0,0,0,0,0,0,0,0

4,00:45-01:00,8.74,19.96,15.81,0,0,0,2.3,288.24,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,2.24,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,33.78,142.31,0,0,234.56,0,0,0,0,0,0,0,0

5,01:00-01:15,8.74,17.2,15.81,0,0,0,2.3,288.24,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,17.84,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,33.48,142.31,0,0,234.56,0,0,0,0,0,0,0,0

6,01:15-01:30,8.74,17.2,15.81,0,0,0,2.3,288.24,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,76.17,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,29.01,142.31,0,0,234.56,0,0,0,0,0,0,0,0

7,01:30-01:45,8.74,17.2,15.81,0,0,0,2.3,288.24,0,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,76.17,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,29.52,142.31,0,0,234.56,0,0,0,0,0,0,0,0

8,01:45-02:00,8.74,17.2,15.81,0,0,0,2.3,288.24,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,76.17,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,29.52,142.31,0,0,234.56,0,0,0,0,0,0,0,0

9,02:00-02:15,8.74,17.2,15.81,0,0,0,2.3,288.24,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,401.85,0,76.17,5.53,0,0,0,30.49,4.39,14.33,14.86,1.59,19.23,119.3,0,0,0,0,0,113.96,0,0,88.28,0,0,0,49.93,40.38,0,0,0,8.51,0,30.04,142.31,0,0,234.56,0,0,0,0,0,0,0,0

