Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01042024/30042024/PTC/OA/32001,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/16042024/30042024/IEX_240323_06617,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01042024/31072024/LT_MEJA_DELHI,NR/16042024/31052024/IEX_240323_06618
1,00:00-00:15,0,40.33,16.67,0,0,0,16.66,6.01,0,0,0,0,0,0,0,0,0,0,0,13,50,40.33,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.990000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

2,00:15-00:30,0,41.67,17.5,0,0,0,17.5,6.01,0,0,0,0,0,0,0,0,0,0,0,13.66,52.5,41.67,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.990000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

3,00:30-00:45,0,43.67,18.67,0,0,0,18.66,6.01,0,0,0,0,0,0,0,0,0,0,0,14,56,43.67,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.990000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

4,00:45-01:00,0,37.33,17.83,0,0,0,17.84,6.01,0,0,0,0,0,0,0,0,0,0,0,12.66,53.5,37.33,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.990000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

5,01:00-01:15,0,38,18.17,0,0,0,18.16,6.01,0,0,0,0,0,0,0,0,0,0,0,13.34,54.5,38,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

6,01:15-01:30,0,39,18.33,0,0,0,18.34,6.01,0,0,0,0,0,0,0,0,0,0,0,13.66,55,39,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

7,01:30-01:45,0,40,18.67,0,0,0,18.66,6.01,0,0,0,0,0,0,0,0,0,0,0,14,56,40,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

8,01:45-02:00,0,40.67,18.83,0,0,0,18.84,6.01,0,0,0,0,0,0,0,0,0,0,0,14.34,56.5,40.67,12.800000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

