Block,Time,BRBCL,DADRT2,KHSTPP-II,KOLDAM,NLCIIST2,DADRI_LF,DADRI_RF,CHAMERA3,NNTPP,TALA,ANTA_CRF,ANTA_LF,AURY_GF,CHAMERA1,KGSU3AND4,MAPS,NAPP,RAPPC,SINGRAULI,TEHRI,TEHRIPSP,UNCHAHAR3,URI2,VALLURNTECL,AURY_RF,DADRI_GF,CHAMERA2,DULHASTI,FSTPP I & II,JHAJJAR,NJPC,RAPPD,RSTPSU1TO6,SEWA2,TALST2,TelanganaSTPP,AURY_CRF,RAMPUR,RIHAND2,SASAN,SIMHST1,SIMHST2,AURY_LF,DHAULIGNGA,KHSTPP-I,NLCEXP,NLCIIST1,NLCTS2EXP,NTPL,PARBATI2,PARBATI3,RIHAND3,RSTPSU7,SALAL,TANDA2,URI,ANTA_GF,DADRI_CRF,KKNP,KKNPPU2,KOTESHWR,KUDGI,RAPPB,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,UNCHAHAR4,ANTA_RF,BSIUL,KGSU1AND2,KISHANGANGA,RIHAND1,UNCHAHAR2
1,00:00-00:15,18.75,689.39,148.3,8.63,0,0,105.4,0,0,19.26,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,3.85,21.65,3.23,51.53,0,0,6.97,48.09,44.52

2,00:15-00:30,18.75,689.39,148.3,8.63,0,0,105.4,0,0,19.26,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,3.85,21.65,3.23,51.53,0,0,6.97,48.09,44.52

3,00:30-00:45,18.75,689.39,148.3,8.63,0,0,105.4,0,0,19.26,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,3.85,21.65,3.23,51.53,0,0,6.97,48.09,44.52

4,00:45-01:00,18.75,689.39,148.3,8.63,0,0,105.4,0,0,19.26,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,11.91,21.65,3.23,51.53,0,0,6.97,48.09,44.52

5,01:00-01:15,18.75,689.39,148.3,8.63,0,0,105.4,0,0,18.96,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,13.11,21.65,3.23,51.53,0,0,6.97,48.09,44.52

6,01:15-01:30,18.75,689.39,148.3,8.63,0,0,105.4,0,0,18.96,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,17.67,0,0,0,0,45.08,0,0,0,13.11,21.65,3.23,52.34,0,0,6.97,48.09,44.52

7,01:30-01:45,18.75,689.39,148.3,8.63,0,0,105.4,0,0,18.96,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,52.36,0,0,0,0,45.08,0,0,0,13.11,21.65,3.23,52.34,0,0,6.97,48.09,44.52

8,01:45-02:00,18.75,689.39,148.3,8.63,0,0,105.4,0,0,18.96,0,0,0,42.15,0,0,24.23,65.76,113.75,82.36,103.98,27.38,37.41,0,81.18,0,0,38.32,20.15,667.27,175.8,38.56,0,18.34,0,0,0,5.68,125.27,168.75,0,0,0,42.46,45.53,0,0,0,0,25.69,52.04,130.84,0,68.56,5.25,52.36,0,0,0,0,45.08,0,0,0,13.11,21.65,3.23,52.34,0,0,6.97,48.09,44.52

