Block,Time,UNCHAHAR2,DULHASTI,CHAMERA2,DADRI_CRF,SEWA2,TEHRI,PARBATI3,ANTA_LF,RAPPB,ANTA_GF,CHAMERA3,UNCHAHAR3,TANAKPUR,UNCHAHAR4,KOLDAM,AURY_GF,SINGRAULI_HYDRO,AURY_RF,JHAJJAR,UNCHAHAR1,NJPC,URI,ANTA_RF,RIHAND3,DHAULIGNGA,RAMPUR,DADRI_RF,TANDA2,FSTPP I & II,BRBCL,URI2,SASAN,SINGRAULI,AURY_CRF,KOTESHWR,DADRT2,AURY_LF,RAPPC,CHAMERA1,DADRI_LF,KHSTPP-II,SALAL,BSIUL,KISHANGANGA,KHSTPP-I,ANTA_CRF,DADRI_GF,NAPP,RIHAND2,TALA,RIHAND1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.927642,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.869798,6.431389,0.000000,0.000000,0.000000,0.646451,0.000000,439.712838,9.789108,0.000000,38.372832,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,11.780452,19.310003,31.430733,336.935362,134.014090,0.000000,8.091856,429.647500,0.000000,51.581741,0.000000,0.000000,142.180399,76.637740,18.887497,0.000000,44.031048,0.000000,0.000000,41.349275,114.049688,0.000000,88.826000,0,0,0,0,0

2,00:15-00:30,40.927642,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.869798,6.431389,0.000000,0.000000,0.000000,0.646451,0.000000,430.057838,9.789108,0.000000,38.372832,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,11.780452,19.310005,31.430733,336.935362,134.503805,0.000000,8.091856,381.372500,0.000000,51.581741,0.000000,0.000000,142.180399,76.637740,18.887497,0.000000,44.031048,0.000000,0.000000,41.349275,114.049688,0.000000,88.826000,0,0,0,0,0

3,00:30-00:45,40.927642,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.869798,6.431389,0.000000,0.000000,0.000000,0.646451,0.000000,410.747838,9.789108,0.000000,33.043272,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,11.780452,17.539835,31.430733,336.935362,134.503805,0.000000,8.091856,361.097000,0.000000,51.581741,0.000000,0.000000,142.180399,76.637740,18.887497,0.000000,44.031048,0.000000,0.000000,41.349275,114.049688,0.000000,88.826000,0,0,0,0,0

4,00:45-01:00,40.927642,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.869798,6.431389,0.000000,0.000000,0.000000,0.646451,0.000000,401.092838,9.789108,0.000000,33.043272,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,11.780452,15.125656,31.430733,336.935362,134.503805,0.000000,8.091856,361.097000,0.000000,51.581741,0.000000,0.000000,142.180399,76.637740,18.887497,0.000000,44.031048,0.000000,0.000000,41.349275,114.049688,0.000000,88.826000,0,0,0,0,0

5,01:00-01:15,36.941843,15.910332,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.869798,6.431389,0.000000,0.000000,0.000000,0.646451,0.000000,381.782838,9.789108,0.000000,33.043272,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,8.939178,14.929810,31.430733,336.935362,134.503805,0.000000,8.091856,361.097000,0.000000,51.581741,0.000000,0.000000,142.180399,24.682042,12.591665,0.000000,44.031048,0.000000,0.000000,41.349275,114.049688,0.000000,88.826000,0,0,0,0,0

