Block,Time,CHAMERA3,NNTPP,RAPPB,SASAN,TEHRI,AURY_CRF,KKNPPU2,MAPS,NJPC,NLCIIST1,SINGRAULI_HYDRO,UNCHAHAR3,URI2,CHAMERA1,DULHASTI,NTPL,RAMPUR,RAPPC,RSTPSU7,SEWA2,TALST2,TANAKPUR,ANTA_LF,CHAMERA2,KHSTPP-I,KHSTPP-II,KOTESHWR,NAPP,NLCIIST2,NLCTS2EXP,SIMHST1,SINGRAULI,ANTA_GF,AURY_LF,DADRI_GF,KGSU3AND4,KKNP,RIHAND1,SIMHST2,TANDA2,URI,ANTA_CRF,DADRI_RF,FSTPP I & II,RIHAND2,RSTPSU1TO6,SALAL,TALA,TelanganaSTPP,UNCHAHAR4,DADRI_CRF,DADRI_LF,DHAULIGNGA,JHAJJAR,KGSU1AND2,KISHANGANGA,NLCEXP,PARBATI3,RIHAND3,UNCHAHAR1,VALLURNTECL,ANTA_RF,BRBCL,BSIUL,DADRT2,KOLDAM,KUDGI,UNCHAHAR2,AURY_GF,AURY_RF
1,00:00-00:15,0,0,0,418.77,0,0,0,0,0,0,0,26.39,4.31,0,0,0,0,53.93,0,0,0,5.76,0,0,33.99,148.3,8.88,44.32,0,0,0,125.96,0,0,0,0,0,92,0,0,1.11,0,69.59,18.2,118.75,0,1.4,0,0,0,0,23.57,0,654.3,0,0,0,0,124.32,20.56,0,44.83,20,0,683.14,0,0,42.39,0,71.46

2,00:15-00:30,0,0,0,418.77,0,0,0,0,0,0,0,26.39,4.31,0,0,0,0,53.93,0,0,0,5.76,0,0,33.99,148.3,8.88,44.32,0,0,0,125.96,0,0,0,0,0,92,0,0,1.11,0,69.59,18.2,118.75,0,1.4,0,0,0,0,23.57,0,654.3,0,0,0,0,124.32,20.56,0,44.83,20,0,683.14,0,0,42.39,0,71.46

3,00:30-00:45,0,0,0,418.77,0,0,0,0,0,0,0,26.39,4.31,0,0,0,0,53.93,0,0,0,5.76,0,0,33.99,148.3,8.88,44.32,0,0,0,125.96,0,0,0,0,0,92,0,0,0.88,0,69.59,18.2,118.75,0,1.4,0,0,0,0,23.57,0,654.3,0,0,0,0,124.32,20.56,0,44.83,20,0,683.14,0,0,42.39,0,71.46

4,00:45-01:00,0,0,0,418.77,0,0,0,0,0,0,0,26.39,4.31,0,0,0,0,53.93,0,0,0,0,0,0,33.99,148.3,8.88,44.32,0,0,0,125.96,0,0,0,0,0,92,0,0,0.88,0,69.59,18.2,118.75,0,1.4,0,0,0,0,23.57,0,654.3,0,0,0,0,124.32,20.56,0,44.83,20,0,683.14,0,0,42.39,0,71.46

5,01:00-01:15,0,0,0,418.77,0,0,0,0,0,0,0,26.39,4.31,0,0,0,0,53.93,0,0,0,0,0,0,33.99,148.3,8.88,44.32,0,0,0,125.96,0,0,0,0,0,92,0,0,0.88,0,69.59,18.2,118.75,0,1.4,0,0,0,0,23.57,0,654.3,0,0,0,0,124.32,20.56,0,44.83,20,0,683.14,0,0,42.39,0,71.46

