Block,Time Block,KGSU3AND4,KHSTPP-I,DULHASTI,FSTPP I & II,DHAULIGNGA,KGSU1AND2,JHAJJAR,CHAMERA2,CHAMERA3,DADRT2,CHAMERA1,BSIUL,BRBCL,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,TALST2,TEHRIPSP,URI2,TANAKPUR,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,RAPPD,NLCIIST1,RAMPUR,NLCIIST2,RIHAND3,RAPPC,NLCTS2EXP,NNTPP,RIHAND2,RSTPSU1TO6,NTPL,PARBATI3,RIHAND1,RAPPB,PARBATI2,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,TALA,SASAN,SINGRAULI_HYDRO,SIMHST1,KOTESHWR,KKNP,KHSTPP-II,KKNPPU2,KUDGI,KOLDAM,MAPS,KISHANGANGA,NLCEXP,NAPP,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,44.15,57.49,17.57,21.16,0,431.67,47.2,33.87,531.68,40.68,6.29,19.3,0,0,0,1.51,0,0,2.01,0,0,1.16,0,0,0,0,36.83,1.36,26.93,18.17,0,43.03,50.08,6.09,21.07,0,2.29,25.23,0,4.29,0,89.16,66.01,0,0,93.1,0,0,38.57,62.18,0,43.67,0,0,64.49,12.18,148.73,2.84,401.76,1.12,0,7.28,0,143.14,0,0,2.34,0,8.41,0,24.41,106.96,0,0,0,0,0

2,00:15-00:30,0,44.15,57.49,17.57,10.59,0,431.67,47.2,33.87,531.68,40.68,6.29,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.83,1.36,26.93,18.17,0,43.03,50.08,6.09,21.07,0,2.31,25.23,0,4.29,0,89.16,66.01,0,0,93.1,0,0,38.57,62.18,0,43.67,0,0,81.88,6.09,148.73,2.84,401.76,1.12,0,7.28,0,143.14,0,0,2.34,0,8.41,0,24.41,106.96,0,0,0,0,0

3,00:30-00:45,0,44.15,57.49,17.57,10.59,0,431.67,47.2,33.87,531.68,27.12,6.29,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.83,1.36,26.93,18.17,0,43.03,50.08,6.09,21.07,0,2.31,25.23,0,4.29,0,89.16,66.01,0,0,93.1,0,0,48.95,62.18,0,43.67,0,0,82.44,6.09,148.73,2.84,401.76,1.12,0,7.28,0,143.14,0,0,2.34,0,8.41,0,24.41,106.96,0,0,0,0,0

4,00:45-01:00,0,44.15,57.49,17.57,10.59,0,431.67,47.2,33.87,531.68,27.12,6.29,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.83,1.36,26.93,18.17,0,43.03,50.08,6.09,21.07,0,2.31,25.23,0,4.29,0,89.16,66.01,0,0,93.1,0,0,48.95,62.18,0,43.67,0,0,82.44,6.09,148.73,2.84,401.76,1.12,0,7.28,0,143.14,0,0,2.34,0,8.41,0,24.41,106.96,0,0,0,0,0

5,01:00-01:15,0,44.15,57.49,17.57,10.59,0,431.67,47.2,33.87,531.68,27.12,6.29,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.83,1.36,26.93,18.17,0,43.03,50.08,6.09,21.07,0,2.31,25.23,0,4.29,0,89.16,66.01,0,0,93.1,0,0,48.95,62.18,0,43.67,0,0,82.44,6.09,148.73,2.84,401.76,1.12,0,7.28,0,143.14,0,0,2.34,0,8.41,0,24.41,106.96,0,0,0,0,0

