Column1,Block,NR/2025/32455/A/98943,NR/2025/34022/C,NR/2025/31049/A/98978,NR/2025/34169/C,NR/2025/31048/A/98977,NR/2025/32610/A/98957,NR/2025/29992/A/98609,NR/2025/34024/C,NR/2025/34025/C,NR/2025/32262/A/98555,NR/2025/29440/A/98546,NR/2025/31421/A/98998,NR/2025/32375/A/98994,NR/2025/32559/A/98958,NR/2025/32004/A/98963,NR/2025/32556/A/98959,NR/2025/31045/A/98976,NR/2025/34058/C,NR/2025/33955/A/99015,NR/2025/34059/C,GNA/NR/2025/08/01/3698,NR/2025/33469/A/98582,NR/2025/33670/A/99017,NR/2025/34062/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33656/A/98970,NR/2025/34063/C,NR/2025/34167/C,NR/2025/34069/C,NR/2025/32397/A/98492,NR/2025/34055/C,GNA/NR/2025/08/01/6209,NR/2025/31043/A/98975,NR/2025/34057/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNARE/SR/2025/08/21/8605,NR/2025/32534/A/98914,NR/2025/33637/A/98666,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/98915,NR/2025/32535/A/98916,NR/2025/33632/A/98670,NR/2025/32532/A/98911,NR/2025/32599/A/98637,NR/2025/33633/A/98668,NR/2025/32532/A/98912,NR/2025/32534/A/98913,NR/2025/34068/C,Total
,,MANIKARAN,PowerPulse,PowerPulse,PXIL,PowerPulse,APPCPL,BYPL,PowerPulse,PowerPulse,TPTCL,ITCLH,NVVNL,NVVNL,APPCPL,APPCPL,APPCPL,PowerPulse,NVVNL,PTC,APPCPL,NDMC,DIAPL,PTC,APPCPL,DELHI,PowerPulse,NVVNL,PXIL,APPCPL,IEXL,APPCPL,MANIKARAN,PowerPulse,NVVNL,MANIKARAN,NDMC,PowerPulse,BAWANA_GAS,NDMC,APPCPL,MANIKARAN,NVVNL,PUNJAB,APPCPL,MANIKARAN,PXIL,OIDLWM2_AEROCITY,GMRETL,SECI_Trader,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,GMRETL,ABLWM1_AEROCITY,BRPL,GMRETL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,
,,NA,NA,NA,MP_State,NA,NA,KERALA_State,NA,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,MP_State,NA,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,HIMACHAL_STATE,GoHP_NJPC_STATE,NA,HIMACHAL_STATE,NA,NA,MP_State,MSEB_State,MSEB_State,NA,NA,NA,MP_State,NA,NA,MSEB_State,DELHI_UT,NA,GOA_State,MSEB_State,NA,DELHI_UT,GOA_State,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,MBMP,APL_Raipur_TPP,APL_Raigarh_TPP,MPSEB_Beneficiary,APL_Raigarh_TPP,RKM_POWER,KSEB,MAHAN_ENERGEN,APL_Raigarh_TPP,TPC_MSEB,ITCWIND,JPNIGRIE_JNSTPP,JP_BINA,RKM_POWER,AEML,JPL2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,GoHP_NJPC,JPL2,TRN_ENERGY,GBHHPL,GoHP_NJPC,RKM_POWER,CHANJUII,APL_Raipur_TPP,Kameng,MPSEB_Beneficiary,AEML,A_A_Energy_MH_Bio,RKM_POWER,MBMP,MAHAN_ENERGEN,JP_BINA,DBPL,JIPL,Vidarbha_Industry_MH,BAWANA_GAS,SKS_Raigarh,GOA_Beneficiary,AEML,JHABUA_IPP,BAWANA_GAS,GOA_Beneficiary,BLAPOWER_MP,Kurnool_Greenko_H_Inj_I,TCSPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TS1PL_BKN,JGCPL_BKN2,TCSPL_BKN2,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,TPDDL,BRPL,TPDDL,NDMC,BYPL,TPDDL,TPDDL,BYPL,ITCLH,TPDDL,TPDDL,NDMC,BYPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,NDMC,DIAPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,BYPL,BYPL,MES_Delhi,NDMC,BRPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,OIDLWM2_AEROCITY,BLKMH,TPDDL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,MAX_HPTL,ABLWM1_AEROCITY,BRPL,DTCP,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,
,,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.87,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.59

2,00:15-00:30,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.87,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.59

3,00:30-00:45,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.87,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.59

4,00:45-01:00,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.87,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.59

5,01:00-01:15,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.35

6,01:15-01:30,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.35

7,01:30-01:45,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.35

8,01:45-02:00,48.26,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,48.26,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.35

