Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/4651,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/8625,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/8036,WR/2025/26427/A/55870,WR/2025/26582/A/56090,WR/2025/26499/A/56092,NR/2025/25461/C,NR/2025/25159/A/55817,NR/2025/25462/C,GNA/WR/2025/01/01/9606,WR/2025/26426/A/55869,GNARE/NR/2024/12/20/3668,Total
,,BAWANA_GAS,PUNJAB,DELHI,NDMC,PTC,NDMC,NDMC,APPCPL,PTC,NDMC,NDMC,TPTCL,APPCPL,NDMC,KEIPL,APPCPL,APPCPL,SJVNL,ITCLH,SJVNL,APPCPL,KEIPL,SECI_Trader,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,NA,
,,BAWANA_GAS,BAWANA_GAS,CHANJUII,JPL2,BYPL,TRN_ENERGY,SKS_Raigarh,BRPL,BRPL,RKM_POWER,JIPL,BYPL,BYPL,RKM_POWER,BRPL,BRPL,BRPL,TPSL_BKN2,ITCWIND,RSRPL_BKN,BYPL,BYPL,APSEPL_FTG,
,,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,KERALA_State,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,CSEB_State,DELHI_UT,
,,HARYANA,PUNJAB,TPDDL,NDMC,HP,NDMC,NDMC,AEML,HP,NDMC,NDMC,TPC_MSEB,KSEB,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,AEML,NDMC,ITCLH,NDMC,AEML,CSEB_Beneficiary,TPDDL,
,,North-North,North-North,North-North,West-North,North-North,West-North,West-North,North-West,North-North,West-North,East-North,North-West,North-West-South,West-North,North-West,North-West,North-West,North-North,South-West-North,North-North,North-West,North-West,North-North,
1,00:00-00:15,26.87,26.87,4.22,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.4199999999998

2,00:15-00:30,26.87,26.87,4.22,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.4199999999998

3,00:30-00:45,26.87,26.87,4.22,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.4199999999998

4,00:45-01:00,26.87,26.87,4.22,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.4199999999998

5,01:00-01:15,26.87,26.87,4.13,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.3299999999999

6,01:15-01:30,26.87,26.87,4.13,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.3299999999999

7,01:30-01:45,26.87,26.87,4.13,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.3299999999999

8,01:45-02:00,26.87,26.87,4.13,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,911.3299999999999

9,02:00-02:15,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

10,02:15-02:30,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

11,02:30-02:45,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

12,02:45-03:00,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

13,03:00-03:15,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

14,03:15-03:30,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

15,03:30-03:45,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

16,03:45-04:00,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

17,04:00-04:15,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

18,04:15-04:30,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

19,04:30-04:45,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

20,04:45-05:00,26.87,26.87,4.04,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.43,0,0,167.43,0,711.2399999999998

21,05:00-05:15,26.87,26.87,4.5,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.48,0,0,167.43,0,711.75

22,05:15-05:30,26.87,26.87,4.5,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.48,0,0,167.43,0,711.75

23,05:30-05:45,26.87,26.87,4.5,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.48,0,0,167.43,0,711.75

24,05:45-06:00,26.87,26.87,4.5,22.06,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,47.96,47.96,0,0,0.48,0,0,167.43,0,711.75

25,06:00-06:15,32,1.96,4.5,22.06,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0,0,0,0,0.53,0,0,167.43,0,373.12

26,06:15-06:30,32,0,4.5,22.06,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0,0,0,0,0.53,0,0,167.43,0,371.1600000000001

27,06:30-06:45,31.43,31.43,4.5,22.06,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0,0,0,0,0.53,0,0,167.43,0.45,402.46999999999997

28,06:45-07:00,31.43,31.43,4.5,22.06,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0,0,0,0,0.53,0,0,167.43,0.45,402.46999999999997

29,07:00-07:15,31.43,31.43,4.5,22.06,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0,0,40.29,0,0.58,0,0,167.43,0.32,400.68

