Block,Time,DULHASTI,KKNPPU2,SINGRAULI_HYDRO,URI2,AURY_CRF,AURY_LF,DHAULIGNGA,KOLDAM,NAPP,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,DADRI_GF,DADRI_LF,NTPL,PARBATI3,RAMPUR,RIHAND1,RIHAND2,SEWA2,TALA,TALST2,UNCHAHAR4,ANTA_RF,CHAMERA2,KOTESHWR,NLCIIST2,NNTPP,SASAN,TANAKPUR,TEHRI,TEHRIPSP,ANTA_GF,ANTA_LF,DADRI_RF,BSIUL,DADRT2,FSTPP I & II,KKNP,NJPC,NLCEXP,NLCTS2EXP,SINGRAULI,VALLURNTECL,KHSTPP-II,KUDGI,RAPPB,RAPPD,RSTPSU7,URI,DADRI_CRF,BRBCL,CHAMERA3,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,RIHAND3,RSTPSU1TO6,CHAMERA1,MAPS,NLCIIST1,PARBATI2,RAPPC,SALAL,SIMHST1,SIMHST2,TANDA2,ANTA_CRF,AURY_GF,AURY_RF
1,00:00-00:15,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.1,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,2.39,49.95,48.9,10.44,0,0,405,5.76,39.56,56.15,0,0,76.68,6.52,590.85,20.8,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,44.16,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

2,00:15-00:30,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,49.95,48.9,10.44,0,0,405,5.76,39.56,56.15,0,0,76.68,6.52,590.85,20.8,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,44.16,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

3,00:30-00:45,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,49.95,48.9,10.44,0,0,405,5.76,39.56,56.15,0,0,76.68,6.52,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,44.16,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

4,00:45-01:00,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,49.95,48.9,10.44,0,0,405,11.91,39.56,56.15,0,0,76.68,6.52,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,44.16,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

5,01:00-01:15,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.27,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,6.52,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,45.82,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

6,01:15-01:30,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.27,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,6.52,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,45.82,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

7,01:30-01:45,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.27,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,6.52,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,45.82,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

8,01:45-02:00,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.27,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,45.82,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

9,02:00-02:15,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.93,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

10,02:15-02:30,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,30.99,0,3.98,51.93,48.9,10.44,0,0,405,12.17,39.56,56.15,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

11,02:30-02:45,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,20.29,0,3.98,51.93,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

12,02:45-03:00,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,20.29,0,3.98,51.93,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,85.41,0,0,7.07,0,0,80.92

13,03:00-03:15,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

14,03:15-03:30,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

15,03:30-03:45,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

16,03:45-04:00,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,12.17,39.56,0,0,0,76.68,13.04,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

17,04:00-04:15,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,11.91,39.56,0,0,0,76.68,19.56,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

18,04:15-04:30,58.17,0,1.16,35.41,0,0,43.85,10.65,24.89,0,21.83,45.62,27.99,0,0,0,59.18,7.04,88.96,126.8,0,25.78,0,3.98,52.32,48.9,10.44,0,0,405,11.91,39.56,0,0,0,76.68,19.56,590.85,20.02,0,181.16,0,0,155.58,0,148.3,0,0,25.74,0,48.57,0,24.99,35.09,670.85,0,0,45.53,8.71,132.37,0,42.15,0,0,58.05,68.73,81.34,0,0,7.07,0,0,80.92

