Block,Time Block,KISHANGANGA,KHSTPP-II,KGSU3AND4,JHAJJAR,KGSU1AND2,KHSTPP-I,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,URI2,PARBATI3,RIHAND3,RAPPB,RIHAND2,RAMPUR,RIHAND1,NTPL,RSTPSU1TO6,RAPPC,TelanganaSTPP,NNTPP,DULHASTI,DHAULIGNGA,FSTPP I & II,MAPS,NAPP,KKNP,KOTESHWR,KKNPPU2,KOLDAM,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,BSIUL,BRBCL,CHAMERA3,CHAMERA2,CHAMERA1,DADRT2,SALAL,SEWA2,TANDA2,TALST2,SINGRAULI_HYDRO,SIMHST2,TANAKPUR,SASAN,TALA,SINGRAULI,SIMHST1,TEHRI,RSTPSU7,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,91.02,0,244.34,0,43.31,21.92,17.01,0.64,17.07,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,8.8,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,19.23,0,1.54,0,498.19,2.25,0,0,0,0,0,4.95,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,91.02,0,239.52,0,43.31,21.92,20.28,0.64,17.07,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,8.8,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,19.28,0,1.54,0,503.81,2.25,0,0,0,0,0,4.95,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,91.02,0,235.66,0,43.31,19.32,20.43,0.64,14.93,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,0,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,18.19,0,1.54,0,500.92,2.25,0,0,0,0,0,9.88,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,91.02,0,235.66,0,43.31,19.32,20.43,0.64,14.93,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,0,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,16.25,0,1.54,0,500.92,2.25,0,0,0,0,0,9.88,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,91.02,0,235.66,0,43.31,19.32,20.43,34.06,14.93,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,0,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,15.31,0,1.54,0,500.92,2.25,0,0,0,0,0,4.95,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,91.02,0,235.66,0,43.31,19.32,20.43,34.06,14.93,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,0,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,14.43,0,1.54,0,500.92,2.25,0,0,0,0,0,4.95,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,91.02,0,235.66,0,43.31,19.32,20.43,0.64,14.93,0,4.41,0,119.86,0,114.5,0,88.7,0,0,50.64,0,0,15.89,0,17.28,0,40.15,0,8.55,0,0,0,0,0,0,0,0,0,13.56,0,1.54,0,549.12,2.25,0,0,0,0,0,4.95,336.45,0,121.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

