Column1,Block,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,NR/2025/24838/A/51507,NER/2024/2820/A/51555,NR/2024/24508/A/51549,NR/2024/24614/A/51550,NR/2024/24434/A/51281,NR/2024/24435/A/51280,NR/2025/24839/A/51509,NR/2025/25083/C,NR/2024/24418/A/51261,NR/2025/24837/A/51502,SR/2024/15456/A/51284,NR/2025/25084/C,NR/2024/24566/A/51272,NR/2024/24507/A/51548,NR/2025/25074/C,NR/2025/25075/C,WR/2024/25501/A/51566,NR/2025/25073/C,Total
,,NDMC,HPXL,HPXL,NDMC,DELHI,PXIL,IEXL,PXIL,HPXL,IEXL,IEXL,NDMC,IEXL,BAWANA_GAS,HPXL,HPXL,APPCPL,PUNJAB,HPXL,HPXL,NDMC,MANIKARAN,TPTCL,OIDLWM2_AEROCITY,APPCPL,NVVNL,NVVNL,IEXL,IEXL,OIDLWM3_AEROCITY,SJVNL,ITCLH,ABLWM1_AEROCITY,IEXL,SJVNL,IEXL,NVVNL,NVVNL,NVVNL,APPCPL,TPDDL,
,,NA,NA,NA,NA,HIMACHAL_STATE,NA,ODISHA_STATE,NA,Meghalaya_State,NA,MP_State,NA,NA,DELHI_UT,NA,TELANGANA_State,DELHI_UT,DELHI_UT,MSEB_State,TAMILNADU_State,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,TELANGANA_State,NA,NA,NA,DELHI_UT,NA,
,,RKM_POWER,JPNIGRIE_JNSTPP,SKS_Raigarh,SKS_Raigarh,CHANJUII,SINGOLI,NBVLIPP,JPNIGRIE_JNSTPP,Meghalaya_Ben,SKS_Raigarh,JP_BINA,RKM_POWER,JPNIGRIE_JNSTPP,BAWANA_GAS,SIMHAPURI,ZUARICEMCPP,BYPL,BAWANA_GAS,GRETAENERGY,GAYATRIGREENTN,JPL2,BRPL,BYPL,TCSPL_BKN2,BYPL,TRN_ENERGY,TRN_ENERGY,TESPL_BKN2,NSLSUGARALAND,TCSPL_BKN2,TPSL_BKN2,ITCWIND,TCSPL_BKN2,BYPL,RSRPL_BKN,NSLKSLWPRTY,JIPL,TRN_ENERGY,JIPL,BRPL,JHAJJAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,
,,NDMC,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,HARYANA,BRPL,BRPL,AEML,PUNJAB,BRPL,BRPL,NDMC,AEML,TPC_MSEB,OIDLWM2_AEROCITY,Manipur_Ben,NDMC,NDMC,MES_Delhi,MES_Delhi,OIDLWM3_AEROCITY,NDMC,ITCLH,ABLWM1_AEROCITY,TANGEDCO,NDMC,MES_Delhi,NDMC,NDMC,NDMC,GOA_Beneficiary,TPDDL,
,,West-North,West-North,West-North,West-North,North-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,South-East-North,South-East-North,North-West,North-North,West-North,South-East-North,West-North,North-West,North-West,North-North,North-East-North East,West-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,North-West-South,North-North,South-West-North,East-North,West-North,East-North,North-West,North-North,
1,00:00-00:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.42,0,0,0,31,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,403.42

2,00:15-00:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.42,0,0,0,31,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,403.42

