Time,Block,ER/2023/9140/C,NR/2023/14900/D,NR/2023/11470/A,NR/2023/13983/F,NR/2023/14923/C,NR/2023/14901/D,NR/2023/13573/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/11697/A,NR/2023/14925/C,NR/2023/13983/F/II,NR/2023/14906/C,NR/2023/11458/A,NR/2023/14932/C,NR/2023/14922/C,NR/2023/14921/C,NR/2023/12646/A,NR/2023/14924/C,NR/2023/11315/A,NR/2023/14915/C,NR/2023/14688/F/II,NR/2023/13859/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11469/A,NR/2023/14946/C,NR/2023/14902/D,NR/2023/14903/D,Total
,,HPXL,NVVNL,NVVNL,ITCLH,IEXL,NVVNL,NVVNL,APPCPL,TPTCL,APPCPL,APPCPL,GMRETL,KEIPL,APPCPL,MANIKARAN,GBHHPL,APPCPL,TPDDL,ITCLH,GBHHPL,STATKRAFT,TPDDL,IEXL,HPXL,MANIKARAN,HPXL,GMRETL,SJVNL,GMRETL,MANIKARAN,NVVNL,KEIPL,NVVNL,HPXL,TS1PL_BKN,TS1PL_BKN,Total

,,DELHI,NA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,UTTARAKHAND,GOA,MEGHALAYA,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,KARNATAKA,UTTAR PRADESH,TAMIL NADU,NA,MEGHALAYA,WEST BENGAL,GOA,HIMACHAL PRADESH,MP,MEGHALAYA,NA,KARNATAKA,NA,NA,
,,BYPL,SOLAPUR_SOLAR,KAMENG,ITCWIND,HP-GOVT,KAMENG,SKS Raigarh,Meghalaya_Ben,JPL-2,HP,UTTARAKHAND,GOA_Beneficiary,Meghalaya_Ben,GOA_Beneficiary,HP,GBHHPL,HP,CHANJUII,ITCWIND,GBHHPL,TANGEDCO,CHANJUII,NSLSUGAR,PPGCL,TANGEDCO,Teesta_III,Meghalaya_Ben,IPCL_WB,GOA_Beneficiary,HP,JP BINA,Meghalaya_Ben,JPNIGRIE_JNSTPP,PCKL,TS1PL_BKN,TS1PL_BKN,
,,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,VLSEZ,MES (Delhi),BRPL,ITCLH,BRPL,TPDDL,NDMC,BYPL,BRPL,BRPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BYPL,TPDDL,ITCLH,DIAPL,BYPL,TPDDL,MES (Delhi),BRPL,BRPL,BRPL,BYPL,NDMC,TPDDL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,BYPL,
,,North-East,West-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,South-East-North,North-North,South-West-North,North-North,South-West-North,North-North,South-West-North,East-North,North East-East-North,East-North,West-East-North,North-North,West-North,North East-East-North,West-North,South-East-North,North-North,North-North,
1,00:00-00:15,0.000000,0,21.230000,0.630000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.240000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.26

2,00:15-00:30,0.000000,0,21.230000,0.630000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.240000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.26
